main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Agroforestry,,Pieces,,1729.736,,,,,,,,"179,580",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,580",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Amaranthus,,Kilograms,1,3669512,1550,3750,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf,100 (N) ,87.5 (N) ,,http://dx.doi.org/10.5539/jas.v4n1p223 ,"179,581",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1550,3750,87.5,,"179,581",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Apple,,Kilograms,1,667.1839,,3600,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf,,,,,"179,582",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,3600,,,"179,582",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Arrowroot,,Bunches,,2634.141,,,,,,,,"179,583",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,583",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Arrowroot,,Kilograms,1,4633.222,,,,,,,,"179,584",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,584",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Arrowroot,,Numbers,,1383.789,,,,,,,,"179,585",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,585",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Arrowroot,,Pieces,,11440.05,,,,,,,,"179,586",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,586",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Avocado,,Kilograms,1,247105.2,,,,,,,,"179,587",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,587",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Avocado,,Numbers,,617762.9,,,,,,,,"179,588",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,588",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Avocado,,Pieces,,-,,,,,,,,"179,589",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,589",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Banana,,Banch,,118.6105,,,,,,,,"179,590",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,590",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Banana,,Bunches,,395.3683,,,,,,,,"179,591",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,591",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Banana,,Kilograms,1,16473.68,,,,,333.4 (DAP or SSP or NPK; 20:20:0; i.e 200 g of phosphate fertilizer per hole) or 33333 (manure/tithonia i.e 20 kg manure per hole),,https://www.kalro.org/navcdp/docs/banana/BANANA%20AGRONOMY%20%20Pamphlet.pdf,"179,592",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,333.4,,"179,592",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Banana,,Numbers,,3706.577,,,,,,,,"179,593",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,593",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Banana,,Pieces,,16944.35,,,,,,,,"179,594",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,594",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
