crops_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Aguaje,,Ciento//100 units,6,800,,,,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",6,,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Aguaje,,Sacos//sacks,25,80,,,,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",25,,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Avocado,,Ciento//100 units,30,30,,,,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",30,,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Banana,,Millares//1000 units,250,120,14000,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",250,14000,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Banana,,Racimos//bunches,20,8000,14000,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",20,14000,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Bean,,Kilograms,1,800,1550,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,1550,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
black eye bean,,Kilograms,1,2000,,,,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Caimito,,Ciento//100 units,6,250,6920,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",6,6920,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Camu camu,,Kilograms,1,4333.333,1790,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,1790,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Cassava,,Costal//Costal,90,160,12290,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",90,12290,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Cassava,,Kilograms,1,6000,12290,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,12290,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Cassava,,Sacos//sacks,75,200,12290,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",75,12290,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Cassava,,Unidad//units,1,1111,12290,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,12290,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Chili pepper,,Kilograms,1,1500,6000,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,6000,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
