main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Avocado,,Kilograms,1,49421.03,NA,20000,https://www.freshelaexporters.com/avocado/hass/farming/zimbabwe,,NA,720,Gatien Falconnier 11/10/2024,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,,20000,,720,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Bambara nuts,,Kilograms,1,617.7629,2500,,should be similar to groundnut,,450,,Gatien Falconnier 11/10/2024,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,2500,,450,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Banana,,Kilograms,1,12355.26,60000,,https://nhb.gov.in/report_files/banana/BANANA.htm,,1869,,Gatien Falconnier 11/10/2025,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,60000,,1869,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Beans,,Kilograms,1,2471.052,3000,,"Beans could be either common bean or sugar bean, sugar bean more frequent so I put the value for sugar bean here",,450,,Gatien Falconnier 11/10/2026,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,3000,,450,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Cabbages,,Kilograms,1,11861.05,140000,,https://seedcogroup.com/zw/vegetables/sc-partners/scv-majesty-f1/,,900,,Gatien Falconnier 11/10/2027,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,140000,,900,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Common bean,,Kilograms,1,37.06577,2500,,"Chekanai, V., Chikowo, R., Vanlauwe, B., 2018. Response of common bean (Phaseolus vulgaris L.) to nitrogen, phosphorus and rhizobia inoculation across variable soils in Zimbabwe. Agriculture, Ecosystems & Environment 266, 167–173. https://doi.org/10.1016/j.agee.2018.08.010",,450,,Gatien Falconnier 11/10/2028,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,2500,,450,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Cotton,,Kilograms,1,1647.368,2600,,https://www.ccardesa.org/sites/default/files/ickm-documents/COTTON%20VARIETIES%20found%20in%20Zimbabwe.pdf,,800,,Gatien Falconnier 11/10/2029,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,2600,,800,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Cowpea,,Kilograms,1,12355.26,2500,,https://www.n2africa.org/sites/default/files/290%20N2Africa%20Zimbabwe%20cowpea%20booklet_1.pdf,,375,,Gatien Falconnier 11/10/2030,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,2500,,375,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Finger millet,,Kilograms,1,37065.77,2900,,https://lfspzwcom.wordpress.com/wp-content/uploads/2017/05/training-manual-small-grains-with-page-numbers.pdf,,350,,Gatien Falconnier 11/10/2031,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,2900,,350,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Groundnuts,,Bucket (20 litres),5,4942.103,2500,,https://oar.icrisat.org/9462/1/Groundnut-Value-Chains-in-Zimbabwe.pdf,,450,,Gatien Falconnier 11/10/2032,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,5,2500,,450,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
