"target","access_diversified_food","access_free_school_meals_perweek","access_healthy_food","access_info_exchange","access_info_exchange_government","access_machinery","access_mobile_phone","access_seasonal_food","access_traditional_food","access_water_harvest_system","accessibility_basic_services","accessibility_drinking_water","accessibility_electrical_energy","accessibility_internet","accessibility_phone_reception","accessibility_piped_sewer","accessibility_sanitation","accessibility_waste_collection","agroecol_perspective_1","agroecol_perspective_10","agroecol_perspective_11","agroecol_perspective_12","agroecol_perspective_13","agroecol_perspective_2","agroecol_perspective_3","agroecol_perspective_4","agroecol_perspective_5","agroecol_perspective_6","agroecol_perspective_7","agroecol_perspective_8","agroecol_perspective_9","agroecology_knowledge","credit_access","credit_access_constraint","credit_payment_hability","diversity_mammals","diversity_pest_enemies","diversity_pests","diversity_pollinators","diversity_trees","drought_experience","education_level_female_finished","education_level_finished","education_level_household_finished","education_level_male_finished","energy_cooking_type","energy_source","energy_tillage_haverst_type","energy_type","fair_price_crops","fair_price_livestock","farm_products.Livestock","farmer_agency_1","farmer_agency_1_3","farmer_agency_3","farmer_agency_5","farmer_agency_7","financial_deficit","flood_experience","full_time_farmer","gender","high_cost_roof_material","high_cost_walls_material","hlabour","household_held_debt","household_shock_recover_capacity","household_shock_strategy_absorptive","household_shock_strategy_adaptive","human_wellbeing_1","human_wellbeing_10","human_wellbeing_11","human_wellbeing_12","human_wellbeing_2","human_wellbeing_3","human_wellbeing_4","human_wellbeing_5","human_wellbeing_6","human_wellbeing_7","human_wellbeing_8","human_wellbeing_9","income_sources.casual_labour","income_sources.livestock","income_spend_on_food_percentage","income_stability","income_sufficiency","livestock_exotic_local","main_crops_annual","main_crops_herb","main_crops_shrub","mean_transport","membership","nearest_farmer_adopted","nr_management_opinion","participation_nr_frequency","perceived_shock_market","perceived_shock_pest","perception_associations_effectiveness","pest_management_chemical","pest_management_ecol_practices.cultural_control","pest_management_ecol_practices.resistant_varieties","project_participation","rainfall_amount_change_perception","rainfall_timing_change_perception.startearlier","rainfall_timing_change_perception.startlater","rainfall_timing_change_perception.stopearlier","rainfall_timing_change_perception.stoplater","rainfall_timing_change_perception.unpredictable","sales_channel_crops.cooperative","sales_channel_crops.direct_to_consumer","sales_channel_crops.middle_man.aggregator","sales_channel_crops.retailers","seeds_certified_local","sfs_monoculture_perennial_adoption","soil_erosion_perception","soil_fertility_management_chemical","soil_fertility_management_organic","soil_fertility_perception","soil_slope_perception","support_provider.community_leaders","support_provider.ind_different_community","support_provider.ind_own_community","support_provider.shops","support_provider_community","support_provider_cooperative_organizations","support_provider_financial_institution","support_provider_governmental_institution","training_participation","use_percentage_crops_sales","use_percentage_livestock_sales","vegetation_cover_total","vegetation_diversity_bushland","vegetation_diversity_forest","vegetation_diversity_wetland","vegetation_diversity_woodlots","farm_elevation","soil_depth","soil_MO_percentage_mean","soil_pH_mean","num_crops_grown","labour_productivity","num_pest_management_ecol_practices","num_soil_fertility_ecol_practices","sfs_monoculture_annual_area","sfs_monoculture_perennial_area","yield_gap_median","num_farm_products","nearest_distance_dfs_km","assets_count","livestock_count_tlu","income_amount_nonfarm","income_amount_onfarm","num_income_sources","num_children","num_people","num_adults_total","age","num_occupation_secondary_list","num_hlabour_seasonal_total","num_nhlabour_permanent_total","num_nhlabour_seasonal_total","farm_size","livestockland_area","months_count_water_accessibility_difficulty_drought_year","months_count_water_accessibility_difficulty_flood_year","months_count_water_accessibility_difficulty_normal_year","years_farming_land","num_info_exchange_extension","num_info_exchange_researchers","num_info_exchange_sources","land_tenure_own_area","male_land_tenure_own_proportion","male_land_tenure_hold_proportion","num_sales_channel_crops","num_sales_channel_livestock","num_info_exchange_consumers","num_info_exchange_traders","num_info_exchange_ngo","num_info_exchange_farmers","distance_crop_market","distance_closest_farmland","distance_hospital","distance_livestock_market","distance_main_road","distance_primary_school","num_membership","support_provider_count","years_in_community","perceived_shock_count","household_shock_strategy_count","crop_type.cacao","crop_type.camucamu","crop_type.frutales","district.dist_4","marital_status.1","marital_status.2","marital_status.3","marital_status.5","read_write.3","year_assessment.2023"
"0",3,1,2,2,1,1,2,2,3,1,3,2,2,1,2,2,3,2,3,3,3,4,5,3,4,2,5,2,5,3,3,2,1,1,1,1,1,2,2,2,2,3,3,3,1,1,1,3,1,3,7,1,6,4,1,5,5,1,1,2,1,2,2,2,1,3,1,1,4,3,3,3,4,4,3,3,3,2,3,4,1,1,4,3,4,1,1,2,1,2,1,1,2,3,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,3,1,1,1,2,1,2,1,1,1,1,4,1,1,1,1,1,1,0.585014392048563,0.400027941266736,-0.344179442597401,-0.0790260906700034,-0.167808371018167,-0.194105715239996,-0.3125298898749,-0.115953102378589,-0.296401021005413,0.303348593367513,0.0548085744660743,-0.493032893746811,-0.212434064356497,-0.241376786386345,-0.0933757611309968,-0.146028784654854,-0.0524787595294145,-0.405553996054591,-0.50669259449996,-0.851549837853066,-0.684413513427574,0.399737606120034,-0.229256236326606,0.129757521232421,-0.416716813481563,-0.316912240962097,-0.0927530837158625,-0.109940460032105,0.434096965843859,-0.289163898892986,1.63754497819355,-0.7643019403622,0.163422354564434,-0.390346826576216,-0.0370439098489312,-0.0466000637267065,-0.767902239763012,-0.142017319080875,-0.330881397850119,-0.252944393963753,-0.285428695535483,0.155720716864737,-0.144216833217477,-0.223793684957703,-0.539622744574986,0.224638000451849,-0.467292487161894,-0.449626760780565,-0.285222175307874,-0.233637606907806,-0.705743919824688,-0.652165351924645,-0.236013764761459,-0.66584766249969,-0.373703726083346,0,0,1,0,0,1,0,0,1,1
"1",2,2,3,2,1,2,1,1,5,1,3,2,2,1,2,1,1,1,3,4,3,4,5,3,5,4,4,4,5,2,4,1,2,1,5,1,2,2,2,2,2,3,2,3,3,1,1,3,1,3,7,2,5,3,4,5,5,2,1,2,2,2,2,2,2,5,2,1,4,4,4,3,4,4,3,3,3,3,3,4,1,1,3,3,3,4,1,1,1,2,2,1,3,3,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,3,1,1,1,1,2,1,1,2,1,2,3,1,2,1,1,2,1,0.433580428535144,0.400027941266736,-0.0224412396552158,-0.0180805194592026,0.150311763613429,-0.0201386627590712,-1.23173544833049,-0.115953102378589,-0.118566099119665,0.0172840214360962,0.389630175246523,0.419990983562098,-0.148913934723574,1.48274311637326,-0.0933757611309968,-0.146028784654854,-0.252524172495665,-0.405553996054591,0.168897531499987,-0.0261380402572023,-0.25531413196828,-0.079652511920597,-0.229256236326606,0.0357303319335651,-0.0344078102874685,0.713696672735779,-0.114293511889542,-0.0352856133053844,0.434096965843859,-0.289163898892986,0.399325713018843,-0.7643019403622,0.163422354564434,-0.390346826576216,0.742827876444355,-0.0988276498591879,-0.148323243952348,-0.142017319080875,-0.330881397850119,-0.252944393963753,0.139000591506127,-0.129134253009782,-0.144216833217477,1.75814300839465,-0.36602688014681,0.224638000451849,-0.467292487161894,-0.592819996697942,-0.291717414142099,-0.225187783873166,-0.244473383991558,-0.261647177119468,-0.11721488988153,-0.66584766249969,0.17184915870986,0,0,1,0,0,0,1,0,1,1
"0",2,2,2,2,2,1,2,2,4,1,3,2,2,1,2,2,3,2,3,4,4,4,5,3,4,4,6,4,6,4,4,2,1,1,1,3,3,4,4,3,2,3,4,4,3,3,1,3,4,4,7,1,5,3,5,5,6,1,2,1,2,2,1,2,1,3,2,2,5,5,5,4,5,5,4,4,4,3,3,4,1,1,1,3,3,1,2,2,2,1,2,1,2,3,1,1,2,1,2,1,1,3,1,1,1,1,2,1,2,2,1,2,2,1,1,1,3,2,1,1,2,1,2,1,1,2,2,2,1,3,4,1,1,1,-0.502560060010337,0.400027941266736,-0.00635432950810838,0.0225498613479942,-0.326868438333965,-0.314733812950826,1.52588122703628,3.19699267986681,0.0592688227660819,0.303348593367513,-0.192834770634356,-0.493032893746811,-0.166410121199229,-0.456891774231295,-0.0933757611309968,0.165439487367273,-0.375629042013358,0.331816905862847,1.85787284649985,1.89982282079981,0.602884630950308,0.842251561234462,0.837051839611096,-0.340378425261857,-0.416716813481563,1.22900112958472,-0.0712126555421833,-0.109940460032105,0.434096965843859,0.307050325628635,1.0184353456062,0.858276261202842,0.91192168844734,0.467558286778105,1.132763769591,0.00562752240577488,0.00657150500031806,-0.142017319080875,1.38798300656608,-0.252944393963753,1.83671773967257,0.155720716864737,-0.144216833217477,-0.223793684957703,-0.0188351512904572,-0.19915730755777,0.541535378568712,0.552725890641077,-0.294965033559211,-0.208288137803885,1.13933822350783,-0.261647177119468,0.120382859878328,-0.66584766249969,0.717402043503066,0,1,0,0,0,1,0,0,1,1
"0",2,2,3,2,1,1,1,3,2,1,3,2,2,1,2,1,2,2,3,3,3,4,5,2,4,3,6,3,5,3,3,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,3,1,4,7,1,5,3,4,5,6,1,1,2,2,2,2,2,1,3,1,1,5,4,4,3,5,5,3,3,2,2,3,4,1,1,4,3,5,1,1,2,1,2,2,1,2,3,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,3,1,1,1,2,2,2,1,2,1,2,4,1,2,4,1,1,1,0.579797476767113,1.06123114997209,-0.263744891861853,-0.261862804302406,-0.326868438333965,-0.172223067129189,-0.3125298898749,-0.115953102378589,-0.296401021005413,0.188922764594946,-0.447898825822982,-0.493032893746811,-0.223857656848432,-0.672406762076246,-0.0933757611309968,-0.146028784654854,0.104479949105644,-0.405553996054591,0.844487657499933,0.524136491473374,-0.25531413196828,-0.300909489477811,-0.229256236326606,0.129757521232421,-0.416716813481563,1.22900112958472,-0.0496722273685041,-0.109940460032105,1.13994569079322,-0.289163898892986,1.0184353456062,-0.62908709023178,0.163422354564434,-0.390346826576216,-0.0370439098489312,0.0578551085382563,-0.148323243952348,-0.142017319080875,-0.330881397850119,-0.252944393963753,-0.285428695535483,-0.0341825963849422,-0.144216833217477,-0.223793684957703,-0.539622744574986,-0.0402340670541632,-0.467292487161894,-0.449626760780565,-0.291717414142099,-0.225187783873166,-0.244473383991558,0.128870997685708,-0.315213014681412,-0.66584766249969,-0.373703726083346,0,0,1,0,0,1,0,0,1,1
"0",1,1,3,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,3,3,3,4,5,3,4,4,5,3,5,3,4,1,2,1,5,3,2,3,3,2,2,1,1,1,1,3,2,1,1,4,5,2,3,3,5,6,5,1,1,2,2,2,1,2,2,2,2,2,3,4,4,3,5,4,2,2,3,3,2,4,1,2,1,3,1,4,2,2,2,1,2,2,1,4,1,2,2,1,2,1,1,3,1,2,1,1,1,2,1,2,1,4,1,2,1,2,2,4,2,2,2,2,2,1,2,1,1,4,4,5,3,1,1,1,1.15414220141248,-0.922378476143962,-0.151136520832091,-0.729112183585216,0.150311763613429,-0.43290011274919,-0.3125298898749,-0.115953102378589,1.92653550256643,-0.497632208040454,-0.143475208705229,0.419990983562098,-0.171796369458826,-0.672406762076246,-0.0933757611309968,0.00347598591576696,-0.306382552909656,1.06918780778028,-0.50669259449996,-0.576412571987778,-0.25531413196828,0.694746909529653,-0.229256236326606,0.0357303319335651,-0.0344078102874685,-0.316912240962097,0.445757620626117,-0.0950094906867608,0.434096965843859,0.307050325628635,0.399325713018843,0.385024285746372,-0.335577201357503,0.467558286778105,0.742827876444355,1.25908958958533,-0.148323243952348,-0.142017319080875,0.528550804357982,1.35305175818706,-0.285428695535483,-0.129134253009782,-0.144216833217477,3.740079701747,1.0227400352786,-0.305106134560175,-0.433094932391365,-0.306433524863188,0.997587494451424,-0.123789907457481,1.13933822350783,0.909907347296062,-0.11721488988153,-0.16141761515144,1.26295492829627,1,0,0,0,0,0,1,0,0,1
"0",4,1,4,2,1,1,1,3,2,1,3,2,2,1,2,1,2,2,3,3,3,4,4,3,4,4,5,3,5,3,3,2,1,2,1,1,4,4,4,1,2,1,3,3,1,2,1,2,2,3,7,2,4,2,3,4,4,1,2,2,1,2,1,2,1,3,2,2,4,5,5,4,5,5,3,4,4,3,3,5,1,1,4,3,3,4,1,1,2,1,2,1,3,5,2,2,4,1,2,1,2,3,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,3,1,1,1,1,1,1,-0.641265467338775,-0.261175267438613,1.84364033740944,-0.343123565916812,-0.485928505649763,-0.234901223503717,-0.3125298898749,-0.115953102378589,-0.296401021005413,-0.33743604775886,0.242884342708649,0.419990983562098,-0.203553514444247,-0.672406762076246,-0.0933757611309968,-0.0837351302504289,-0.375629042013358,0.331816905862847,-0.50669259449996,-0.576412571987778,-0.25531413196828,0.215356791489022,-0.229256236326606,-0.152324046664146,-0.416716813481563,-0.316912240962097,-0.213379481488466,0.043101975757672,0.0811726033691769,0.307050325628635,0.399325713018843,0.587846560942002,-0.335577201357503,0.467558286778105,0.352891983297712,-0.339074546068602,0.471255751858316,-0.142017319080875,0.528550804357982,-0.252944393963753,2.8977909572766,1.67494722286217,-0.144216833217477,-0.223793684957703,-0.0188351512904572,-0.278618927809574,0.541535378568712,0.552725890641077,-0.294965033559211,-0.208288137803885,0.6780676876747,0.909907347296062,0.476779484518115,0.34301243219681,0.717402043503066,0,1,0,0,0,0,1,0,1,1
"0",2,2,3,2,1,1,2,3,3,1,3,2,2,1,2,1,2,2,3,4,3,4,4,3,5,4,5,3,5,3,4,2,1,2,1,3,4,4,4,1,2,2,3,3,2,1,1,3,1,4,7,1,4,3,4,4,5,1,2,2,2,2,1,2,1,3,1,1,4,5,5,4,5,5,4,4,4,3,3,4,1,1,1,2,3,1,2,2,2,2,2,1,2,5,1,2,4,1,2,1,1,3,1,1,1,1,2,1,2,1,1,3,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,3,1,5,3,1,1,1,-0.59689479613057,-0.261175267438613,2.42276910270537,-0.525960279549215,-0.326868438333965,-0.0365506488421773,-0.3125298898749,0.988362158369877,-0.118566099119665,-0.383206379267887,0.474254869665064,-0.493032893746811,-0.181178423411285,-0.241376786386345,-0.0933757611309968,-0.146028784654854,-0.39101715070307,-0.405553996054591,0.168897531499987,-0.0261380402572023,-0.25531413196828,-0.411537978256418,-0.229256236326606,-0.152324046664146,-0.0344078102874685,-0.316912240962097,-0.178914796410579,-0.109940460032105,0.0811726033691769,0.307050325628635,-0.219783919568511,0.587846560942002,-0.335577201357503,0.467558286778105,0.352891983297712,-0.255510408256632,-0.767902239763012,-0.142017319080875,-0.330881397850119,-0.252944393963753,0.0328932697457248,0.0607690602398973,-0.144216833217477,-0.223793684957703,0.501952441994072,-0.289213810509814,1.05449870012665,0.552725890641077,-0.298212652976323,-0.191388491734604,0.216797151841571,0.128870997685708,0.476779484518115,-0.16141761515144,-0.373703726083346,0,1,0,0,0,1,0,0,1,1
"0",4,2,4,2,1,2,1,3,2,1,3,2,2,1,2,2,2,1,3,3,2,3,4,3,4,3,5,3,5,3,3,1,1,1,1,2,2,2,3,3,2,1,3,3,3,1,1,3,1,3,7,1,4,3,4,5,6,1,1,2,2,2,2,2,1,3,1,1,5,4,4,4,6,5,4,3,3,2,3,4,1,1,4,3,5,1,1,1,1,2,1,1,2,5,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,3,1,1,1,2,2,2,1,2,1,1,4,1,5,1,1,1,1,0.422662554286338,0.400027941266736,-0.553309274509818,-0.22123242349521,-0.485928505649763,0.00283811775727739,-0.3125298898749,-0.115953102378589,-0.296401021005413,-0.26878055049532,-0.128459397483429,-0.493032893746811,-0.226373877173484,2.77583304344296,-0.0933757611309968,-0.146028784654854,0.793867218404723,-0.405553996054591,0.50669259449996,0.248999225608086,-0.25531413196828,0.252232954415224,-0.229256236326606,0.0357303319335651,-0.416716813481563,1.22900112958472,-0.135833940063221,-0.109940460032105,0.787021328318541,-0.289163898892986,1.0184353456062,-0.899516790492621,-0.335577201357503,0.467558286778105,-0.0370439098489312,-0.151055235991669,-0.148323243952348,-0.142017319080875,-0.330881397850119,-0.252944393963753,-0.285428695535483,0.155720716864737,-0.144216833217477,-0.223793684957703,-0.36602688014681,-0.299808693210055,-0.313403490694513,-0.306433524863188,-0.298212652976323,0.171953898754932,-0.705743919824688,0.128870997685708,-0.11721488988153,-0.66584766249969,-0.373703726083346,0,0,1,0,0,1,0,0,1,1
"0",3,1,3,2,1,1,1,2,2,1,3,2,2,1,2,2,3,2,3,3,2,4,5,3,5,4,6,4,5,3,3,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,3,1,3,7,1,2,2,5,5,4,1,1,2,2,2,2,2,1,4,1,1,4,4,4,3,6,4,3,3,3,2,3,4,1,1,4,4,5,1,1,1,1,2,2,1,2,4,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,3,1,2,1,2,1,2,1,2,1,1,4,1,1,1,1,1,1,0.39157619312471,0.400027941266736,-0.0707019700965433,-0.0587109002664053,-0.167808371018167,-0.314897932811657,0.606675668580689,-0.115953102378589,-0.296401021005413,1.21875522354805,0.516661781791234,-0.493032893746811,-0.185575307578578,0.405168177148507,-0.0933757611309968,-0.146028784654854,0.870807761853281,-0.405553996054591,-0.50669259449996,-0.576412571987778,-0.25531413196828,0.584118420751045,-0.229256236326606,0.0357303319335651,-0.0344078102874685,-0.316912240962097,0.0795703416735709,-0.109940460032105,1.49287005326791,-0.289163898892986,0.399325713018843,-0.291049964905729,-0.335577201357503,-0.390346826576216,-0.0370439098489312,0.371220625333145,-0.148323243952348,-0.142017319080875,-0.330881397850119,-0.252944393963753,0.139000591506127,0.345624030114416,-0.144216833217477,-0.223793684957703,-0.539622744574986,0.48951006795786,-0.467292487161894,-0.306433524863188,-0.298212652976323,-0.208288137803885,-0.244473383991558,0.128870997685708,0.00158398499839902,-0.66584766249969,-0.373703726083346,0,0,1,0,0,0,1,0,1,1
"0",2,1,1,2,1,2,1,3,2,2,1,1,1,1,1,1,1,1,3,3,3,4,5,2,4,4,6,4,5,1,4,3,1,2,1,2,3,2,3,1,1,3,3,4,4,1,2,1,1,5,7,1,6,4,5,4,5,2,2,2,2,2,2,2,1,2,2,1,5,4,4,4,6,4,3,4,4,2,2,5,1,1,2,2,4,1,1,1,1,2,2,1,1,2,2,2,5,1,2,1,2,1,1,1,1,1,2,2,1,1,1,4,2,2,1,1,3,3,2,1,2,1,2,2,1,1,2,4,1,4,1,1,1,1,0.805343906856177,-0.261175267438613,1.31277230255484,0.0631802421551969,-0.485928505649763,0.0816156509561867,0.606675668580689,-0.115953102378589,-0.296401021005413,-0.211567636109037,-1.0020644639369,-0.493032893746811,-0.20306558757496,0.405168177148507,-0.0933757611309968,0.227733141771699,0.0475439469537109,0.331816905862847,-0.168897531499987,-0.30127530612249,-0.25531413196828,-0.743423444592239,-0.229256236326606,-0.0582968573652904,-0.416716813481563,0.198392215886841,-0.1573743682369,-0.109940460032105,0.0811726033691769,0.903264550150255,0.399325713018843,-0.62908709023178,-0.335577201357503,-0.390346826576216,-0.426979802995574,-0.281624201322873,0.471255751858316,1.75154693533079,-0.330881397850119,-0.252944393963753,-0.285428695535483,-0.224085909634621,2.16325249826216,-0.223793684957703,0.328356577565895,-0.278618927809574,-0.313403490694513,-0.0200470530284328,0.348063611028995,-0.208288137803885,-0.244473383991558,0.519389172490885,-0.275613389721435,1.35187252689331,1.26295492829627,1,0,0,0,0,1,0,0,1,1
