"type","name_question","label_question","column_name_new","type_question","list_name"
"decimal","_1_2_1_7","For how many years have you lived in this community?","years_in_community","decimal",NA
"integer","_1_2_1_8","Year of birth","year_birth","integer",NA
"select_one 1_2_1_9","_1_2_1_9","Gender","gender","select_one","1_2_1_9"
"select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one","1_2_1_10"
"text","_1_2_1_11","Ethnicity","ethnicity","text",NA
"select_one 4_1_1_1","_4_1_1_1","Can you read and write in any language?","read_write","select_one","4_1_1_1"
"select_one 1_2_1_12_1","_1_2_1_12_1","What is the highest level of school you attended?","education_level","select_one","1_2_1_12_1"
"select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one","1_2_1_13_1"
"select_one 1_2_1_13_2_1","_1_2_1_13_2_1","Do you have any additional occupation(s)?","occupation_secondary","select_one","1_2_1_13_2_1"
"select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple","1_2_1_13_2_2"
"integer","_1_2_1_14_1","How many Male adults of working age (≥18 and ≤65 years old) live in the household?","num_adults_wa_male","integer",NA
"integer","_1_2_1_14_2","How many Female adults of working age (≥18 and ≤65 years old) live in the household?","num_adults_wa_female","integer",NA
"integer","_1_2_1_14_3","How many Male adults not of working age (>65 years old) live in the household?","num_adults_old_male","integer",NA
"integer","_1_2_1_14_4","How many Female adults not of working age (>65 years old) live in the household?","num_adults_old_female","integer",NA
"integer","_1_2_1_14_5","How many Male children (<18 years old) live in the household?","num_children_male","integer",NA
"integer","_1_2_1_14_6","How many Female children (<18 years old) live in the household?","num_children_female","integer",NA
"select_one 1_2_1_12_1","_4_1_1_2","Please indicate the highest level of school attended by most MALE household members of working age (≥18 and ≤65 years old)","education_level_male","select_one","1_2_1_12_1"
"select_one 1_2_1_12_1","_4_1_1_3","Please indicate the highest level of school attended by most FEMALE household members of working age (≥18 and ≤65 years old)","education_level_female","select_one","1_2_1_12_1"
"select_one 4_1_1_4","_4_1_1_4_1","Training in innovative or best management agricultural practices","training_best_practices","select_one","4_1_1_4"
"select_one 4_1_1_4","_4_1_1_4_3","Training in agribusiness management and value addition","training_agribusiness","select_one","4_1_1_4"
