"","governance_capacity","social_norm","agroecol_perspective_13","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","numHA_nhlabour_permanent_total","num_info_exchange_extension","perception_associations_effectiveness","support_provider.cooperatives","training_participation","human_wellbeing_11"
"20231031_AnA",1.2793057761579,-0.56185267081577,4,0,0,5,3,0.142857142857143,2,0,0,0,3
"20231031_DaD",0.0594454064289452,-0.571284307625284,4,0,1,3,5,0.333333333333333,2,1,0,1,4
"20231031_PaV",0.669375591293423,-0.568686427593497,4,0,0,2,3,0.125,5,1,0,1,5
"20231031_SaR",0.0594454064289452,-0.560156465596,4,0,0,3,3,0.111111111111111,2,0,0,1,4
"20231101_AlV",0.119211561884564,1.62987423462474,4,1,0,400,2,0.0625,0,1,0,0,4
"20231101_AnQ",1.39883808706914,-0.563171278348927,3,0,0,2,3,0.714285714285714,0,3,0,1,5
"20231101_EnM",1.39883808706914,-0.566493591030313,3,0,0,1,3,0.666666666666667,0,3,1,0,5
"20231101_FeH",1.39883808706914,-0.559782850548679,3,0,0,1,3,0.2,0,1,0,0,4
"20231101_PeR",0.119211561884564,-0.565840730042795,4,0,0,1,4,0.133333333333333,0,1,0,0,4
"20231101_RoS",-0.610250933891151,-0.563243727020668,4,1,0,200,2,0.25,0,4,1,1,4
"20231101_SeC",1.39883808706914,-0.565483613085652,3,0,0,1,3,1,1,2,0,0,5
"20231101_SuS",-0.610250933891151,1.64368982180813,4,1,1,50,1,0.0344827586206897,3,4,0,1,2
"20231101_ViP",-0.000320749026673284,-0.564876425809191,4,0,0,2,4,0.166666666666667,2,2,0,0,4
"20231102_BeM",1.39883808706914,-0.569802531171737,4,0,0,1,3,2.14285714285714,0,2,0,0,5
"20231102_CaC",1.39883808706914,-0.565067059439777,3,0,0,2,2,2.66666666666667,0,1,0,0,4
"20231102_ElP",1.39883808706914,-0.568079477841357,4,0,0,1,2,1.42857142857143,0,2,0,0,4
"20231102_GeS",-1.16041496330001,-0.563484536374206,2,1,0,150,4,0.380952380952381,3,5,1,1,2
"20231102_LuS",0.78890790220466,-0.804513709631617,5,0,0,2,2,0.666666666666667,1,2,0,1,5
"20231102_NaS",0.729141746749042,-0.804498106972209,4,0,0,2,3,0.666666666666667,3,2,0,1,5
"20231102_ReS",-1.22018111875563,-0.56225280020335,4,1,0,100,2,0.2,2,4,1,1,2
"20231103_EdS",-1.27994727421125,-0.56295166455559,2,1,0,300,3,0.111111111111111,2,5,1,1,3
"20231103_FlG",0.178977717340182,-0.564998181034923,4,0,0,100,3,0.2,2,1,0,0,4
