"list_name","name_choice","label_choice","name_new","country","type","name_question","label_question","column_name_new","type_question","label_choice.country"
"1_2_1_10","married","Married","3","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_10","partner","Partner (not-married)","2","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_10","single","Single","1","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_10","divorced","Divorced / Separated","4","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_10","widower","Widower","5","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_10","777","Prefer not to say","unknown","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_10","other","Other (please specify)","6","global","select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one",NA
"1_2_1_13_1","1","Agricultural and/or livestock work on your own land.",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","2","Permanent salaried work on other people's land",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","3","Seasonal wage labor on other people's land",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","4","Public administration",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","5","Company (landowner)",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","6","Salaried (non-agricultural work)",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","7","Study/education/training",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","8","Homemaker",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
