"","NumFeatures","selected_factors","frequency"
"1","featNum1","agroecol_perspective_13",20
"2","featNum1","crop_type.cacao",36
"3","featNum1","household_shock_recover_capacity",1
"4","featNum1","influence_nr_frequency",1
"5","featNum1","nearest_farmer_adopted",1
"6","featNum1","support_provider.cooperatives",1
"7","featNum10","access_info_exchange_extension",2
"8","featNum10","agroecol_perspective_1",5
"9","featNum10","agroecol_perspective_13",60
"10","featNum10","agroecol_perspective_3",10
"11","featNum10","agroecol_perspective_6",1
"12","featNum10","agroecol_perspective_7",5
"13","featNum10","assets_count",3
"14","featNum10","crop_type.cacao",60
"15","featNum10","crop_type.camucamu",5
"16","featNum10","distance_main_road",29
"17","featNum10","drought_experience",2
"18","featNum10","fair_price_crops",5
"19","featNum10","farm_elevation",5
"20","featNum10","farmer_agency_1",1
"21","featNum10","farmer_agency_7",9
"22","featNum10","gender",2
"23","featNum10","household_shock_recover_capacity",50
"24","featNum10","human_wellbeing_11",26
"25","featNum10","income_amount_nonfarm",1
"26","featNum10","income_amount_onfarm",1
"27","featNum10","income_amount_total",1
"28","featNum10","income_stability",3
"29","featNum10","influence_nr_frequency",53
"30","featNum10","livestock_count_tlu",3
"31","featNum10","mean_transport",2
"32","featNum10","nearest_distance_dfs_km",18
"33","featNum10","nearest_farmer_adopted",40
"34","featNum10","numHA_nhlabour_permanent_total",19
"35","featNum10","numHA_nhlabour_seasonal_total",2
"36","featNum10","num_info_exchange_extension",22
"37","featNum10","num_pest_management_ecol_practices",2
"38","featNum10","participation_nr_frequency",12
"39","featNum10","perceived_shock_pest",2
"40","featNum10","perceived_shock_soil_erosion",2
"41","featNum10","perception_associations_effectiveness",45
"42","featNum10","rainfall_amount_change_perception",3
"43","featNum10","sales_channel_crops.cooperative",3
"44","featNum10","seeds_certified_local",2
"45","featNum10","sfs_monoculture_annual_area",5
"46","featNum10","sfs_monoculture_perennial_adoption",1
"47","featNum10","sfs_monoculture_perennial_area",8
"48","featNum10","soil_MO_percentage_mean",12
"49","featNum10","soil_fertility_management_organic",1
"50","featNum10","soil_slope_perception",3
"51","featNum10","support_provider.cooperatives",40
"52","featNum10","training_participation",12
"53","featNum10","years_farming_land",1
"54","featNum10","yield_gap_median",1
"55","featNum11","access_info_exchange_extension",6
"56","featNum11","agroecol_perspective_1",2
"57","featNum11","agroecol_perspective_12",3
"58","featNum11","agroecol_perspective_13",60
"59","featNum11","agroecol_perspective_3",8
"60","featNum11","agroecol_perspective_4",1
"61","featNum11","agroecol_perspective_7",11
"62","featNum11","assets_count",5
"63","featNum11","crop_type.cacao",60
"64","featNum11","crop_type.camucamu",6
"65","featNum11","distance_closest_farmland",1
"66","featNum11","distance_main_road",32
"67","featNum11","drought_experience",1
"68","featNum11","fair_price_crops",1
"69","featNum11","farm_elevation",5
"70","featNum11","farmer_agency_1",1
