"category_1","constructs","factors","factor","reliability","constructs_type","weights","reliability_assessment"
"farmers_behaviour","agroecol_perspective_13","agroecol_perspective_13","Perception of current farming systems",1,"composite","mode_A","Good"
"farm_management_characteristics","crop_type.cacao","crop_type.cacao","Main crop: cacao",1,"composite","mode_A","Good"
"outcome","dfs_adoption_binary","dfs_adoption_binary","DFS adoption",1,"composite","mode_A","Good"
"physical_capital","distance_main_road","distance_main_road","Distance to main road",1,"composite","mode_A","Good"
"natural_capital","environmental_quality","human_wellbeing_11","Satisfaction with quality of local environment",1,"composite","mode_A","Good"
"vulnerability_context","household_shock_recover_capacity","household_shock_recover_capacity","Household recovery capacity from shocks",1,"composite","mode_A","Good"
"social_capital","influence_nr_frequency","influence_nr_frequency","Household influence in resource governance",1,"composite","mode_A","Good"
"human_capital","numHA_nhlabour_permanent_total","numHA_nhlabour_permanent_total","Permanent household labour density",1,"composite","mode_A","Good"
"P&I_context_knowledge","num_info_exchange_extension","num_info_exchange_extension","Extension frequency",1,"composite","mode_A","Good"
"social_capital","perception_associations_effectiveness","perception_associations_effectiveness","Perception of association effectiveness",1,"composite","mode_A","Good"
"social_capital","support_provider.cooperatives","support_provider.cooperatives","Support from local farmer cooperatives",1,"composite","mode_A","Good"
"P&I_context_knowledge","training_participation","training_participation","Training participation",1,"composite","mode_A","Good"
