"","NumFeatures","selected_factors","frequency"
"1","featNum1","agroecol_perspective_13",16
"2","featNum1","crop_type.cacao",38
"3","featNum1","human_wellbeing_11",1
"4","featNum1","influence_nr_frequency",2
"5","featNum1","nearest_farmer_adopted",2
"6","featNum1","support_provider.cooperatives",1
"7","featNum10","access_info_exchange_extension",4
"8","featNum10","agroecol_perspective_1",2
"9","featNum10","agroecol_perspective_12",3
"10","featNum10","agroecol_perspective_13",60
"11","featNum10","agroecol_perspective_3",8
"12","featNum10","agroecol_perspective_4",1
"13","featNum10","agroecol_perspective_6",1
"14","featNum10","agroecol_perspective_7",7
"15","featNum10","assets_count",2
"16","featNum10","crop_type.cacao",60
"17","featNum10","crop_type.camucamu",1
"18","featNum10","distance_closest_farmland",1
"19","featNum10","distance_main_road",27
"20","featNum10","drought_experience",1
"21","featNum10","fair_price_crops",3
"22","featNum10","farm_elevation",8
"23","featNum10","farmer_agency_1",1
"24","featNum10","farmer_agency_7",11
"25","featNum10","household_shock_recover_capacity",49
"26","featNum10","human_wellbeing_11",22
"27","featNum10","income_amount_nonfarm",2
"28","featNum10","income_stability",3
"29","featNum10","influence_nr_frequency",52
"30","featNum10","livestock_count_tlu",4
"31","featNum10","nearest_distance_dfs_km",19
"32","featNum10","nearest_farmer_adopted",41
"33","featNum10","numHA_nhlabour_permanent_total",15
"34","featNum10","numHA_nhlabour_seasonal_total",2
"35","featNum10","num_info_exchange_extension",27
"36","featNum10","participation_nr_frequency",16
"37","featNum10","perceived_shock_market",2
"38","featNum10","perceived_shock_soil_erosion",3
"39","featNum10","perception_associations_effectiveness",39
"40","featNum10","rainfall_amount_change_perception",1
"41","featNum10","sales_channel_crops.cooperative",6
"42","featNum10","seeds_certified_local",2
"43","featNum10","sfs_monoculture_annual_area",4
"44","featNum10","sfs_monoculture_perennial_area",7
"45","featNum10","soil_MO_percentage_mean",11
"46","featNum10","soil_pH_mean",1
"47","featNum10","soil_slope_perception",5
"48","featNum10","support_provider.cooperatives",46
"49","featNum10","training_participation",18
"50","featNum10","years_farming_land",2
"51","featNum11","access_info_exchange_extension",3
"52","featNum11","agroecol_perspective_1",6
"53","featNum11","agroecol_perspective_13",60
"54","featNum11","agroecol_perspective_3",11
"55","featNum11","agroecol_perspective_7",9
"56","featNum11","assets_count",9
"57","featNum11","crop_type.cacao",60
"58","featNum11","crop_type.camucamu",6
"59","featNum11","distance_main_road",31
"60","featNum11","drought_experience",2
"61","featNum11","energy_source",1
"62","featNum11","fair_price_crops",3
"63","featNum11","farm_elevation",3
"64","featNum11","farmer_agency_1",1
"65","featNum11","farmer_agency_7",9
"66","featNum11","gender",2
"67","featNum11","household_shock_recover_capacity",51
"68","featNum11","human_wellbeing_11",33
"69","featNum11","income_amount_nonfarm",1
"70","featNum11","income_amount_onfarm",1
"71","featNum11","income_amount_total",1
"72","featNum11","income_stability",3
"73","featNum11","influence_nr_frequency",54
"74","featNum11","livestock_count_tlu",7
"75","featNum11","mean_transport",2
"76","featNum11","nearest_distance_dfs_km",18
"77","featNum11","nearest_farmer_adopted",45
"78","featNum11","nr_management_opinion",3
"79","featNum11","numHA_nhlabour_permanent_total",23
"80","featNum11","numHA_nhlabour_seasonal_total",1
"81","featNum11","num_info_exchange_extension",23
"82","featNum11","num_pest_management_ecol_practices",2
"83","featNum11","participation_nr_frequency",18
"84","featNum11","perceived_shock_pest",2
"85","featNum11","perceived_shock_soil_erosion",1
"86","featNum11","perception_associations_effectiveness",42
"87","featNum11","project_participation",1
"88","featNum11","rainfall_amount_change_perception",4
"89","featNum11","sales_channel_crops.cooperative",6
"90","featNum11","seeds_certified_local",1
"91","featNum11","sfs_monoculture_annual_area",5
"92","featNum11","sfs_monoculture_perennial_adoption",2
"93","featNum11","sfs_monoculture_perennial_area",12
"94","featNum11","soil_MO_percentage_mean",13
"95","featNum11","soil_fertility_management_organic",3
"96","featNum11","soil_slope_perception",3
"97","featNum11","support_provider.cooperatives",41
"98","featNum11","support_provider.ind_different_community",1
"99","featNum11","training_participation",18
"100","featNum11","years_farming_land",2
"101","featNum11","yield_gap_median",1
"102","featNum12","access_info_exchange_consumers",1
"103","featNum12","access_info_exchange_extension",8
"104","featNum12","agroecol_perspective_1",2
"105","featNum12","agroecol_perspective_12",5
"106","featNum12","agroecol_perspective_13",60
"107","featNum12","agroecol_perspective_3",12
"108","featNum12","agroecol_perspective_4",1
"109","featNum12","agroecol_perspective_6",1
"110","featNum12","agroecol_perspective_7",10
"111","featNum12","assets_count",5
"112","featNum12","crop_type.cacao",60
"113","featNum12","crop_type.camucamu",7
"114","featNum12","distance_closest_farmland",1
"115","featNum12","distance_main_road",32
"116","featNum12","drought_experience",1
"117","featNum12","fair_price_crops",6
"118","featNum12","farm_elevation",7
"119","featNum12","farmer_agency_1",1
"120","featNum12","farmer_agency_7",14
"121","featNum12","gender",1
"122","featNum12","household_shock_recover_capacity",49
"123","featNum12","human_wellbeing_11",33
"124","featNum12","income_amount_nonfarm",3
"125","featNum12","income_amount_total",3
"126","featNum12","income_stability",5
"127","featNum12","influence_nr_frequency",56
"128","featNum12","livestock_count_tlu",7
"129","featNum12","nearest_distance_dfs_km",28
"130","featNum12","nearest_farmer_adopted",47
"131","featNum12","numHA_nhlabour_permanent_total",19
"132","featNum12","numHA_nhlabour_seasonal_total",2
"133","featNum12","num_info_exchange_extension",33
"134","featNum12","num_info_exchange_farmers",1
"135","featNum12","participation_nr_frequency",22
"136","featNum12","perceived_shock_market",2
"137","featNum12","perceived_shock_soil_erosion",4
"138","featNum12","perception_associations_effectiveness",40
"139","featNum12","rainfall_amount_change_perception",1
"140","featNum12","sales_channel_crops.cooperative",9
"141","featNum12","seeds_certified_local",2
"142","featNum12","sfs_monoculture_annual_area",5
"143","featNum12","sfs_monoculture_perennial_area",15
"144","featNum12","soil_MO_percentage_mean",11
"145","featNum12","soil_fertility_management_organic",1
"146","featNum12","soil_pH_mean",2
"147","featNum12","soil_slope_perception",6
"148","featNum12","support_provider.cooperatives",48
"149","featNum12","support_provider.ind_different_community",2
"150","featNum12","training_participation",25
"151","featNum12","years_farming_land",4
"152","featNum13","access_info_exchange_consumers",1
"153","featNum13","access_info_exchange_extension",9
"154","featNum13","agroecol_perspective_1",7
"155","featNum13","agroecol_perspective_12",5
"156","featNum13","agroecol_perspective_13",60
"157","featNum13","agroecol_perspective_3",15
"158","featNum13","agroecol_perspective_7",12
"159","featNum13","assets_count",10
"160","featNum13","crop_type.cacao",60
"161","featNum13","crop_type.camucamu",6
"162","featNum13","distance_main_road",36
"163","featNum13","drought_experience",2
"164","featNum13","energy_source",1
"165","featNum13","fair_price_crops",5
"166","featNum13","farm_elevation",7
"167","featNum13","farm_size",1
"168","featNum13","farmer_agency_1",2
"169","featNum13","farmer_agency_7",11
"170","featNum13","gender",2
"171","featNum13","household_shock_recover_capacity",57
"172","featNum13","human_wellbeing_11",34
"173","featNum13","human_wellbeing_7",1
"174","featNum13","income_amount_nonfarm",1
"175","featNum13","income_amount_onfarm",1
"176","featNum13","income_amount_total",3
"177","featNum13","income_stability",6
"178","featNum13","influence_nr_frequency",55
"179","featNum13","livestock_count_tlu",7
"180","featNum13","mean_transport",2
"181","featNum13","nearest_distance_dfs_km",26
"182","featNum13","nearest_farmer_adopted",45
"183","featNum13","nr_management_opinion",5
"184","featNum13","numHA_nhlabour_permanent_total",25
"185","featNum13","numHA_nhlabour_seasonal_total",1
"186","featNum13","num_info_exchange_extension",31
"187","featNum13","num_info_exchange_farmers",1
"188","featNum13","num_pest_management_ecol_practices",2
"189","featNum13","participation_nr_frequency",21
"190","featNum13","perceived_shock_market",1
"191","featNum13","perceived_shock_pest",2
"192","featNum13","perceived_shock_soil_erosion",3
"193","featNum13","perception_associations_effectiveness",47
"194","featNum13","pest_management_chemical",1
"195","featNum13","project_participation",1
"196","featNum13","rainfall_amount_change_perception",6
"197","featNum13","rainfall_timing_change_perception.unpredictable",1
"198","featNum13","sales_channel_crops.cooperative",11
"199","featNum13","seeds_certified_local",3
"200","featNum13","sfs_monoculture_annual_area",4
"201","featNum13","sfs_monoculture_perennial_adoption",3
"202","featNum13","sfs_monoculture_perennial_area",22
"203","featNum13","soil_MO_percentage_mean",13
"204","featNum13","soil_fertility_management_organic",4
"205","featNum13","soil_pH_mean",3
"206","featNum13","soil_slope_perception",6
"207","featNum13","support_provider.cooperatives",48
"208","featNum13","support_provider.ind_different_community",2
"209","featNum13","training_participation",21
"210","featNum13","years_farming_land",1
"211","featNum13","yield_gap_median",1
"212","featNum14","access_info_exchange_consumers",2
"213","featNum14","access_info_exchange_extension",8
"214","featNum14","agroecol_perspective_1",2
"215","featNum14","agroecol_perspective_12",7
"216","featNum14","agroecol_perspective_13",60
"217","featNum14","agroecol_perspective_3",14
"218","featNum14","agroecol_perspective_4",1
"219","featNum14","agroecol_perspective_6",1
"220","featNum14","agroecol_perspective_7",16
"221","featNum14","assets_count",8
"222","featNum14","crop_type.cacao",60
"223","featNum14","crop_type.camucamu",8
"224","featNum14","distance_closest_farmland",1
"225","featNum14","distance_main_road",39
"226","featNum14","drought_experience",1
"227","featNum14","fair_price_crops",7
"228","featNum14","farm_elevation",8
"229","featNum14","farm_size",1
"230","featNum14","farmer_agency_1",1
"231","featNum14","farmer_agency_7",15
"232","featNum14","flood_experience",1
"233","featNum14","gender",3
"234","featNum14","household_shock_recover_capacity",53
"235","featNum14","human_wellbeing_11",37
"236","featNum14","income_amount_nonfarm",5
"237","featNum14","income_amount_total",5
"238","featNum14","income_stability",6
"239","featNum14","influence_nr_frequency",56
"240","featNum14","livestock_count_tlu",8
"241","featNum14","nearest_distance_dfs_km",33
"242","featNum14","nearest_farmer_adopted",49
"243","featNum14","nr_management_opinion",3
"244","featNum14","numHA_nhlabour_permanent_total",24
"245","featNum14","numHA_nhlabour_seasonal_total",3
"246","featNum14","num_info_exchange_extension",40
"247","featNum14","num_info_exchange_farmers",1
"248","featNum14","num_pest_management_ecol_practices",1
"249","featNum14","participation_nr_frequency",29
"250","featNum14","perceived_shock_market",3
"251","featNum14","perceived_shock_soil_erosion",4
"252","featNum14","perception_associations_effectiveness",45
"253","featNum14","pest_management_chemical",1
"254","featNum14","project_participation",1
"255","featNum14","sales_channel_crops.cooperative",15
"256","featNum14","seeds_certified_local",3
"257","featNum14","sfs_monoculture_annual_area",6
"258","featNum14","sfs_monoculture_perennial_adoption",1
"259","featNum14","sfs_monoculture_perennial_area",23
"260","featNum14","soil_MO_percentage_mean",15
"261","featNum14","soil_fertility_management_chemical",2
"262","featNum14","soil_fertility_management_organic",2
"263","featNum14","soil_pH_mean",8
"264","featNum14","soil_slope_perception",8
"265","featNum14","support_provider.cooperatives",48
"266","featNum14","support_provider.ind_different_community",4
"267","featNum14","training_participation",28
"268","featNum14","years_farming_land",6
"269","featNum15","access_info_exchange_consumers",1
"270","featNum15","access_info_exchange_extension",9
"271","featNum15","agroecol_perspective_1",9
"272","featNum15","agroecol_perspective_12",8
"273","featNum15","agroecol_perspective_13",60
"274","featNum15","agroecol_perspective_3",20
"275","featNum15","agroecol_perspective_6",1
"276","featNum15","agroecol_perspective_7",21
"277","featNum15","assets_count",12
"278","featNum15","crop_type.cacao",60
"279","featNum15","crop_type.camucamu",8
"280","featNum15","distance_main_road",43
"281","featNum15","drought_experience",2
"282","featNum15","energy_source",1
