"category_1","constructs","factors","factor","reliability","constructs_type","weights","reliability_assessment"
NA,"access_info_exchange_extension","access_info_exchange_extension",NA,1,"composite","mode_A","Good"
NA,"agroecol_perspective_13","agroecol_perspective_13",NA,1,"composite","mode_A","Good"
NA,"agroecol_perspective_3","agroecol_perspective_3",NA,1,"composite","mode_A","Good"
NA,"agroecol_perspective_7","agroecol_perspective_7",NA,1,"composite","mode_A","Good"
NA,"crop_type.cacao","crop_type.cacao",NA,1,"composite","mode_A","Good"
NA,"dfs_adoption_binary","dfs_adoption_binary",NA,1,"composite","mode_A","Good"
NA,"distance_main_road","distance_main_road",NA,1,"composite","mode_A","Good"
NA,"environmental_quality","human_wellbeing_11",NA,1,"composite","mode_A","Good"
NA,"farm_size","farm_size",NA,1,"composite","mode_A","Good"
NA,"household_shock_recover_capacity","household_shock_recover_capacity",NA,1,"composite","mode_A","Good"
NA,"income_amount_onfarm","income_amount_onfarm",NA,1,"composite","mode_A","Good"
NA,"income_amount_total","income_amount_total",NA,1,"composite","mode_A","Good"
NA,"income_spend_on_food_percentage","income_spend_on_food_percentage",NA,1,"composite","mode_A","Good"
NA,"income_stability","income_stability",NA,1,"composite","mode_A","Good"
NA,"income_sufficiency","income_sufficiency",NA,1,"composite","mode_A","Good"
NA,"influence_nr_frequency","influence_nr_frequency",NA,1,"composite","mode_A","Good"
NA,"membership","membership",NA,1,"composite","mode_A","Good"
NA,"numHA_nhlabour_permanent_total","numHA_nhlabour_permanent_total",NA,1,"composite","mode_A","Good"
NA,"num_info_exchange_extension","num_info_exchange_extension",NA,1,"composite","mode_A","Good"
NA,"num_info_exchange_sources","num_info_exchange_sources",NA,1,"composite","mode_A","Good"
NA,"num_membership","num_membership",NA,1,"composite","mode_A","Good"
NA,"num_pest_management_ecol_practices","num_pest_management_ecol_practices",NA,1,"composite","mode_A","Good"
NA,"participation_nr_frequency","participation_nr_frequency",NA,1,"composite","mode_A","Good"
NA,"perception_associations_effectiveness","perception_associations_effectiveness",NA,1,"composite","mode_A","Good"
NA,"project_participation","project_participation",NA,1,"composite","mode_A","Good"
NA,"sfs_monoculture_perennial_area","sfs_monoculture_perennial_area",NA,1,"composite","mode_A","Good"
NA,"support_provider.cooperatives","support_provider.cooperatives",NA,1,"composite","mode_A","Good"
NA,"training_participation","training_participation",NA,1,"composite","mode_A","Good"
NA,"years_farming_land","years_farming_land",NA,1,"composite","mode_A","Good"
