"constructs1","constructs2","correlation"
"agroecol_perspective_13","agroecol_perspective_13",NA
"agroecol_perspective_13","dfs_adoption_binary",NA
"agroecol_perspective_13","distance_main_road",NA
"agroecol_perspective_13","environmental_quality",NA
"agroecol_perspective_13","household_shock_recover_capacity",NA
"agroecol_perspective_13","influence_nr_frequency",NA
"agroecol_perspective_13","numHA_nhlabour_permanent_total",NA
"agroecol_perspective_13","num_info_exchange_extension",NA
"agroecol_perspective_13","perception_associations_effectiveness",NA
"agroecol_perspective_13","support_provider.cooperatives",NA
"distance_main_road","agroecol_perspective_13",0.56854879523788
"distance_main_road","dfs_adoption_binary",NA
"distance_main_road","distance_main_road",NA
"distance_main_road","environmental_quality",NA
"distance_main_road","household_shock_recover_capacity",NA
"distance_main_road","influence_nr_frequency",NA
"distance_main_road","numHA_nhlabour_permanent_total",NA
"distance_main_road","num_info_exchange_extension",NA
"distance_main_road","perception_associations_effectiveness",NA
"distance_main_road","support_provider.cooperatives",NA
"environmental_quality","agroecol_perspective_13",0.528505738941728
"environmental_quality","dfs_adoption_binary",NA
"environmental_quality","distance_main_road",0.435489938020837
"environmental_quality","environmental_quality",NA
"environmental_quality","household_shock_recover_capacity",NA
"environmental_quality","influence_nr_frequency",NA
"environmental_quality","numHA_nhlabour_permanent_total",NA
"environmental_quality","num_info_exchange_extension",NA
"environmental_quality","perception_associations_effectiveness",NA
"environmental_quality","support_provider.cooperatives",NA
"household_shock_recover_capacity","agroecol_perspective_13",0.560834425134451
"household_shock_recover_capacity","dfs_adoption_binary",NA
"household_shock_recover_capacity","distance_main_road",0.479651959867733
"household_shock_recover_capacity","environmental_quality",0.425718845986226
"household_shock_recover_capacity","household_shock_recover_capacity",NA
"household_shock_recover_capacity","influence_nr_frequency",NA
"household_shock_recover_capacity","numHA_nhlabour_permanent_total",NA
"household_shock_recover_capacity","num_info_exchange_extension",NA
"household_shock_recover_capacity","perception_associations_effectiveness",NA
"household_shock_recover_capacity","support_provider.cooperatives",NA
"influence_nr_frequency","agroecol_perspective_13",0.590828610444358
"influence_nr_frequency","dfs_adoption_binary",NA
"influence_nr_frequency","distance_main_road",0.570762300495465
"influence_nr_frequency","environmental_quality",0.608309574698356
"influence_nr_frequency","household_shock_recover_capacity",0.328973306109512
"influence_nr_frequency","influence_nr_frequency",NA
"influence_nr_frequency","numHA_nhlabour_permanent_total",NA
"influence_nr_frequency","num_info_exchange_extension",NA
"influence_nr_frequency","perception_associations_effectiveness",NA
"influence_nr_frequency","support_provider.cooperatives",NA
"numHA_nhlabour_permanent_total","agroecol_perspective_13",0.268766592902899
"numHA_nhlabour_permanent_total","dfs_adoption_binary",NA
"numHA_nhlabour_permanent_total","distance_main_road",0.300047640446578
"numHA_nhlabour_permanent_total","environmental_quality",0.322441551705557
"numHA_nhlabour_permanent_total","household_shock_recover_capacity",0.00319391793719661
"numHA_nhlabour_permanent_total","influence_nr_frequency",0.55751731443195
"numHA_nhlabour_permanent_total","numHA_nhlabour_permanent_total",NA
"numHA_nhlabour_permanent_total","num_info_exchange_extension",NA
"numHA_nhlabour_permanent_total","perception_associations_effectiveness",NA
"numHA_nhlabour_permanent_total","support_provider.cooperatives",NA
"num_info_exchange_extension","agroecol_perspective_13",0.552248004157071
"num_info_exchange_extension","dfs_adoption_binary",NA
"num_info_exchange_extension","distance_main_road",0.48082726594053
"num_info_exchange_extension","environmental_quality",0.374244324333651
"num_info_exchange_extension","household_shock_recover_capacity",0.286384038876085
"num_info_exchange_extension","influence_nr_frequency",0.459840855146151
"num_info_exchange_extension","numHA_nhlabour_permanent_total",0.277946366713149
"num_info_exchange_extension","num_info_exchange_extension",NA
"num_info_exchange_extension","perception_associations_effectiveness",NA
"num_info_exchange_extension","support_provider.cooperatives",NA
"perception_associations_effectiveness","agroecol_perspective_13",0.552828208843738
"perception_associations_effectiveness","dfs_adoption_binary",NA
"perception_associations_effectiveness","distance_main_road",0.484977100366075
"perception_associations_effectiveness","environmental_quality",0.353158855193549
"perception_associations_effectiveness","household_shock_recover_capacity",0.483649856317872
"perception_associations_effectiveness","influence_nr_frequency",0.290798215604294
"perception_associations_effectiveness","numHA_nhlabour_permanent_total",0.122839028257555
"perception_associations_effectiveness","num_info_exchange_extension",0.49955022053331
"perception_associations_effectiveness","perception_associations_effectiveness",NA
"perception_associations_effectiveness","support_provider.cooperatives",NA
"support_provider.cooperatives","agroecol_perspective_13",0.698710394891282
"support_provider.cooperatives","dfs_adoption_binary",NA
"support_provider.cooperatives","distance_main_road",0.585495366867599
"support_provider.cooperatives","environmental_quality",0.454302374927213
"support_provider.cooperatives","household_shock_recover_capacity",0.445357399368855
"support_provider.cooperatives","influence_nr_frequency",0.513155809302845
"support_provider.cooperatives","numHA_nhlabour_permanent_total",0.270369928296451
"support_provider.cooperatives","num_info_exchange_extension",0.604794331476746
"support_provider.cooperatives","perception_associations_effectiveness",0.67713675981752
"support_provider.cooperatives","support_provider.cooperatives",NA
"dfs_adoption_binary","agroecol_perspective_13",0.629165236147677
"dfs_adoption_binary","dfs_adoption_binary",NA
"dfs_adoption_binary","distance_main_road",0.491760116567616
"dfs_adoption_binary","environmental_quality",0.50981312847982
"dfs_adoption_binary","household_shock_recover_capacity",0.527939875946494
"dfs_adoption_binary","influence_nr_frequency",0.593937143949147
"dfs_adoption_binary","numHA_nhlabour_permanent_total",0.297596421125081
"dfs_adoption_binary","num_info_exchange_extension",0.510725995743135
"dfs_adoption_binary","perception_associations_effectiveness",0.450579598569368
"dfs_adoption_binary","support_provider.cooperatives",0.595086110682714
