"","dfs_adoption_binary","agroecol_perspective_13","crop_type.cacao","influence_nr_frequency","household_shock_recover_capacity","nearest_farmer_adopted","support_provider.cooperatives","perception_associations_effectiveness","num_info_exchange_extension","human_wellbeing_11","distance_main_road","nearest_distance_dfs_km","participation_nr_frequency","numHA_nhlabour_permanent_total","training_participation"
"20231031_AnA",0,4,0,5,3,0,0,0,2,3,5,0.810254671532477,3,0.142857142857143,0
"20231031_DaD",1,4,0,3,5,0,0,1,2,4,3,1.63549404010615,3,0.333333333333333,1
"20231031_PaV",0,4,0,4,3,0,0,1,5,5,2,1.40818748448267,3,0.125,1
"20231031_SaR",0,4,0,3,3,0,0,0,2,4,3,0.661841903652965,3,0.111111111111111,1
"20231101_AlV",0,4,1,3,2,1,0,1,0,4,400,1.33821054743267,4,0.0625,0
"20231101_AnQ",0,3,0,5,3,0,0,3,0,5,2,0.925628796940021,5,0.714285714285714,1
"20231101_EnM",0,3,0,5,3,0,1,3,0,5,1,1.21632099329614,5,0.666666666666667,0
"20231101_FeH",0,3,0,5,3,0,0,1,0,4,1,0.629151729935787,5,0.2,0
"20231101_PeR",0,4,0,3,4,0,0,1,0,4,1,1.15919765405113,4,0.133333333333333,0
"20231101_RoS",0,4,1,2,2,0,1,4,0,4,200,0.931967834090093,2,0.25,1
"20231101_SeC",0,3,0,5,3,0,0,2,1,5,1,1.12795101275529,5,1,0
"20231101_SuS",1,4,1,2,1,1,0,4,3,2,50,0.129388932059265,2,0.0344827586206897,1
"20231101_ViP",0,4,0,3,4,0,0,2,2,4,2,1.0748239835076,2,0.166666666666667,0
"20231102_BeM",0,4,0,5,3,0,0,2,0,5,1,1.50584313331343,5,2.14285714285714,0
"20231102_CaC",0,3,0,5,2,0,0,1,0,4,2,1.09150384301772,5,2.66666666666667,0
"20231102_ElP",0,4,0,5,2,0,0,2,0,4,1,1.35508123788646,5,1.42857142857143,0
"20231102_GeS",0,2,1,1,4,0,1,5,3,2,150,0.953037915866343,3,0.380952380952381,1
"20231102_LuS",0,5,0,4,2,0,0,2,1,5,2,22.0423532451126,5,0.666666666666667,1
"20231102_NaS",0,4,0,4,3,0,0,2,3,5,2,22.0409880601444,4,0.666666666666667,1
"20231102_ReS",0,4,1,1,2,0,1,4,2,2,100,0.845264768912553,2,0.2,1
"20231103_EdS",0,2,1,1,3,0,1,5,2,3,300,0.906413261842168,1,0.111111111111111,1
"20231103_FlG",0,4,0,3,3,0,0,1,2,4,100,1.08547719329852,5,0.2,0
"20231103_JoB",0,4,0,5,2,0,0,1,2,5,2,1.97848163220815,5,1.5,0
"20231103_JoD",0,0,0,4,3,0,0,2,3,4,5,21.5412928007168,5,0.285714285714286,1
"20231103_LaB",0,4,0,5,3,0,0,1,0,4,1,1.75702792604001,5,1.33333333333333,0
"20231103_NeV",0,2,1,1,3,0,1,5,0,2,2,0.596301813489051,1,0.142857142857143,0
"20231103_NiF",0,4,0,3,2,0,0,1,3,4,2,21.9774836092962,3,0.333333333333333,1
"20231103_RaP",0,4,0,4,4,0,0,0,0,3,100,0.732419821095427,4,0.142857142857143,0
"20231104_EmR",0,4,0,4,4,0,0,0,0,4,50,0.601313458846477,5,0,1
"20231104_MaM",0,4,0,4,3,0,0,0,1,4,80,0.673972674657556,3,0.2,0
"20231104_RoR",1,1,1,2,2,1,1,4,5,2,150,0.41934955179804,5,0.181818181818182,1
"20231104_SeS",1,1,1,1,1,1,1,4,5,5,400,0.089119854580142,1,0.125,1
"20231106_AmQ",0,4,0,3,4,0,0,0,2,4,1,2.11098066157972,5,0.333333333333333,0
"20231106_AnG",1,4,0,1,2,0,0,3,1,5,1,28.6161854194605,5,0.454545454545455,1
"20231106_ClM",0,1,0,5,3,0,1,3,0,5,0,1.43816221686199,5,1.14285714285714,0
"20231106_DaP",0,4,0,3,3,0,0,0,2,4,10,1.86389176971754,4,0.25,0
"20231107_EdG",0,4,0,5,3,0,0,2,0,5,0,1.49298459445892,5,1,0
"20231107_EsH",1,3,0,4,3,0,0,4,4,4,50,3.01212821378068,5,1.11111111111111,1
"20231107_MaR",0,4,0,2,4,1,0,2,0,4,2,0.553996564031558,2,0.4,1
"20231108_ArS",0,4,0,5,3,0,0,1,0,4,3,1.24102771499277,5,0.857142857142857,0
"20231108_EdQ",0,4,0,3,3,0,0,0,0,2,0,0.606124445636235,5,0.0526315789473684,0
"20231108_JuV",1,1,1,1,2,1,1,4,4,3,5,0.291501941849575,1,0.0555555555555556,1
"20231108_LiS",1,2,1,3,2,1,1,4,2,2,4,0.291501941849575,3,0.333333333333333,1
"20231108_NaS",0,4,0,4,3,0,0,0,0,4,1,0.912787617128482,5,0.285714285714286,0
"20231109_RoP",0,4,0,5,3,0,0,3,0,5,3,1.33032243579706,5,1.77777777777778,0
"20231110_ErR",1,5,0,3,2,0,0,2,0,1,20,3.01212821378068,2,0.0833333333333333,1
"20231110_JuC",0,1,1,1,2,1,1,4,5,3,150,2.18131139102922,2,0.0714285714285714,0
"20231110_MaM",1,1,1,1,2,1,1,1,4,3,4,3.22268784907278,2,0.0303030303030303,1
"20231113_FlH",0,4,0,3,4,0,0,0,0,5,1,0.936061839298915,4,0.153846153846154,0
"20231113_GrH",0,4,0,5,3,0,0,2,0,4,0,1.14496048567348,5,1,1
"20231113_MaV",0,4,0,5,3,0,0,2,0,4,0,1.0823792412731,5,3,1
"20231113_SeH",0,4,0,4,3,0,0,0,2,4,5,1.14958292651306,4,0.117647058823529,0
"20231114_IsE",0,4,0,5,3,0,0,2,0,4,2,0.820903775444417,5,0.75,0
"20231114_JoA",0,5,0,3,3,0,0,1,0,4,5,21.8466553614706,2,0.181818181818182,0
"20231114_PeG",0,4,0,3,3,0,0,2,0,4,5,21.9175890870512,3,0.285714285714286,0
"20231114_ReL",0,4,0,4,3,0,0,2,0,5,0,22.1972155176426,3,0.5,0
"20231115_EdR",0,4,0,3,1,0,0,1,0,5,0,22.156768339733,3,2,0
"20231115_GeL",0,4,0,3,3,0,0,0,0,4,5,20.5083101342805,3,0.888888888888889,1
"20231115_GiC",0,4,0,1,4,0,0,0,0,4,5,0.725061891589797,2,0.25,0
