category_1,factor,name_label,statistic
biophysical_context,Farm elevation,NA,"198.5 (27.9) [147.04, 292.33]"
biophysical_context,Soil organic matter,NA,"2.3 (1) [0.5, 7.33]"
farm_management_characteristics,Area under monoculture perennial,NA,"4.3 (4.4) [0, 36]"
farm_management_characteristics,Main crop: cacao,0: No,130 (65%)
farm_management_characteristics,Main crop: cacao,1: Yes,70 (35%)
farm_management_characteristics,Main crop: camu camu,0: No,130 (65%)
farm_management_characteristics,Main crop: camu camu,1: Yes,70 (35%)
farmers_behaviour,Closest neighbour adopts DFS,0: No,146 (73%)
farmers_behaviour,Closest neighbour adopts DFS,1: Yes,54 (27%)
farmers_behaviour,Distance to the nearest farm that implements DFS,NA,"3.6 (6.5) [0.04, 28.62]"
farmers_behaviour,Perceived community care for nature,NA,"3.7 (1.2) [1, 5]"
farmers_behaviour,Perception of current farming systems,NA,"3.3 (1.2) [0, 5]"
farmers_behaviour,Power and freedom to solve problems collectively,NA,"3.6 (1) [0, 5]"
financial_capital,Income stability,NA,"2.8 (1.2) [1, 5]"
human_capital,Permanent household labour density,NA,"0.5 (0.7) [0, 4]"
natural_capital,Farm size,NA,"11.3 (23.2) [1, 260]"
natural_capital,Satisfaction with quality of local environment,NA,"3.7 (0.8) [1, 5]"
outcome,DFS adoption,0: No,144 (72%)
outcome,DFS adoption,1: Yes,56 (28%)
P&I_context_knowledge,Extension frequency,NA,"1.3 (2) [0, 13]"
P&I_context_knowledge,Training participation,0: No,118 (59%)
P&I_context_knowledge,Training participation,1: Yes,82 (41%)
P&I_context_value_chain,Sale of crop products to farmers' organizations or cooperatives,0: No,132 (66%)
P&I_context_value_chain,Sale of crop products to farmers' organizations or cooperatives,1: Yes,68 (34%)
physical_capital,Distance to main road,NA,"92.8 (154) [0, 600]"
social_capital,Household influence in resource governance,NA,"2.9 (1.5) [1, 5]"
social_capital,Household participation in resource governance,NA,"3.2 (1.5) [1, 5]"
social_capital,Perception of association effectiveness,NA,"1.8 (1.4) [0, 5]"
social_capital,Support from local farmer cooperatives,0: No,148 (74%)
social_capital,Support from local farmer cooperatives,1: Yes,52 (26%)
vulnerability_context,Household recovery capacity from shocks,NA,"2.5 (1.1) [1, 5]"
