"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum10","distance_main_road",60,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"2","featNum10","income_stability",60,"financial_capital","Income stability","How would the farmer rate the stability of the household income over time?"
"3","featNum10","income_spend_on_food_percentage",58,"financial_capital","Percentage of income spent on food","In the past 7 days, what percentage of the household's income was used to buy food?"
"4","featNum10","years_farming_land",57,"natural_capital","Years of farming land","Number of years the household has been farming this land."
"5","featNum10","influence_nr_frequency",53,"social_capital","Household influence in resource governance","To what extent does the household contribute to decision-making in managing the community's land and natural resources?"
"6","featNum10","agroecol_perspective_7",43,"farmers_behaviour","Power and freedom to solve problems collectively","How far does the farmer agree with the statement: If I work together with others in my community, we have power and freedom to solve problems facing farmers."
"7","featNum10","num_pest_management_ecol_practices",43,"farm_management_characteristics","Number of ecological practices for pest management","Number of ecological pest management practices used on the farm in the last 12 months."
"8","featNum10","perception_associations_effectiveness",40,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
"9","featNum10","income_sufficiency",36,"financial_capital","Income sufficiency","Does the household earn enough income from farming to support the family?"
"10","featNum10","sfs_monoculture_perennial_area",23,"farm_management_characteristics","Area under monoculture perennial","Total area of monoculture perennial crops on the farm."
