"","training_participation","num_info_exchange_extension","distance_main_road","num_membership","project_participation","num_info_exchange_sources","membership","influence_nr_frequency","participation_nr_frequency","num_info_exchange_ngo","num_children","num_adults_total","age"
"20231031_AnA",0,2,5,0,0,2,0,5,3,0,0,1,63
"20231031_DaD",1,2,3,1,0,4,1,3,3,0,2,2,50
"20231031_PaV",1,5,2,4,0,5,1,4,3,0,7,4,75
"20231031_SaR",1,2,3,1,0,2,1,3,3,0,4,2,44
"20231101_AlV",0,0,400,4,0,4,1,3,4,0,0,2,71
"20231101_AnQ",1,0,2,3,1,3,1,5,5,0,0,2,58
"20231101_EnM",0,0,1,2,0,3,1,5,5,0,2,2,41
"20231101_FeH",0,0,1,0,0,2,0,5,5,0,3,2,59
"20231101_PeR",0,0,1,1,0,2,1,3,4,0,0,2,68
"20231101_RoS",1,0,200,1,1,1,1,2,2,4,1,2,32
"20231101_SeC",0,1,1,1,0,4,1,5,5,0,0,2,65
"20231101_SuS",1,3,50,4,0,2,1,2,2,0,2,3,44
"20231101_ViP",0,2,2,0,0,2,0,3,2,0,1,5,60
"20231102_BeM",0,0,1,2,0,3,1,5,5,0,1,4,59
"20231102_CaC",0,0,2,2,0,3,1,5,5,0,0,4,69
"20231102_ElP",0,0,1,2,0,3,1,5,5,0,0,4,75
"20231102_GeS",1,3,150,3,0,2,1,1,3,0,1,2,29
"20231102_LuS",1,1,2,4,1,5,1,4,5,6,0,3,60
"20231102_NaS",1,3,2,2,1,4,1,4,4,3,0,2,56
"20231102_ReS",1,2,100,2,0,1,1,1,2,0,1,1,36
"20231103_EdS",1,2,300,1,0,1,1,1,1,0,3,3,41
"20231103_FlG",0,2,100,0,0,1,0,3,5,0,2,2,57
"20231103_JoB",0,2,2,2,0,4,1,5,5,0,2,3,47
"20231103_JoD",1,3,5,2,1,5,1,4,5,2,0,2,61
"20231103_LaB",0,0,1,2,0,3,1,5,5,0,3,2,40
"20231103_NeV",0,0,2,1,0,0,1,1,1,0,1,2,48
"20231103_NiF",1,3,2,2,1,4,1,3,3,2,2,4,66
"20231103_RaP",0,0,100,1,0,1,1,4,4,0,2,2,46
"20231104_EmR",1,0,50,0,0,1,0,4,5,0,0,3,45
"20231104_MaM",0,1,80,0,0,1,0,4,3,0,0,2,65
"20231104_RoR",1,5,150,2,1,4,1,2,5,0,1,3,77
"20231104_SeS",1,5,400,3,1,2,1,1,1,0,1,2,49
"20231106_AmQ",0,2,1,1,0,2,1,3,5,0,2,2,37
"20231106_AnG",1,1,1,3,0,3,1,1,5,0,6,2,47
"20231106_ClM",0,0,0,6,0,2,1,5,5,0,3,1,44
"20231106_DaP",0,2,10,0,0,2,0,3,4,0,1,2,50
"20231107_EdG",0,0,0,4,0,3,1,5,5,0,2,4,63
"20231107_EsH",1,4,50,3,1,7,1,4,5,5,3,2,71
"20231107_MaR",1,0,2,2,1,3,1,2,2,4,2,2,42
"20231108_ArS",0,0,3,1,0,3,1,5,5,0,3,4,44
"20231108_EdQ",0,0,0,1,0,0,1,3,5,0,0,2,70
"20231108_JuV",1,4,5,3,1,6,1,1,1,1,0,2,64
"20231108_LiS",1,2,4,1,1,2,1,3,3,3,1,3,46
"20231108_NaS",0,0,1,2,0,0,1,4,5,0,2,2,33
"20231109_RoP",0,0,3,3,0,2,1,5,5,0,6,2,47
"20231110_ErR",1,0,20,5,1,1,1,3,2,0,0,4,53
"20231110_JuC",0,5,150,1,0,2,1,1,2,0,0,1,58
"20231110_MaM",1,4,4,2,0,1,1,1,2,0,4,2,63
"20231113_FlH",0,0,1,2,0,1,1,3,4,0,0,3,59
"20231113_GrH",1,0,0,3,0,3,1,5,5,0,1,2,54
"20231113_MaV",1,0,0,2,0,3,1,5,5,0,4,2,33
"20231113_SeH",0,2,5,1,0,1,1,4,4,0,0,2,67
"20231114_IsE",0,0,2,2,0,3,1,5,5,0,4,2,46
"20231114_JoA",0,0,5,3,1,2,1,3,2,1,0,2,57
"20231114_PeG",0,0,5,2,1,4,1,3,3,1,0,2,69
"20231114_ReL",0,0,0,2,1,2,1,4,3,1,1,3,52
"20231115_EdR",0,0,0,1,1,2,1,3,3,1,2,5,55
"20231115_GeL",1,0,5,1,0,1,1,3,3,0,2,3,49
"20231115_GiC",0,0,5,1,0,0,1,1,2,0,0,4,78
"20231115_IsC",0,2,2,1,0,2,1,2,4,0,0,3,60
"20231115_JoP",0,0,0,0,0,1,0,2,2,0,0,1,65
"20231116_AnJ",1,1,0,2,1,4,1,4,4,1,1,3,53
"20231116_HiC",0,0,1,1,0,0,1,2,3,0,1,4,74
"20231116_JoR",1,0,1,2,0,3,1,5,5,0,5,2,40
"20231116_LiC",0,0,2,1,1,1,1,4,3,0,0,3,48
"20231116_LiS",0,0,2,1,1,1,1,3,2,0,2,2,47
"20231116_RoG",0,6,20,1,0,2,1,3,4,0,1,2,21
"20231117_EdR",0,0,1,1,0,0,1,3,3,0,1,3,54
"20231117_GuS",0,0,0,1,1,3,1,4,4,1,0,4,68
"20231117_JuC",0,0,0,1,1,2,1,4,4,1,0,2,75
"20231117_NeR",0,0,100,2,0,0,1,1,2,0,0,3,36
"20231117_RuA",0,6,1,1,0,2,1,2,3,1,0,2,69
"20231117_SaO",1,0,0,2,1,2,1,3,4,1,2,4,42
"20231117_SeV",0,2,2,1,0,1,1,2,3,0,2,2,41
"20231117_ViR",1,13,150,3,1,3,1,1,1,0,4,2,37
"20231118_JaS",1,4,500,3,1,3,1,1,1,0,1,3,57
"20231118_LuS",0,0,50,0,0,0,0,3,3,0,1,4,47
"20231118_ReS",1,6,250,3,1,4,1,1,1,0,2,5,60
"20231120_AdC",0,0,0,2,0,3,1,5,5,0,1,3,53
"20231120_AlR",0,2,1,1,0,1,1,3,4,0,1,5,75
"20231120_LuG",0,0,2,1,0,0,1,3,5,0,2,3,49
"20231121_AnM",1,0,5,1,1,1,1,3,2,0,0,1,67
"20231121_DaT",0,0,2,1,0,1,1,1,2,0,0,1,73
"20231121_DoC",0,0,10,2,1,0,1,4,4,0,3,2,28
"20231121_GlG",1,0,10,2,1,2,1,4,4,1,0,3,41
"20231121_HiC",1,4,450,4,1,1,1,1,1,0,1,2,63
"20231121_HiP",0,0,10,1,1,2,1,3,4,1,2,3,57
"20231121_MaE",0,0,5,3,0,2,1,5,5,0,2,2,44
"20231121_MiF",1,0,150,1,1,0,1,2,3,0,4,2,42
"20231122_AnM",0,0,0,2,0,3,1,5,5,0,3,2,51
"20231122_EtM",1,0,3,3,0,3,1,5,5,0,2,2,43
"20231122_LeC",1,4,150,2,1,2,1,1,2,0,0,2,69
"20231122_MeA",1,4,5,2,0,3,1,1,3,2,0,4,86
"20231124_AlL",0,0,2,0,0,1,0,3,3,0,1,4,67
"20231124_AnM",0,0,2,1,0,3,1,5,5,0,3,3,56
"20231124_EdA",0,4,400,1,1,3,1,1,1,0,2,1,48
"20231124_JiR",0,0,2,1,0,3,1,5,5,0,2,2,38
"20231124_MaF",0,0,1,2,0,3,1,5,5,0,2,2,44
"20231124_RoS",1,2,30,1,1,3,1,1,2,0,1,4,42
"20231125_DyR",1,4,400,3,1,3,1,1,1,0,3,5,31
"20231125_WiS",1,8,400,2,1,2,1,1,1,0,3,2,47
"20231128_DeG",0,0,5,0,1,2,0,3,2,1,1,3,38
"20231128_GlM",0,0,5,2,0,0,1,3,5,0,1,2,41
"20231129_LiL",0,2,5,0,0,2,0,3,4,0,2,2,43
"20231129_ReA",1,0,5,0,0,1,0,2,5,0,2,2,33
"20231204_DaR",0,0,2,2,0,3,1,5,5,0,1,2,34
"20231206_DeN",1,2,5,3,0,4,1,5,5,0,1,2,55
"20231206_ElC",0,2,5,3,0,4,1,5,5,0,3,3,67
"20231206_RaT",0,0,5,2,0,3,1,5,5,0,1,5,70
"20231207_EmE",1,0,5,2,0,3,1,5,5,0,2,3,71
"20231207_JoM",1,0,5,2,0,3,1,5,5,0,1,3,70
"20231207_JoM_Ta",1,0,5,2,0,3,1,5,5,0,0,4,35
