"","NumFeatures","selected_factors","frequency"
"1","featNum10","access_info_exchange_farmers",2
"2","featNum10","agroecol_perspective_7",43
"3","featNum10","cropland_area",1
"4","featNum10","distance_closest_farmland",2
"5","featNum10","distance_main_road",60
"6","featNum10","fair_price_crops",3
"7","featNum10","household_shock_recover_activities.7",2
"8","featNum10","human_wellbeing_7",3
"9","featNum10","income_amount_onfarm",10
"10","featNum10","income_amount_total",13
"11","featNum10","income_spend_on_food_percentage",58
"12","featNum10","income_stability",60
"13","featNum10","income_sufficiency",36
"14","featNum10","influence_nr_frequency",53
"15","featNum10","labour_productivity",4
"16","featNum10","numHA_hlabour_seasonal_total",2
"17","featNum10","numHA_nhlabour_permanent_total",18
"18","featNum10","num_info_exchange_consumers",2
"19","featNum10","num_info_exchange_farmers",8
"20","featNum10","num_pest_management_ecol_practices",43
"21","featNum10","participation_nr_frequency",12
"22","featNum10","perception_associations_effectiveness",40
"23","featNum10","sales_channel_crops.cooperative",9
"24","featNum10","sales_channel_crops.retailers",8
"25","featNum10","sfs_monoculture_perennial_area",23
"26","featNum10","support_provider.cooperatives",20
"27","featNum10","support_provider.ind_different_community",2
"28","featNum10","use_percentage_crops_sales",3
"29","featNum10","years_farming_land",57
"30","featNum10","years_in_community",3
"31","featNum11","access_info_exchange_consumers",2
"32","featNum11","access_info_exchange_extension",3
"33","featNum11","agroecol_perspective_7",55
"34","featNum11","distance_crop_market",1
"35","featNum11","distance_main_road",59
"36","featNum11","fair_price_crops",1
"37","featNum11","hlabour",1
"38","featNum11","household_shock_recover_activities.7",3
"39","featNum11","human_wellbeing_7",10
"40","featNum11","income_amount_onfarm",17
"41","featNum11","income_amount_total",18
"42","featNum11","income_spend_on_food_percentage",58
"43","featNum11","income_stability",60
"44","featNum11","income_sufficiency",49
"45","featNum11","influence_nr_frequency",57
"46","featNum11","land_tenure_own_area",3
"47","featNum11","numHA_hlabour_seasonal_total",4
"48","featNum11","numHA_nhlabour_permanent_total",30
"49","featNum11","num_info_exchange_consumers",1
"50","featNum11","num_info_exchange_farmers",5
"51","featNum11","num_pest_management_ecol_practices",50
"52","featNum11","participation_nr_frequency",11
"53","featNum11","perception_associations_effectiveness",38
"54","featNum11","sales_channel_crops.cooperative",9
"55","featNum11","sales_channel_crops.retailers",6
"56","featNum11","seeds_certified_local",1
"57","featNum11","sfs_monoculture_perennial_area",28
"58","featNum11","support_provider.cooperatives",14
"59","featNum11","support_provider.ind_different_community",4
"60","featNum11","use_percentage_crops_sales",1
"61","featNum11","years_farming_land",59
"62","featNum11","years_in_community",2
"63","featNum12","access_info_exchange_consumers",2
"64","featNum12","access_info_exchange_extension",2
"65","featNum12","agroecol_perspective_6",3
"66","featNum12","agroecol_perspective_7",54
"67","featNum12","assets_count",1
"68","featNum12","distance_main_road",58
"69","featNum12","fair_price_crops",3
"70","featNum12","hlabour",2
"71","featNum12","household_shock_recover_activities.2",1
"72","featNum12","household_shock_recover_activities.7",6
"73","featNum12","human_wellbeing_7",8
"74","featNum12","income_amount_onfarm",21
"75","featNum12","income_amount_total",23
"76","featNum12","income_spend_on_food_percentage",58
"77","featNum12","income_stability",60
"78","featNum12","income_sufficiency",42
"79","featNum12","influence_nr_frequency",54
"80","featNum12","labour_productivity",6
"81","featNum12","land_tenure_own_area",4
"82","featNum12","numHA_hlabour_seasonal_total",6
"83","featNum12","numHA_nhlabour_permanent_total",31
"84","featNum12","num_income_sources",1
"85","featNum12","num_info_exchange_consumers",4
"86","featNum12","num_info_exchange_extension",3
"87","featNum12","num_info_exchange_farmers",14
"88","featNum12","num_info_exchange_traders",1
"89","featNum12","num_pest_management_ecol_practices",48
"90","featNum12","participation_nr_frequency",14
"91","featNum12","perception_associations_effectiveness",40
"92","featNum12","sales_channel_crops.cooperative",11
"93","featNum12","sales_channel_crops.retailers",13
"94","featNum12","seeds_certified_local",3
"95","featNum12","sfs_monoculture_perennial_area",33
"96","featNum12","support_provider.bank",1
"97","featNum12","support_provider.cooperatives",20
"98","featNum12","support_provider.ind_different_community",8
"99","featNum12","use_percentage_crops_sales",5
"100","featNum12","years_farming_land",56
"101","featNum13","access_info_exchange_consumers",5
