"","NumFeatures","selected_factors","frequency"
"1","featNum1","participation_nr_frequency",60
"2","featNum10","access_info_exchange_extension",3
"3","featNum10","access_info_exchange_farmers",1
"4","featNum10","access_info_exchange_researchers",50
"5","featNum10","agroecol_perspective_1",20
"6","featNum10","agroecol_perspective_3",56
"7","featNum10","agroecol_perspective_6",1
"8","featNum10","agroecol_perspective_7",59
"9","featNum10","assets_count",7
"10","featNum10","farm_size",37
"11","featNum10","human_wellbeing_11",58
"12","featNum10","income_amount_onfarm",26
"13","featNum10","income_amount_total",39
"14","featNum10","income_stability",5
"15","featNum10","income_sufficiency",2
"16","featNum10","land_tenure_own_area",19
"17","featNum10","numHA_hlabour_seasonal_total",2
"18","featNum10","num_crops_grown",30
"19","featNum10","num_info_exchange_extension",8
"20","featNum10","num_info_exchange_farmers",1
"21","featNum10","num_info_exchange_researchers",44
"22","featNum10","num_info_exchange_sources",18
"23","featNum10","num_membership",1
"24","featNum10","participation_nr_frequency",60
"25","featNum10","perception_associations_effectiveness",26
"26","featNum10","pest_management_chemical",1
"27","featNum10","sfs_monoculture_perennial_area",2
"28","featNum10","support_provider.cooperatives",24
"29","featNum11","access_info_exchange_extension",2
"30","featNum11","access_info_exchange_researchers",51
"31","featNum11","age",2
"32","featNum11","agroecol_perspective_1",23
"33","featNum11","agroecol_perspective_3",58
"34","featNum11","agroecol_perspective_7",59
"35","featNum11","assets_count",6
"36","featNum11","farm_size",36
"37","featNum11","human_wellbeing_11",60
"38","featNum11","human_wellbeing_5",1
"39","featNum11","income_amount_onfarm",34
"40","featNum11","income_amount_total",40
"41","featNum11","income_stability",9
"42","featNum11","income_sufficiency",1
"43","featNum11","land_tenure_own_area",18
"44","featNum11","numHA_hlabour_seasonal_total",4
"45","featNum11","num_crops_grown",26
"46","featNum11","num_info_exchange_extension",27
"47","featNum11","num_info_exchange_farmers",2
"48","featNum11","num_info_exchange_researchers",53
"49","featNum11","num_info_exchange_sources",19
"50","featNum11","num_membership",6
"51","featNum11","participation_nr_frequency",60
"52","featNum11","perception_associations_effectiveness",27
"53","featNum11","support_provider.bank",5
"54","featNum11","support_provider.cooperatives",30
"55","featNum11","years_farming_land",1
"56","featNum12","access_info_exchange_extension",4
"57","featNum12","access_info_exchange_researchers",53
"58","featNum12","age",1
"59","featNum12","agroecol_perspective_1",25
"60","featNum12","agroecol_perspective_3",59
"61","featNum12","agroecol_perspective_6",3
"62","featNum12","agroecol_perspective_7",59
"63","featNum12","assets_count",8
"64","featNum12","farm_size",45
"65","featNum12","farmer_agency_5",1
"66","featNum12","human_wellbeing_11",59
"67","featNum12","income_amount_onfarm",37
"68","featNum12","income_amount_total",42
"69","featNum12","income_stability",21
"70","featNum12","income_sufficiency",2
"71","featNum12","land_tenure_own_area",23
"72","featNum12","livestock_count_tlu",3
"73","featNum12","num_crops_grown",27
"74","featNum12","num_info_exchange_extension",18
"75","featNum12","num_info_exchange_farmers",5
"76","featNum12","num_info_exchange_researchers",55
"77","featNum12","num_info_exchange_sources",29
"78","featNum12","num_membership",7
"79","featNum12","participation_nr_frequency",60
"80","featNum12","perception_associations_effectiveness",32
"81","featNum12","sfs_monoculture_perennial_area",5
"82","featNum12","support_provider.bank",3
"83","featNum12","support_provider.cooperatives",32
"84","featNum12","years_farming_land",2
"85","featNum13","access_info_exchange_extension",9
"86","featNum13","access_info_exchange_farmers",2
"87","featNum13","access_info_exchange_researchers",59
"88","featNum13","age",2
"89","featNum13","agroecol_perspective_1",28
"90","featNum13","agroecol_perspective_3",58
"91","featNum13","agroecol_perspective_7",60
"92","featNum13","assets_count",6
"93","featNum13","farm_size",52
"94","featNum13","farmer_agency_5",1
"95","featNum13","human_wellbeing_11",60
"96","featNum13","income_amount_onfarm",37
"97","featNum13","income_amount_total",40
"98","featNum13","income_stability",23
"99","featNum13","income_sufficiency",1
"100","featNum13","land_tenure_own_area",31
"101","featNum13","livestock_count_tlu",1
"102","featNum13","membership",1
"103","featNum13","numHA_hlabour_seasonal_total",6
"104","featNum13","num_crops_grown",33
"105","featNum13","num_info_exchange_extension",25
"106","featNum13","num_info_exchange_farmers",2
"107","featNum13","num_info_exchange_researchers",54
"108","featNum13","num_info_exchange_sources",31
"109","featNum13","num_membership",6
"110","featNum13","participation_nr_frequency",60
"111","featNum13","perception_associations_effectiveness",41
"112","featNum13","sfs_monoculture_perennial_area",6
"113","featNum13","support_provider.bank",2
"114","featNum13","support_provider.cooperatives",40
"115","featNum13","years_farming_land",3
"116","featNum14","access_info_exchange_extension",7
"117","featNum14","access_info_exchange_farmers",3
"118","featNum14","access_info_exchange_researchers",58
"119","featNum14","age",1
"120","featNum14","agroecol_perspective_1",30
"121","featNum14","agroecol_perspective_3",60
"122","featNum14","agroecol_perspective_6",1
"123","featNum14","agroecol_perspective_7",60
"124","featNum14","assets_count",12
"125","featNum14","credit_access",1
"126","featNum14","farm_size",57
"127","featNum14","farmer_agency_5",1
"128","featNum14","human_wellbeing_11",60
"129","featNum14","human_wellbeing_5",1
"130","featNum14","income_amount_onfarm",41
"131","featNum14","income_amount_total",45
"132","featNum14","income_stability",18
"133","featNum14","income_sufficiency",4
"134","featNum14","land_tenure_own_area",40
"135","featNum14","numHA_hlabour_seasonal_total",5
"136","featNum14","num_crops_grown",50
"137","featNum14","num_info_exchange_extension",28
"138","featNum14","num_info_exchange_farmers",2
"139","featNum14","num_info_exchange_researchers",57
"140","featNum14","num_info_exchange_sources",37
"141","featNum14","num_membership",10
"142","featNum14","participation_nr_frequency",60
"143","featNum14","perception_associations_effectiveness",41
"144","featNum14","pest_management_chemical",1
"145","featNum14","sfs_monoculture_perennial_area",3
"146","featNum14","support_provider.bank",9
"147","featNum14","support_provider.cooperatives",34
"148","featNum14","years_farming_land",3
"149","featNum15","access_info_exchange_extension",5
"150","featNum15","access_info_exchange_farmers",2
"151","featNum15","access_info_exchange_researchers",59
"152","featNum15","age",5
"153","featNum15","agroecol_perspective_1",34
"154","featNum15","agroecol_perspective_3",60
"155","featNum15","agroecol_perspective_7",60
"156","featNum15","assets_count",13
"157","featNum15","farm_size",57
"158","featNum15","farmer_agency_1",1
"159","featNum15","farmer_agency_5",3
"160","featNum15","human_wellbeing_11",60
"161","featNum15","income_amount_onfarm",49
"162","featNum15","income_amount_total",46
"163","featNum15","income_stability",29
"164","featNum15","income_sufficiency",4
"165","featNum15","land_tenure_own_area",35
"166","featNum15","livestock_count_tlu",5
"167","featNum15","numHA_hlabour_seasonal_total",8
"168","featNum15","num_crops_grown",41
"169","featNum15","num_info_exchange_extension",39
"170","featNum15","num_info_exchange_farmers",11
"171","featNum15","num_info_exchange_researchers",59
"172","featNum15","num_info_exchange_sources",42
"173","featNum15","num_membership",11
"174","featNum15","participation_nr_frequency",60
"175","featNum15","perception_associations_effectiveness",41
"176","featNum15","pest_management_chemical",2
"177","featNum15","sfs_monoculture_perennial_area",9
"178","featNum15","support_provider.bank",5
"179","featNum15","support_provider.cooperatives",40
"180","featNum15","years_farming_land",3
"181","featNum15","years_in_community",2
"182","featNum16","access_info_exchange_extension",16
"183","featNum16","access_info_exchange_farmers",5
"184","featNum16","access_info_exchange_researchers",60
"185","featNum16","age",1
"186","featNum16","agroecol_perspective_1",41
"187","featNum16","agroecol_perspective_3",60
