"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20"
"acc1",0.6,0.75,0.7,0.7,0.783333333333333,0.8,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667
"acc2",0.833333333333333,0.783333333333333,0.766666666666667,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"acc3",0.733333333333333,0.716666666666667,0.716666666666667,0.75,0.783333333333333,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667
"acc4",0.8,0.716666666666667,0.75,0.75,0.75,0.75,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667
"acc5",0.8,0.683333333333333,0.766666666666667,0.75,0.716666666666667,0.733333333333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"acc6",0.666666666666667,0.783333333333333,0.75,0.816666666666667,0.816666666666667,0.783333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"acc7",0.733333333333333,0.716666666666667,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
"acc8",0.766666666666667,0.766666666666667,0.783333333333333,0.783333333333333,0.766666666666667,0.766666666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"acc9",0.75,0.766666666666667,0.766666666666667,0.75,0.783333333333333,0.75,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667
"acc10",0.733333333333333,0.8,0.783333333333333,0.816666666666667,0.816666666666667,0.816666666666667,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333
"acc11",0.75,0.7,0.7,0.7,0.783333333333333,0.8,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667
"acc12",0.75,0.8,0.766666666666667,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"acc13",0.7,0.716666666666667,0.716666666666667,0.75,0.783333333333333,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667
"acc14",0.8,0.733333333333333,0.75,0.75,0.75,0.75,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667,0.716666666666667
"acc15",0.7,0.75,0.766666666666667,0.75,0.716666666666667,0.733333333333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"acc16",0.733333333333333,0.783333333333333,0.75,0.816666666666667,0.816666666666667,0.783333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"acc17",0.633333333333333,0.666666666666667,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
"acc18",0.733333333333333,0.8,0.783333333333333,0.783333333333333,0.766666666666667,0.766666666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"acc19",0.7,0.75,0.766666666666667,0.75,0.783333333333333,0.75,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667
"acc20",0.75,0.8,0.783333333333333,0.816666666666667,0.816666666666667,0.816666666666667,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333
"acc_mean",0.733333333333333,0.749166666666667,0.743333333333333,0.746666666666667,0.756666666666667,0.751666666666667,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745
