"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum15","distance_main_road",60,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"2","featNum15","num_info_exchange_extension",60,"P&I_context_knowledge","Extension frequency","How frequently does the farmer exchange information with agricultural extensionists?"
"3","featNum15","num_membership",56,"social_capital","Number of association/organization memberships","Number of associations or organizations that the farmer or household members are part of."
"4","featNum15","project_participation",54,"social_capital","Participation in project","Has any household member participated in a research or development project in the last 12 months?"
"5","featNum15","num_info_exchange_sources",48,"P&I_context_knowledge","Number of information sources","Number of different information sources the farmer uses regarding farm management."
"6","featNum15","access_info_exchange_extension",46,"P&I_context_knowledge","Access to extension","Did the farmer exchange information with agricultural extensionists?"
"7","featNum15","membership",46,"social_capital","Association/organization membership","Is the farmer or other household members part of any association or organization?"
"8","featNum15","influence_nr_frequency",44,"social_capital","Household influence in resource governance","To what extent does the household contribute to decision-making in managing the community's land and natural resources?"
"9","featNum15","participation_nr_frequency",44,"social_capital","Household participation in resource governance","How frequently does the household participate in activities or meetings related to the management of the community's land and natural resources?"
"10","featNum15","num_info_exchange_ngo",30,"P&I_context_knowledge","Frequency of information exchange with NGOs","How frequently does the farmer exchange information with NGOs?"
"11","featNum15","hlabour",28,"human_capital","Farm employ hired, free, or exchange labour","Does the farm employ hired, free, or exchange labor?"
"12","featNum15","num_adults_total",26,"human_capital","Total adults (≥18 years old) in household","Total number of adults (≥18 years old) living in the household."
"13","featNum15","education_level_household_finished",24,"human_capital","Level of education of most household members","Highest level of formal education completed by the household members."
"14","featNum15","num_children",24,"human_capital","Children (<18 years old) in household","Total number of children (<18 years old) living in the household."
"15","featNum15","human_wellbeing_3",22,"human_capital","Farmer health","How satisfied does the farmer feel with their health?"
