"","NumFeatures","selected_factors","frequency"
"1","featNum1","access_info_exchange_extension",6
"2","featNum1","distance_main_road",1
"3","featNum1","num_info_exchange_extension",53
"4","featNum10","access_info_exchange_extension",46
"5","featNum10","access_info_exchange_farmers",2
"6","featNum10","access_info_exchange_government",4
"7","featNum10","access_mobile_phone",2
"8","featNum10","accessibility_phone_reception",2
"9","featNum10","age",2
"10","featNum10","cropland_area",2
"11","featNum10","distance_main_road",60
"12","featNum10","education_level_finished",2
"13","featNum10","education_level_household_finished",12
"14","featNum10","gender",2
"15","featNum10","hlabour",16
"16","featNum10","human_wellbeing_3",10
"17","featNum10","influence_nr_frequency",40
"18","featNum10","membership",46
"19","featNum10","num_adults_total",10
"20","featNum10","num_children",12
"21","featNum10","num_info_exchange_extension",60
"22","featNum10","num_info_exchange_farmers",4
"23","featNum10","num_info_exchange_ngo",14
"24","featNum10","num_info_exchange_researchers",6
"25","featNum10","num_info_exchange_sources",46
"26","featNum10","num_membership",52
"27","featNum10","participation_nr_frequency",34
"28","featNum10","project_participation",54
"29","featNum11","access_info_exchange_extension",46
"30","featNum11","access_info_exchange_farmers",2
"31","featNum11","access_info_exchange_government",6
"32","featNum11","access_info_exchange_researchers",4
"33","featNum11","access_mobile_phone",2
"34","featNum11","accessibility_phone_reception",4
"35","featNum11","age",2
"36","featNum11","cropland_area",2
"37","featNum11","distance_main_road",60
"38","featNum11","education_level_finished",8
"39","featNum11","education_level_household_finished",12
"40","featNum11","gender",2
"41","featNum11","hlabour",22
"42","featNum11","human_wellbeing_3",12
"43","featNum11","influence_nr_frequency",40
"44","featNum11","membership",46
"45","featNum11","num_adults_total",12
"46","featNum11","num_children",16
"47","featNum11","num_info_exchange_extension",60
"48","featNum11","num_info_exchange_farmers",4
"49","featNum11","num_info_exchange_ngo",18
"50","featNum11","num_info_exchange_researchers",6
"51","featNum11","num_info_exchange_sources",46
"52","featNum11","num_membership",56
"53","featNum11","participation_nr_frequency",38
"54","featNum11","project_participation",54
"55","featNum12","access_info_exchange_extension",46
"56","featNum12","access_info_exchange_farmers",4
"57","featNum12","access_info_exchange_government",12
"58","featNum12","access_info_exchange_ngo",2
"59","featNum12","access_info_exchange_researchers",4
"60","featNum12","access_mobile_phone",2
"61","featNum12","accessibility_phone_reception",6
"62","featNum12","age",4
"63","featNum12","cropland_area",2
"64","featNum12","distance_main_road",60
"65","featNum12","education_level_finished",8
"66","featNum12","education_level_household_finished",14
"67","featNum12","gender",2
"68","featNum12","hlabour",28
"69","featNum12","human_wellbeing_3",14
"70","featNum12","influence_nr_frequency",40
"71","featNum12","membership",46
"72","featNum12","num_adults_total",16
"73","featNum12","num_children",16
"74","featNum12","num_info_exchange_extension",60
"75","featNum12","num_info_exchange_farmers",4
"76","featNum12","num_info_exchange_ngo",24
"77","featNum12","num_info_exchange_researchers",6
"78","featNum12","num_info_exchange_sources",46
"79","featNum12","num_membership",56
"80","featNum12","num_occupation_secondary_list",2
"81","featNum12","participation_nr_frequency",42
"82","featNum12","project_participation",54
"83","featNum13","access_info_exchange_extension",46
"84","featNum13","access_info_exchange_farmers",4
"85","featNum13","access_info_exchange_government",14
"86","featNum13","access_info_exchange_ngo",2
"87","featNum13","access_info_exchange_researchers",8
"88","featNum13","access_mobile_phone",4
"89","featNum13","accessibility_phone_reception",6
"90","featNum13","age",4
"91","featNum13","cropland_area",4
"92","featNum13","distance_main_road",60
"93","featNum13","education_level_finished",8
"94","featNum13","education_level_household_finished",22
"95","featNum13","gender",2
"96","featNum13","hlabour",28
"97","featNum13","human_wellbeing_3",16
"98","featNum13","influence_nr_frequency",42
"99","featNum13","mean_transport",2
"100","featNum13","membership",46
"101","featNum13","num_adults_total",18
"102","featNum13","num_children",20
"103","featNum13","num_info_exchange_extension",60
"104","featNum13","num_info_exchange_farmers",6
"105","featNum13","num_info_exchange_ngo",26
"106","featNum13","num_info_exchange_researchers",8
"107","featNum13","num_info_exchange_sources",48
"108","featNum13","num_membership",56
"109","featNum13","num_occupation_secondary_list",2
"110","featNum13","participation_nr_frequency",44
"111","featNum13","project_participation",54
"112","featNum14","access_info_exchange_extension",46
"113","featNum14","access_info_exchange_farmers",4
"114","featNum14","access_info_exchange_government",14
"115","featNum14","access_info_exchange_ngo",4
"116","featNum14","access_info_exchange_researchers",10
"117","featNum14","access_mobile_phone",6
"118","featNum14","accessibility_phone_reception",12
"119","featNum14","age",4
"120","featNum14","cropland_area",8
"121","featNum14","distance_main_road",60
"122","featNum14","education_level_finished",10
"123","featNum14","education_level_household_finished",24
"124","featNum14","gender",2
"125","featNum14","hlabour",28
"126","featNum14","human_wellbeing_3",22
"127","featNum14","influence_nr_frequency",42
"128","featNum14","mean_transport",2
"129","featNum14","membership",46
"130","featNum14","num_adults_total",22
"131","featNum14","num_children",22
"132","featNum14","num_info_exchange_extension",60
"133","featNum14","num_info_exchange_farmers",10
"134","featNum14","num_info_exchange_ngo",30
"135","featNum14","num_info_exchange_researchers",8
"136","featNum14","num_info_exchange_sources",48
"137","featNum14","num_membership",56
"138","featNum14","num_occupation_secondary_list",2
"139","featNum14","participation_nr_frequency",44
"140","featNum14","project_participation",54
"141","featNum15","access_info_exchange_extension",46
"142","featNum15","access_info_exchange_farmers",6
"143","featNum15","access_info_exchange_government",14
"144","featNum15","access_info_exchange_ngo",4
"145","featNum15","access_info_exchange_researchers",16
"146","featNum15","access_mobile_phone",6
"147","featNum15","accessibility_phone_reception",16
"148","featNum15","age",8
"149","featNum15","cropland_area",8
"150","featNum15","distance_main_road",60
"151","featNum15","education_level_finished",14
"152","featNum15","education_level_household_finished",24
"153","featNum15","gender",4
"154","featNum15","hlabour",28
"155","featNum15","human_wellbeing_3",22
"156","featNum15","influence_nr_frequency",44
"157","featNum15","mean_transport",2
"158","featNum15","membership",46
"159","featNum15","num_adults_total",26
"160","featNum15","num_children",24
"161","featNum15","num_info_exchange_extension",60
"162","featNum15","num_info_exchange_farmers",16
"163","featNum15","num_info_exchange_ngo",30
"164","featNum15","num_info_exchange_researchers",10
"165","featNum15","num_info_exchange_sources",48
"166","featNum15","num_membership",56
"167","featNum15","num_occupation_secondary_list",4
"168","featNum15","participation_nr_frequency",44
"169","featNum15","project_participation",54
"170","featNum16","access_info_exchange_extension",46
"171","featNum16","access_info_exchange_farmers",12
"172","featNum16","access_info_exchange_government",20
"173","featNum16","access_info_exchange_ngo",6
"174","featNum16","access_info_exchange_researchers",20
"175","featNum16","access_mobile_phone",8
"176","featNum16","accessibility_phone_reception",16
"177","featNum16","age",10
"178","featNum16","cropland_area",8
"179","featNum16","distance_main_road",60
"180","featNum16","education_level_finished",14
"181","featNum16","education_level_household_finished",26
"182","featNum16","gender",4
"183","featNum16","hlabour",28
"184","featNum16","human_wellbeing_3",24
"185","featNum16","influence_nr_frequency",44
"186","featNum16","mean_transport",2
"187","featNum16","membership",46
"188","featNum16","num_adults_total",30
"189","featNum16","num_children",28
"190","featNum16","num_info_exchange_extension",60
"191","featNum16","num_info_exchange_farmers",16
"192","featNum16","num_info_exchange_ngo",32
"193","featNum16","num_info_exchange_researchers",12
"194","featNum16","num_info_exchange_sources",48
"195","featNum16","num_membership",56
"196","featNum16","num_occupation_secondary_list",6
"197","featNum16","participation_nr_frequency",44
"198","featNum16","project_participation",54
"199","featNum17","access_info_exchange_extension",46
"200","featNum17","access_info_exchange_farmers",12
"201","featNum17","access_info_exchange_government",20
"202","featNum17","access_info_exchange_ngo",16
"203","featNum17","access_info_exchange_researchers",22
"204","featNum17","access_mobile_phone",12
"205","featNum17","accessibility_phone_reception",16
"206","featNum17","age",10
"207","featNum17","cropland_area",12
"208","featNum17","distance_main_road",60
"209","featNum17","education_level_finished",16
"210","featNum17","education_level_household_finished",28
"211","featNum17","gender",10
"212","featNum17","hlabour",30
"213","featNum17","human_wellbeing_3",26
"214","featNum17","influence_nr_frequency",44
"215","featNum17","mean_transport",2
"216","featNum17","membership",46
"217","featNum17","num_adults_total",30
"218","featNum17","num_children",28
"219","featNum17","num_info_exchange_extension",60
"220","featNum17","num_info_exchange_farmers",18
"221","featNum17","num_info_exchange_ngo",32
"222","featNum17","num_info_exchange_researchers",12
"223","featNum17","num_info_exchange_sources",48
"224","featNum17","num_membership",56
"225","featNum17","num_occupation_secondary_list",8
"226","featNum17","participation_nr_frequency",46
"227","featNum17","project_participation",54
"228","featNum18","access_info_exchange_extension",46
"229","featNum18","access_info_exchange_farmers",16
"230","featNum18","access_info_exchange_government",20
"231","featNum18","access_info_exchange_ngo",20
"232","featNum18","access_info_exchange_researchers",24
"233","featNum18","access_mobile_phone",14
"234","featNum18","accessibility_phone_reception",20
"235","featNum18","age",10
"236","featNum18","cropland_area",18
"237","featNum18","distance_main_road",60
"238","featNum18","education_level_finished",18
"239","featNum18","education_level_household_finished",30
"240","featNum18","gender",10
"241","featNum18","hlabour",32
"242","featNum18","human_wellbeing_3",28
"243","featNum18","influence_nr_frequency",44
"244","featNum18","mean_transport",2
"245","featNum18","membership",46
"246","featNum18","num_adults_total",30
"247","featNum18","num_children",32
"248","featNum18","num_info_exchange_extension",60
"249","featNum18","num_info_exchange_farmers",20
"250","featNum18","num_info_exchange_ngo",32
"251","featNum18","num_info_exchange_researchers",14
"252","featNum18","num_info_exchange_sources",48
"253","featNum18","num_membership",56
"254","featNum18","num_occupation_secondary_list",10
"255","featNum18","participation_nr_frequency",46
"256","featNum18","project_participation",54
"257","featNum19","access_info_exchange_extension",46
"258","featNum19","access_info_exchange_farmers",16
"259","featNum19","access_info_exchange_government",24
"260","featNum19","access_info_exchange_ngo",24
"261","featNum19","access_info_exchange_researchers",28
"262","featNum19","access_mobile_phone",16
"263","featNum19","accessibility_phone_reception",26
"264","featNum19","age",10
"265","featNum19","cropland_area",20
"266","featNum19","distance_main_road",60
"267","featNum19","education_level_finished",18
"268","featNum19","education_level_household_finished",32
"269","featNum19","gender",12
"270","featNum19","hlabour",32
"271","featNum19","human_wellbeing_3",28
"272","featNum19","influence_nr_frequency",44
"273","featNum19","mean_transport",6
"274","featNum19","membership",46
"275","featNum19","num_adults_total",30
"276","featNum19","num_children",32
"277","featNum19","num_info_exchange_extension",60
"278","featNum19","num_info_exchange_farmers",22
"279","featNum19","num_info_exchange_ngo",32
"280","featNum19","num_info_exchange_researchers",16
"281","featNum19","num_info_exchange_sources",48
"282","featNum19","num_membership",56
"283","featNum19","num_occupation_secondary_list",12
"284","featNum19","participation_nr_frequency",48
"285","featNum19","project_participation",54
"286","featNum19","read_write.3",2
"287","featNum2","access_info_exchange_extension",34
"288","featNum2","distance_main_road",22
"289","featNum2","num_info_exchange_extension",60
"290","featNum2","num_membership",3
"291","featNum2","project_participation",1
"292","featNum20","access_info_exchange_extension",46
"293","featNum20","access_info_exchange_farmers",18
"294","featNum20","access_info_exchange_government",24
"295","featNum20","access_info_exchange_ngo",28
"296","featNum20","access_info_exchange_researchers",30
"297","featNum20","access_mobile_phone",16
"298","featNum20","accessibility_phone_reception",30
"299","featNum20","age",14
"300","featNum20","cropland_area",20
"301","featNum20","distance_main_road",60
"302","featNum20","education_level_finished",18
"303","featNum20","education_level_household_finished",34
"304","featNum20","gender",12
"305","featNum20","hlabour",34
"306","featNum20","human_wellbeing_3",28
"307","featNum20","influence_nr_frequency",44
"308","featNum20","mean_transport",10
"309","featNum20","membership",46
"310","featNum20","num_adults_total",30
"311","featNum20","num_children",32
"312","featNum20","num_info_exchange_extension",60
"313","featNum20","num_info_exchange_farmers",28
"314","featNum20","num_info_exchange_ngo",34
"315","featNum20","num_info_exchange_researchers",22
"316","featNum20","num_info_exchange_sources",48
"317","featNum20","num_membership",56
"318","featNum20","num_occupation_secondary_list",14
"319","featNum20","participation_nr_frequency",48
"320","featNum20","project_participation",54
"321","featNum20","read_write.3",2
"322","featNum3","access_info_exchange_extension",40
"323","featNum3","distance_main_road",42
"324","featNum3","num_adults_total",2
"325","featNum3","num_info_exchange_extension",60
"326","featNum3","num_info_exchange_sources",4
"327","featNum3","num_membership",18
"328","featNum3","project_participation",14
"329","featNum4","access_info_exchange_extension",40
"330","featNum4","distance_main_road",54
"331","featNum4","education_level_household_finished",4
"332","featNum4","influence_nr_frequency",6
"333","featNum4","membership",4
"334","featNum4","num_adults_total",2
"335","featNum4","num_info_exchange_extension",60
"336","featNum4","num_info_exchange_sources",6
"337","featNum4","num_membership",26
"338","featNum4","participation_nr_frequency",8
"339","featNum4","project_participation",30
"340","featNum5","access_info_exchange_extension",40
"341","featNum5","access_info_exchange_government",2
"342","featNum5","distance_main_road",58
"343","featNum5","education_level_household_finished",4
"344","featNum5","hlabour",8
"345","featNum5","human_wellbeing_3",2
"346","featNum5","influence_nr_frequency",12
"347","featNum5","membership",6
"348","featNum5","num_adults_total",4
"349","featNum5","num_info_exchange_extension",60
"350","featNum5","num_info_exchange_ngo",2
"351","featNum5","num_info_exchange_sources",18
"352","featNum5","num_membership",28
"353","featNum5","participation_nr_frequency",14
"354","featNum5","project_participation",42
"355","featNum6","access_info_exchange_extension",42
"356","featNum6","access_info_exchange_government",2
"357","featNum6","distance_main_road",60
"358","featNum6","education_level_household_finished",4
"359","featNum6","hlabour",8
"360","featNum6","human_wellbeing_3",6
"361","featNum6","influence_nr_frequency",16
"362","featNum6","membership",20
"363","featNum6","num_adults_total",10
"364","featNum6","num_children",4
"365","featNum6","num_info_exchange_extension",60
"366","featNum6","num_info_exchange_farmers",2
"367","featNum6","num_info_exchange_ngo",2
"368","featNum6","num_info_exchange_sources",26
"369","featNum6","num_membership",36
"370","featNum6","participation_nr_frequency",18
"371","featNum6","project_participation",44
"372","featNum7","access_info_exchange_extension",46
"373","featNum7","access_info_exchange_government",2
"374","featNum7","age",2
"375","featNum7","distance_main_road",60
"376","featNum7","education_level_finished",2
"377","featNum7","education_level_household_finished",8
"378","featNum7","hlabour",8
"379","featNum7","human_wellbeing_3",6
"380","featNum7","influence_nr_frequency",20
"381","featNum7","membership",34
"382","featNum7","num_adults_total",10
"383","featNum7","num_children",8
"384","featNum7","num_info_exchange_extension",60
"385","featNum7","num_info_exchange_farmers",2
"386","featNum7","num_info_exchange_ngo",4
"387","featNum7","num_info_exchange_sources",36
"388","featNum7","num_membership",44
"389","featNum7","participation_nr_frequency",18
"390","featNum7","project_participation",50
"391","featNum8","access_info_exchange_extension",46
"392","featNum8","access_info_exchange_government",2
"393","featNum8","age",2
"394","featNum8","distance_main_road",60
"395","featNum8","education_level_finished",2
"396","featNum8","education_level_household_finished",8
"397","featNum8","hlabour",10
"398","featNum8","human_wellbeing_3",8
"399","featNum8","influence_nr_frequency",36
"400","featNum8","membership",38
"401","featNum8","num_adults_total",10
"402","featNum8","num_children",10
"403","featNum8","num_info_exchange_extension",60
"404","featNum8","num_info_exchange_farmers",2
"405","featNum8","num_info_exchange_ngo",4
"406","featNum8","num_info_exchange_sources",38
"407","featNum8","num_membership",52
"408","featNum8","participation_nr_frequency",20
"409","featNum8","project_participation",52
"410","featNum9","access_info_exchange_extension",46
"411","featNum9","access_info_exchange_government",2
"412","featNum9","access_mobile_phone",2
"413","featNum9","accessibility_phone_reception",2
"414","featNum9","age",2
"415","featNum9","distance_main_road",60
"416","featNum9","education_level_finished",2
"417","featNum9","education_level_household_finished",10
"418","featNum9","gender",2
"419","featNum9","hlabour",14
