"","NumFeatures","selected_factors","frequency"
"1","featNum1","crop_type.cacao",40
"2","featNum1","nearest_farmer_adopted",3
"3","featNum1","perception_associations_effectiveness",3
"4","featNum1","soil_pH_mean",2
"5","featNum1","support_provider.cooperatives",7
"6","featNum1","training_participation",5
"7","featNum10","age",3
"8","featNum10","agroecol_perspective_1",3
"9","featNum10","agroecol_perspective_3",11
"10","featNum10","agroecol_perspective_7",4
"11","featNum10","assets_count",3
"12","featNum10","crop_type.cacao",60
"13","featNum10","distance_main_road",21
"14","featNum10","fair_price_crops",7
"15","featNum10","farm_size",3
"16","featNum10","farmer_agency_1",14
"17","featNum10","gender",3
"18","featNum10","human_wellbeing_11",19
"19","featNum10","influence_nr_frequency",16
"20","featNum10","land_tenure_own_area",7
"21","featNum10","livestock_count_tlu",6
"22","featNum10","nearest_distance_dfs_km",14
"23","featNum10","nearest_farmer_adopted",38
"24","featNum10","numHA_nhlabour_seasonal_total",24
"25","featNum10","num_info_exchange_extension",29
"26","featNum10","num_info_exchange_researchers",3
"27","featNum10","num_membership",4
"28","featNum10","perception_associations_effectiveness",49
"29","featNum10","project_participation",6
"30","featNum10","sfs_monoculture_annual_area",7
"31","featNum10","sfs_monoculture_perennial_adoption",6
"32","featNum10","sfs_monoculture_perennial_area",33
"33","featNum10","soil_depth",6
"34","featNum10","soil_fertility_perception",3
"35","featNum10","soil_pH_mean",33
"36","featNum10","support_provider.cooperatives",56
"37","featNum10","support_provider.ind_different_community",11
"38","featNum10","training_participation",50
"39","featNum10","use_percentage_crops_sales",3
"40","featNum10","years_farming_land",45
"41","featNum11","accessibility_phone_reception",3
"42","featNum11","age",3
"43","featNum11","agroecol_perspective_1",8
"44","featNum11","agroecol_perspective_12",3
"45","featNum11","agroecol_perspective_3",10
"46","featNum11","agroecol_perspective_7",3
"47","featNum11","assets_count",4
"48","featNum11","crop_type.cacao",60
"49","featNum11","distance_main_road",20
"50","featNum11","fair_price_crops",13
"51","featNum11","farm_size",3
"52","featNum11","farmer_agency_1",12
"53","featNum11","gender",4
"54","featNum11","human_wellbeing_11",21
"55","featNum11","influence_nr_frequency",24
"56","featNum11","land_tenure_own_area",9
"57","featNum11","livestock_count_tlu",8
"58","featNum11","main_crops_annual",4
"59","featNum11","nearest_distance_dfs_km",12
"60","featNum11","nearest_farmer_adopted",37
"61","featNum11","numHA_nhlabour_seasonal_total",22
"62","featNum11","num_info_exchange_extension",29
"63","featNum11","num_info_exchange_researchers",6
"64","featNum11","num_membership",3
"65","featNum11","perception_associations_effectiveness",54
"66","featNum11","project_participation",8
"67","featNum11","sfs_monoculture_annual_area",7
"68","featNum11","sfs_monoculture_perennial_adoption",6
"69","featNum11","sfs_monoculture_perennial_area",35
"70","featNum11","soil_depth",8
"71","featNum11","soil_fertility_perception",3
"72","featNum11","soil_pH_mean",37
"73","featNum11","support_provider.cooperatives",57
"74","featNum11","support_provider.ind_different_community",18
"75","featNum11","training_participation",53
"76","featNum11","use_percentage_crops_sales",4
"77","featNum11","years_farming_land",49
"78","featNum12","accessibility_phone_reception",4
"79","featNum12","age",4
"80","featNum12","agroecol_perspective_1",6
"81","featNum12","agroecol_perspective_12",7
"82","featNum12","agroecol_perspective_3",18
"83","featNum12","agroecol_perspective_7",6
"84","featNum12","assets_count",6
"85","featNum12","crop_type.cacao",60
"86","featNum12","distance_main_road",19
"87","featNum12","fair_price_crops",14
"88","featNum12","farm_size",7
"89","featNum12","farmer_agency_1",14
"90","featNum12","gender",3
"91","featNum12","human_wellbeing_11",20
"92","featNum12","influence_nr_frequency",23
"93","featNum12","land_tenure_own_area",11
"94","featNum12","livestock_count_tlu",6
"95","featNum12","main_crops_annual",7
"96","featNum12","nearest_distance_dfs_km",14
"97","featNum12","nearest_farmer_adopted",35
"98","featNum12","numHA_nhlabour_seasonal_total",24
"99","featNum12","num_info_exchange_extension",38
"100","featNum12","num_info_exchange_researchers",7
"101","featNum12","num_membership",7
"102","featNum12","participation_nr_frequency",3
"103","featNum12","perception_associations_effectiveness",54
"104","featNum12","project_participation",10
"105","featNum12","rainfall_amount_change_perception",4
"106","featNum12","sfs_monoculture_annual_area",6
"107","featNum12","sfs_monoculture_perennial_adoption",8
"108","featNum12","sfs_monoculture_perennial_area",35
"109","featNum12","soil_depth",6
"110","featNum12","soil_fertility_perception",4
"111","featNum12","soil_pH_mean",36
"112","featNum12","support_provider.cooperatives",57
"113","featNum12","support_provider.ind_different_community",27
"114","featNum12","training_participation",54
"115","featNum12","use_percentage_crops_sales",3
"116","featNum12","years_farming_land",53
"117","featNum13","accessibility_phone_reception",3
"118","featNum13","age",3
"119","featNum13","agroecol_perspective_1",6
"120","featNum13","agroecol_perspective_12",7
