"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum13","crop_type.cacao",60,"farm_management_characteristics","Main crop: cacao","Name of the main crop produced by the household."
"2","featNum13","distance_main_road",60,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"3","featNum13","income_spend_on_food_percentage",60,"financial_capital","Percentage of income spent on food","In the past 7 days, what percentage of the household's income was used to buy food?"
"4","featNum13","income_stability",60,"financial_capital","Income stability","How would the farmer rate the stability of the household income over time?"
"5","featNum13","num_pest_management_ecol_practices",55,"farm_management_characteristics","Number of ecological practices for pest management","Number of ecological pest management practices used on the farm in the last 12 months."
"6","featNum13","years_farming_land",54,"natural_capital","Years of farming land","Number of years the household has been farming this land."
"7","featNum13","income_sufficiency",52,"financial_capital","Income sufficiency","Does the household earn enough income from farming to support the family?"
"8","featNum13","income_amount_onfarm",49,"financial_capital","On-farm income amount","Total income the household earned from on-farm sources (e.g., crop, livestock, fish) in the last 12 months."
"9","featNum13","influence_nr_frequency",48,"social_capital","Household influence in resource governance","To what extent does the household contribute to decision-making in managing the community's land and natural resources?"
"10","featNum13","perception_associations_effectiveness",43,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
"11","featNum13","agroecol_perspective_7",36,"farmers_behaviour","Power and freedom to solve problems collectively","How far does the farmer agree with the statement: If I work together with others in my community, we have power and freedom to solve problems facing farmers."
"12","featNum13","numHA_nhlabour_permanent_total",28,"human_capital","Permanent household labour density","Number of household members working permanently in farming activities per hectare."
"13","featNum13","sfs_monoculture_perennial_area",23,"farm_management_characteristics","Area under monoculture perennial","Total area of monoculture perennial crops on the farm."
