"","NumFeatures","selected_factors","frequency"
"1","featNum1","crop_type.cacao",58
"2","featNum1","income_spend_on_food_percentage",1
"3","featNum1","income_stability",1
"4","featNum10","agroecol_perspective_7",19
"5","featNum10","assets_count",3
"6","featNum10","crop_type.cacao",60
"7","featNum10","crop_type.camucamu",11
"8","featNum10","distance_main_road",60
"9","featNum10","fair_price_crops",3
"10","featNum10","human_wellbeing_7",6
"11","featNum10","income_amount_onfarm",33
"12","featNum10","income_spend_on_food_percentage",60
"13","featNum10","income_stability",57
"14","featNum10","income_sufficiency",43
"15","featNum10","influence_nr_frequency",44
"16","featNum10","numHA_nhlabour_permanent_total",12
"17","featNum10","num_info_exchange_farmers",4
"18","featNum10","num_pest_management_ecol_practices",46
"19","featNum10","participation_nr_frequency",6
"20","featNum10","perception_associations_effectiveness",40
"21","featNum10","sales_channel_crops.cooperative",3
"22","featNum10","sales_channel_crops.direct_to_consumer",10
"23","featNum10","sfs_monoculture_perennial_area",15
"24","featNum10","support_provider.cooperatives",20
"25","featNum10","use_percentage_crops_sales",3
"26","featNum10","years_farming_land",42
"27","featNum11","agroecol_perspective_7",22
"28","featNum11","assets_count",3
"29","featNum11","crop_type.cacao",60
"30","featNum11","crop_type.camucamu",14
"31","featNum11","distance_closest_farmland",3
"32","featNum11","distance_main_road",60
"33","featNum11","fair_price_crops",2
"34","featNum11","human_wellbeing_7",6
"35","featNum11","income_amount_onfarm",36
"36","featNum11","income_spend_on_food_percentage",60
"37","featNum11","income_stability",60
"38","featNum11","income_sufficiency",46
"39","featNum11","influence_nr_frequency",42
"40","featNum11","numHA_nhlabour_permanent_total",18
"41","featNum11","num_info_exchange_farmers",9
"42","featNum11","num_pest_management_ecol_practices",52
"43","featNum11","participation_nr_frequency",11
"44","featNum11","perception_associations_effectiveness",42
"45","featNum11","sales_channel_crops.cooperative",6
"46","featNum11","sales_channel_crops.direct_to_consumer",14
"47","featNum11","seeds_certified_local",3
"48","featNum11","sfs_monoculture_perennial_area",17
"49","featNum11","support_provider.cooperatives",21
"50","featNum11","training_participation",3
"51","featNum11","use_percentage_crops_sales",3
"52","featNum11","years_farming_land",47
"53","featNum12","agroecol_perspective_7",34
"54","featNum12","assets_count",3
"55","featNum12","crop_type.cacao",60
"56","featNum12","crop_type.camucamu",17
"57","featNum12","distance_closest_farmland",3
"58","featNum12","distance_main_road",60
"59","featNum12","fair_price_crops",3
"60","featNum12","human_wellbeing_7",5
"61","featNum12","income_amount_onfarm",42
"62","featNum12","income_spend_on_food_percentage",60
"63","featNum12","income_stability",60
"64","featNum12","income_sufficiency",51
"65","featNum12","influence_nr_frequency",48
"66","featNum12","numHA_hlabour_seasonal_total",3
"67","featNum12","numHA_nhlabour_permanent_total",26
"68","featNum12","num_info_exchange_farmers",12
"69","featNum12","num_pest_management_ecol_practices",51
"70","featNum12","participation_nr_frequency",11
"71","featNum12","perception_associations_effectiveness",42
"72","featNum12","sales_channel_crops.cooperative",5
"73","featNum12","sales_channel_crops.direct_to_consumer",15
"74","featNum12","seeds_certified_local",9
"75","featNum12","sfs_monoculture_perennial_area",21
"76","featNum12","support_provider.cooperatives",24
"77","featNum12","support_provider.ind_different_community",3
"78","featNum12","training_participation",3
"79","featNum12","use_percentage_crops_sales",3
"80","featNum12","years_farming_land",46
"81","featNum13","agroecol_perspective_7",36
"82","featNum13","assets_count",2
"83","featNum13","crop_type.cacao",60
"84","featNum13","crop_type.camucamu",18
"85","featNum13","distance_closest_farmland",3
"86","featNum13","distance_main_road",60
"87","featNum13","fair_price_crops",3
"88","featNum13","human_wellbeing_7",11
"89","featNum13","income_amount_onfarm",49
"90","featNum13","income_spend_on_food_percentage",60
"91","featNum13","income_stability",60
"92","featNum13","income_sufficiency",52
"93","featNum13","influence_nr_frequency",48
"94","featNum13","numHA_hlabour_seasonal_total",3
"95","featNum13","numHA_nhlabour_permanent_total",28
"96","featNum13","num_info_exchange_extension",3
"97","featNum13","num_info_exchange_farmers",12
"98","featNum13","num_pest_management_ecol_practices",55
"99","featNum13","participation_nr_frequency",15
"100","featNum13","perception_associations_effectiveness",43
"101","featNum13","sales_channel_crops.cooperative",12
"102","featNum13","sales_channel_crops.direct_to_consumer",20
"103","featNum13","sales_channel_crops.retailers",2
"104","featNum13","seeds_certified_local",9
"105","featNum13","sfs_monoculture_perennial_area",23
"106","featNum13","support_provider.cooperatives",22
"107","featNum13","support_provider.ind_different_community",6
"108","featNum13","support_provider.shops",2
"109","featNum13","training_participation",3
"110","featNum13","use_percentage_crops_sales",3
"111","featNum13","years_farming_land",54
"112","featNum13","years_in_community",3
"113","featNum14","access_info_exchange_consumers",3
"114","featNum14","agroecol_perspective_6",6
"115","featNum14","agroecol_perspective_7",40
"116","featNum14","assets_count",3
"117","featNum14","crop_type.cacao",60
"118","featNum14","crop_type.camucamu",18
"119","featNum14","distance_closest_farmland",5
"120","featNum14","distance_main_road",60
"121","featNum14","fair_price_crops",6
"122","featNum14","household_shock_recover_activities.7",5
"123","featNum14","human_wellbeing_7",12
"124","featNum14","income_amount_onfarm",51
"125","featNum14","income_spend_on_food_percentage",60
"126","featNum14","income_stability",60
"127","featNum14","income_sufficiency",55
"128","featNum14","influence_nr_frequency",51
"129","featNum14","land_tenure_own_area",3
"130","featNum14","numHA_hlabour_seasonal_total",3
"131","featNum14","numHA_nhlabour_permanent_total",34
"132","featNum14","num_info_exchange_extension",6
"133","featNum14","num_info_exchange_farmers",14
"134","featNum14","num_pest_management_ecol_practices",54
"135","featNum14","participation_nr_frequency",17
"136","featNum14","perception_associations_effectiveness",43
"137","featNum14","sales_channel_crops.cooperative",12
"138","featNum14","sales_channel_crops.direct_to_consumer",22
"139","featNum14","sales_channel_crops.retailers",3
"140","featNum14","seeds_certified_local",12
"141","featNum14","sfs_monoculture_perennial_area",24
"142","featNum14","support_provider.cooperatives",23
"143","featNum14","support_provider.ind_different_community",6
"144","featNum14","support_provider.shops",3
"145","featNum14","training_participation",3
"146","featNum14","use_percentage_crops_sales",3
"147","featNum14","years_farming_land",57
"148","featNum14","years_in_community",3
"149","featNum15","access_info_exchange_consumers",6
"150","featNum15","access_info_exchange_farmers",6
"151","featNum15","agroecol_perspective_6",6
"152","featNum15","agroecol_perspective_7",41
"153","featNum15","assets_count",3
"154","featNum15","crop_type.cacao",60
"155","featNum15","crop_type.camucamu",20
"156","featNum15","distance_closest_farmland",8
"157","featNum15","distance_main_road",60
"158","featNum15","fair_price_crops",6
"159","featNum15","household_shock_recover_activities.7",6
"160","featNum15","human_wellbeing_7",12
"161","featNum15","income_amount_onfarm",51
"162","featNum15","income_spend_on_food_percentage",60
"163","featNum15","income_stability",60
"164","featNum15","income_sufficiency",60
"165","featNum15","influence_nr_frequency",57
"166","featNum15","land_tenure_own_area",3
"167","featNum15","numHA_hlabour_seasonal_total",5
"168","featNum15","numHA_nhlabour_permanent_total",37
"169","featNum15","num_info_exchange_extension",7
"170","featNum15","num_info_exchange_farmers",17
"171","featNum15","num_pest_management_ecol_practices",54
"172","featNum15","participation_nr_frequency",21
"173","featNum15","perception_associations_effectiveness",44
"174","featNum15","sales_channel_crops.cooperative",14
"175","featNum15","sales_channel_crops.direct_to_consumer",24
"176","featNum15","sales_channel_crops.retailers",3
"177","featNum15","seeds_certified_local",11
"178","featNum15","sfs_monoculture_perennial_area",34
"179","featNum15","soil_fertility_management_organic",3
"180","featNum15","support_provider.cooperatives",22
"181","featNum15","support_provider.ind_different_community",5
"182","featNum15","support_provider.shops",5
"183","featNum15","training_participation",3
"184","featNum15","use_percentage_crops_sales",3
"185","featNum15","years_farming_land",57
"186","featNum15","years_in_community",6
"187","featNum16","access_info_exchange_consumers",9
"188","featNum16","access_info_exchange_farmers",6
"189","featNum16","agroecol_perspective_6",6
"190","featNum16","agroecol_perspective_7",40
"191","featNum16","assets_count",3
"192","featNum16","crop_type.cacao",60
