"","NumFeatures","selected_factors","frequency"
"1","featNum1","crop_type.cacao",35
"2","featNum1","participation_nr_frequency",25
"3","featNum10","access_info_exchange_extension",1
"4","featNum10","age",18
"5","featNum10","agroecol_perspective_1",33
"6","featNum10","agroecol_perspective_3",53
"7","featNum10","agroecol_perspective_6",14
"8","featNum10","agroecol_perspective_7",59
"9","featNum10","assets_count",1
"10","featNum10","credit_access",6
"11","featNum10","crop_type.cacao",60
"12","featNum10","distance_water_source",1
"13","featNum10","farm_size",1
"14","featNum10","farmer_agency_1",1
"15","featNum10","farmer_agency_3",3
"16","featNum10","farmer_agency_5",2
"17","featNum10","human_wellbeing_11",58
"18","featNum10","income_amount_nonfarm",2
"19","featNum10","income_amount_onfarm",4
"20","featNum10","income_stability",41
"21","featNum10","income_sufficiency",1
"22","featNum10","land_tenure_own_area",7
"23","featNum10","livestock_count_tlu",2
"24","featNum10","membership",1
"25","featNum10","numHA_hlabour_seasonal_total",6
"26","featNum10","numHA_nhlabour_seasonal_total",10
"27","featNum10","num_info_exchange_extension",23
"28","featNum10","num_info_exchange_farmers",5
"29","featNum10","num_membership",3
"30","featNum10","participation_nr_frequency",60
"31","featNum10","perception_associations_effectiveness",52
"32","featNum10","support_provider.cooperatives",39
"33","featNum10","training_participation",8
"34","featNum10","years_farming_land",25
"35","featNum11","access_info_exchange_extension",3
"36","featNum11","age",21
"37","featNum11","agroecol_perspective_1",38
"38","featNum11","agroecol_perspective_3",54
"39","featNum11","agroecol_perspective_6",15
"40","featNum11","agroecol_perspective_7",58
"41","featNum11","assets_count",2
"42","featNum11","credit_access",7
"43","featNum11","crop_type.cacao",60
"44","featNum11","distance_water_source",3
"45","featNum11","farmer_agency_1",1
"46","featNum11","farmer_agency_3",3
"47","featNum11","farmer_agency_5",3
"48","featNum11","household_held_debt",1
"49","featNum11","human_wellbeing_11",59
"50","featNum11","income_amount_nonfarm",5
"51","featNum11","income_amount_onfarm",7
"52","featNum11","income_stability",42
"53","featNum11","income_sufficiency",1
"54","featNum11","land_tenure_own_area",8
"55","featNum11","livestock_count_tlu",2
"56","featNum11","membership",2
"57","featNum11","numHA_hlabour_seasonal_total",8
"58","featNum11","numHA_nhlabour_seasonal_total",15
"59","featNum11","num_info_exchange_extension",30
"60","featNum11","num_info_exchange_farmers",7
"61","featNum11","num_membership",3
"62","featNum11","participation_nr_frequency",60
"63","featNum11","perception_associations_effectiveness",53
"64","featNum11","support_provider.bank",3
"65","featNum11","support_provider.cooperatives",40
"66","featNum11","training_participation",15
"67","featNum11","years_farming_land",31
"68","featNum12","access_info_exchange_extension",2
"69","featNum12","access_info_exchange_farmers",2
"70","featNum12","age",24
"71","featNum12","agroecol_perspective_1",40
"72","featNum12","agroecol_perspective_3",56
"73","featNum12","agroecol_perspective_6",23
"74","featNum12","agroecol_perspective_7",59
"75","featNum12","assets_count",4
"76","featNum12","credit_access",8
"77","featNum12","crop_type.cacao",60
"78","featNum12","distance_water_source",3
"79","featNum12","education_level_finished",1
"80","featNum12","education_level_household_finished",2
"81","featNum12","farm_size",1
"82","featNum12","farmer_agency_1",1
"83","featNum12","farmer_agency_3",3
"84","featNum12","farmer_agency_5",2
"85","featNum12","household_held_debt",1
"86","featNum12","human_wellbeing_11",60
"87","featNum12","income_amount_nonfarm",3
"88","featNum12","income_amount_onfarm",11
"89","featNum12","income_stability",45
"90","featNum12","income_sufficiency",2
"91","featNum12","land_tenure_hold_status",1
"92","featNum12","land_tenure_own_area",11
"93","featNum12","livestock_count_tlu",3
"94","featNum12","marital_status.3",1
"95","featNum12","membership",3
"96","featNum12","numHA_hlabour_seasonal_total",10
"97","featNum12","numHA_nhlabour_seasonal_total",18
"98","featNum12","num_info_exchange_extension",31
"99","featNum12","num_info_exchange_farmers",11
"100","featNum12","num_membership",3
"101","featNum12","participation_nr_frequency",60
"102","featNum12","perception_associations_effectiveness",54
"103","featNum12","support_provider.bank",4
"104","featNum12","support_provider.cooperatives",40
"105","featNum12","training_participation",20
"106","featNum12","years_farming_land",37
"107","featNum13","access_info_exchange_extension",4
"108","featNum13","access_info_exchange_farmers",3
"109","featNum13","age",26
"110","featNum13","agroecol_perspective_1",41
"111","featNum13","agroecol_perspective_3",56
"112","featNum13","agroecol_perspective_6",24
"113","featNum13","agroecol_perspective_7",58
"114","featNum13","assets_count",5
"115","featNum13","credit_access",13
"116","featNum13","crop_type.cacao",60
"117","featNum13","distance_water_source",5
"118","featNum13","education_level_finished",2
"119","featNum13","education_level_household_finished",2
"120","featNum13","farm_size",2
"121","featNum13","farmer_agency_1",3
"122","featNum13","farmer_agency_3",2
"123","featNum13","farmer_agency_5",3
"124","featNum13","household_held_debt",1
"125","featNum13","human_wellbeing_11",59
"126","featNum13","human_wellbeing_5",1
"127","featNum13","income_amount_nonfarm",5
"128","featNum13","income_amount_onfarm",14
"129","featNum13","income_stability",45
"130","featNum13","income_sufficiency",4
"131","featNum13","land_tenure_hold_status",1
"132","featNum13","land_tenure_own_area",15
"133","featNum13","livestock_count_tlu",6
"134","featNum13","marital_status.2",1
"135","featNum13","marital_status.3",2
"136","featNum13","membership",4
"137","featNum13","numHA_hlabour_seasonal_total",11
"138","featNum13","numHA_nhlabour_seasonal_total",17
"139","featNum13","num_info_exchange_extension",42
"140","featNum13","num_info_exchange_farmers",12
"141","featNum13","num_info_exchange_sources",1
"142","featNum13","num_membership",6
"143","featNum13","participation_nr_frequency",60
"144","featNum13","perception_associations_effectiveness",54
"145","featNum13","project_participation",1
"146","featNum13","support_provider.bank",7
"147","featNum13","support_provider.cooperatives",41
"148","featNum13","training_participation",18
"149","featNum13","years_farming_land",42
"150","featNum13","years_in_community",1
"151","featNum14","access_info_exchange_extension",5
"152","featNum14","access_info_exchange_farmers",3
"153","featNum14","age",25
"154","featNum14","agroecol_perspective_1",41
"155","featNum14","agroecol_perspective_3",57
"156","featNum14","agroecol_perspective_6",29
"157","featNum14","agroecol_perspective_7",59
"158","featNum14","assets_count",7
"159","featNum14","credit_access",16
"160","featNum14","crop_type.cacao",60
"161","featNum14","distance_water_source",8
"162","featNum14","education_level_finished",1
"163","featNum14","education_level_household_finished",3
"164","featNum14","farm_size",6
"165","featNum14","farmer_agency_1",4
"166","featNum14","farmer_agency_3",3
"167","featNum14","farmer_agency_5",5
"168","featNum14","farmer_agency_7",1
"169","featNum14","household_held_debt",1
"170","featNum14","human_wellbeing_11",59
"171","featNum14","human_wellbeing_5",1
"172","featNum14","income_amount_nonfarm",7
"173","featNum14","income_amount_onfarm",15
"174","featNum14","income_stability",45
"175","featNum14","income_sufficiency",8
"176","featNum14","land_tenure_hold_status",3
"177","featNum14","land_tenure_own_area",19
"178","featNum14","land_tenure_own_proportion",1
"179","featNum14","livestock_count_tlu",7
"180","featNum14","marital_status.2",1
"181","featNum14","marital_status.3",2
"182","featNum14","membership",4
"183","featNum14","numHA_hlabour_seasonal_total",16
"184","featNum14","numHA_nhlabour_seasonal_total",19
"185","featNum14","num_info_exchange_extension",42
"186","featNum14","num_info_exchange_farmers",15
"187","featNum14","num_info_exchange_sources",1
"188","featNum14","num_membership",9
"189","featNum14","participation_nr_frequency",60
"190","featNum14","perception_associations_effectiveness",54
"191","featNum14","project_participation",1
"192","featNum14","support_provider.bank",10
"193","featNum14","support_provider.cooperatives",43
"194","featNum14","training_participation",22
"195","featNum14","years_farming_land",41
"196","featNum14","years_in_community",1
"197","featNum15","access_info_exchange_extension",7
"198","featNum15","access_info_exchange_farmers",3
"199","featNum15","age",30
"200","featNum15","agroecol_perspective_1",43
"201","featNum15","agroecol_perspective_3",59
"202","featNum15","agroecol_perspective_6",37
"203","featNum15","agroecol_perspective_7",59
"204","featNum15","assets_count",11
"205","featNum15","credit_access",19
"206","featNum15","crop_type.cacao",60
"207","featNum15","distance_water_source",9
"208","featNum15","education_level_finished",3
"209","featNum15","education_level_household_finished",2
"210","featNum15","farm_size",5
"211","featNum15","farmer_agency_1",3
"212","featNum15","farmer_agency_3",3
"213","featNum15","farmer_agency_5",6
"214","featNum15","farmer_agency_7",2
"215","featNum15","human_wellbeing_11",59
"216","featNum15","human_wellbeing_5",2
"217","featNum15","income_amount_nonfarm",9
"218","featNum15","income_amount_onfarm",16
"219","featNum15","income_stability",45
"220","featNum15","income_sufficiency",8
"221","featNum15","land_tenure_hold_status",4
"222","featNum15","land_tenure_own_area",20
"223","featNum15","land_tenure_own_proportion",2
"224","featNum15","livestock_count_tlu",7
"225","featNum15","marital_status.2",1
"226","featNum15","marital_status.3",2
"227","featNum15","membership",5
"228","featNum15","numHA_hlabour_seasonal_total",15
"229","featNum15","numHA_nhlabour_seasonal_total",21
"230","featNum15","num_info_exchange_extension",48
"231","featNum15","num_info_exchange_farmers",19
"232","featNum15","num_info_exchange_sources",2
"233","featNum15","num_membership",10
"234","featNum15","participation_nr_frequency",60
"235","featNum15","perception_associations_effectiveness",56
"236","featNum15","support_provider.bank",15
"237","featNum15","support_provider.community_leaders",2
"238","featNum15","support_provider.cooperatives",45
"239","featNum15","training_participation",23
"240","featNum15","years_farming_land",41
"241","featNum15","years_in_community",2
"242","featNum16","access_info_exchange_extension",8
"243","featNum16","access_info_exchange_farmers",3
"244","featNum16","age",28
"245","featNum16","agroecol_perspective_1",44
"246","featNum16","agroecol_perspective_3",58
"247","featNum16","agroecol_perspective_6",35
"248","featNum16","agroecol_perspective_7",59
"249","featNum16","assets_count",11
"250","featNum16","credit_access",22
"251","featNum16","crop_type.cacao",60
"252","featNum16","distance_water_source",10
"253","featNum16","education_level_finished",3
"254","featNum16","education_level_household_finished",3
"255","featNum16","farm_size",6
"256","featNum16","farmer_agency_1",5
"257","featNum16","farmer_agency_3",4
"258","featNum16","farmer_agency_5",7
"259","featNum16","farmer_agency_7",2
"260","featNum16","household_held_debt",1
"261","featNum16","human_wellbeing_11",59
"262","featNum16","human_wellbeing_5",4
"263","featNum16","income_amount_nonfarm",9
"264","featNum16","income_amount_onfarm",21
"265","featNum16","income_stability",46
"266","featNum16","income_sufficiency",9
"267","featNum16","land_tenure_hold_status",4
"268","featNum16","land_tenure_own_area",25
"269","featNum16","land_tenure_own_proportion",2
"270","featNum16","livestock_count_tlu",7
"271","featNum16","marital_status.3",3
"272","featNum16","membership",7
"273","featNum16","numHA_hlabour_seasonal_total",18
"274","featNum16","numHA_nhlabour_seasonal_total",21
"275","featNum16","num_info_exchange_extension",49
"276","featNum16","num_info_exchange_farmers",18
"277","featNum16","num_info_exchange_sources",2
"278","featNum16","num_membership",9
"279","featNum16","participation_nr_frequency",60
"280","featNum16","perception_associations_effectiveness",56
"281","featNum16","project_participation",3
"282","featNum16","support_provider.bank",18
"283","featNum16","support_provider.community_leaders",2
"284","featNum16","support_provider.cooperatives",46
"285","featNum16","training_participation",26
"286","featNum16","years_farming_land",44
"287","featNum16","years_in_community",3
"288","featNum17","access_info_exchange_extension",10
"289","featNum17","access_info_exchange_farmers",5
"290","featNum17","age",31
"291","featNum17","agroecol_perspective_1",43
"292","featNum17","agroecol_perspective_3",58
"293","featNum17","agroecol_perspective_6",36
"294","featNum17","agroecol_perspective_7",59
"295","featNum17","assets_count",13
"296","featNum17","credit_access",21
"297","featNum17","crop_type.cacao",60
"298","featNum17","distance_water_source",9
"299","featNum17","education_level_finished",3
"300","featNum17","education_level_household_finished",2
"301","featNum17","farm_size",6
"302","featNum17","farmer_agency_1",6
"303","featNum17","farmer_agency_3",2
"304","featNum17","farmer_agency_5",9
"305","featNum17","farmer_agency_7",2
"306","featNum17","household_held_debt",1
"307","featNum17","human_wellbeing_11",59
"308","featNum17","human_wellbeing_5",4
"309","featNum17","human_wellbeing_7",1
"310","featNum17","income_amount_nonfarm",11
"311","featNum17","income_amount_onfarm",25
"312","featNum17","income_stability",45
"313","featNum17","income_sufficiency",10
"314","featNum17","land_tenure_hold_status",5
"315","featNum17","land_tenure_own_area",24
"316","featNum17","land_tenure_own_proportion",2
"317","featNum17","livestock_count_tlu",7
"318","featNum17","marital_status.2",1
"319","featNum17","marital_status.3",3
"320","featNum17","membership",7
"321","featNum17","numHA_hlabour_seasonal_total",19
"322","featNum17","numHA_nhlabour_seasonal_total",25
"323","featNum17","num_info_exchange_extension",53
"324","featNum17","num_info_exchange_farmers",23
"325","featNum17","num_info_exchange_sources",4
"326","featNum17","num_membership",14
"327","featNum17","participation_nr_frequency",60
"328","featNum17","perception_associations_effectiveness",57
"329","featNum17","project_participation",3
"330","featNum17","support_provider.bank",18
"331","featNum17","support_provider.community_leaders",2
"332","featNum17","support_provider.cooperatives",46
"333","featNum17","support_provider.ind_own_community",1
"334","featNum17","training_participation",29
"335","featNum17","years_farming_land",42
"336","featNum17","years_in_community",4
"337","featNum18","access_info_exchange_extension",12
"338","featNum18","access_info_exchange_farmers",5
"339","featNum18","access_info_exchange_government",1
"340","featNum18","age",34
"341","featNum18","agroecol_perspective_1",44
"342","featNum18","agroecol_perspective_3",58
"343","featNum18","agroecol_perspective_6",42
"344","featNum18","agroecol_perspective_7",59
"345","featNum18","assets_count",11
"346","featNum18","credit_access",24
"347","featNum18","crop_type.cacao",60
"348","featNum18","distance_water_source",11
"349","featNum18","education_level_finished",4
"350","featNum18","education_level_household_finished",3
"351","featNum18","farm_size",9
"352","featNum18","farmer_agency_1",6
"353","featNum18","farmer_agency_3",4
"354","featNum18","farmer_agency_5",9
"355","featNum18","farmer_agency_7",2
"356","featNum18","household_held_debt",1
"357","featNum18","human_wellbeing_11",59
"358","featNum18","human_wellbeing_5",2
"359","featNum18","human_wellbeing_7",1
"360","featNum18","income_amount_nonfarm",11
"361","featNum18","income_amount_onfarm",27
"362","featNum18","income_stability",45
"363","featNum18","income_sufficiency",12
"364","featNum18","land_tenure_hold_proportion",1
"365","featNum18","land_tenure_hold_status",7
"366","featNum18","land_tenure_own_area",23
"367","featNum18","land_tenure_own_proportion",2
"368","featNum18","livestock_count_tlu",7
"369","featNum18","marital_status.2",2
"370","featNum18","marital_status.3",4
"371","featNum18","membership",8
"372","featNum18","numHA_hlabour_seasonal_total",22
"373","featNum18","numHA_nhlabour_seasonal_total",24
"374","featNum18","num_info_exchange_extension",53
"375","featNum18","num_info_exchange_farmers",22
"376","featNum18","num_info_exchange_sources",6
"377","featNum18","num_membership",15
"378","featNum18","participation_nr_frequency",60
"379","featNum18","perception_associations_effectiveness",57
"380","featNum18","project_participation",5
"381","featNum18","support_provider.bank",22
"382","featNum18","support_provider.community_leaders",2
"383","featNum18","support_provider.cooperatives",46
"384","featNum18","support_provider.ind_own_community",1
"385","featNum18","training_participation",27
"386","featNum18","years_farming_land",44
"387","featNum18","years_in_community",4
"388","featNum19","access_info_exchange_extension",11
"389","featNum19","access_info_exchange_farmers",4
"390","featNum19","access_info_exchange_government",1
"391","featNum19","age",33
"392","featNum19","agroecol_perspective_1",44
"393","featNum19","agroecol_perspective_3",59
"394","featNum19","agroecol_perspective_6",40
"395","featNum19","agroecol_perspective_7",59
"396","featNum19","assets_count",12
"397","featNum19","credit_access",33
"398","featNum19","crop_type.cacao",60
"399","featNum19","distance_water_source",11
"400","featNum19","education_level_finished",3
"401","featNum19","education_level_household_finished",4
"402","featNum19","farm_size",12
"403","featNum19","farmer_agency_1",7
"404","featNum19","farmer_agency_3",4
"405","featNum19","farmer_agency_5",8
"406","featNum19","farmer_agency_7",3
"407","featNum19","household_held_debt",1
"408","featNum19","human_wellbeing_11",59
"409","featNum19","human_wellbeing_5",5
"410","featNum19","human_wellbeing_7",1
"411","featNum19","income_amount_nonfarm",15
"412","featNum19","income_amount_onfarm",30
"413","featNum19","income_stability",45
"414","featNum19","income_sufficiency",16
"415","featNum19","land_tenure_hold_area",1
"416","featNum19","land_tenure_hold_proportion",3
"417","featNum19","land_tenure_hold_status",5
"418","featNum19","land_tenure_own_area",26
"419","featNum19","land_tenure_own_proportion",2
"420","featNum19","livestock_count_tlu",7
"421","featNum19","marital_status.2",2
"422","featNum19","marital_status.3",6
"423","featNum19","membership",10
"424","featNum19","numHA_hlabour_seasonal_total",23
"425","featNum19","numHA_nhlabour_seasonal_total",24
"426","featNum19","num_info_exchange_extension",52
"427","featNum19","num_info_exchange_farmers",26
"428","featNum19","num_info_exchange_sources",6
"429","featNum19","num_membership",15
"430","featNum19","participation_nr_frequency",60
"431","featNum19","perception_associations_effectiveness",56
"432","featNum19","project_participation",6
"433","featNum19","support_provider.bank",19
"434","featNum19","support_provider.community_leaders",2
"435","featNum19","support_provider.cooperatives",46
"436","featNum19","support_provider.ind_own_community",3
"437","featNum19","training_participation",31
"438","featNum19","years_farming_land",45
"439","featNum19","years_in_community",4
"440","featNum2","agroecol_perspective_3",2
"441","featNum2","crop_type.cacao",56
"442","featNum2","income_stability",2
"443","featNum2","participation_nr_frequency",60
"444","featNum20","access_info_exchange_extension",15
"445","featNum20","access_info_exchange_farmers",5
"446","featNum20","access_info_exchange_government",1
"447","featNum20","age",35
"448","featNum20","agroecol_perspective_1",44
"449","featNum20","agroecol_perspective_3",58
"450","featNum20","agroecol_perspective_6",41
"451","featNum20","agroecol_perspective_7",59
"452","featNum20","assets_count",12
"453","featNum20","credit_access",32
"454","featNum20","crop_type.cacao",60
"455","featNum20","distance_water_source",11
"456","featNum20","education_level_finished",3
"457","featNum20","education_level_household_finished",4
"458","featNum20","farm_size",14
"459","featNum20","farmer_agency_1",8
"460","featNum20","farmer_agency_3",4
"461","featNum20","farmer_agency_5",12
"462","featNum20","farmer_agency_7",4
"463","featNum20","household_held_debt",1
"464","featNum20","human_wellbeing_11",59
"465","featNum20","human_wellbeing_5",8
"466","featNum20","human_wellbeing_7",2
"467","featNum20","income_amount_nonfarm",17
"468","featNum20","income_amount_onfarm",31
"469","featNum20","income_stability",46
"470","featNum20","income_sufficiency",16
"471","featNum20","land_tenure_hold_area",1
"472","featNum20","land_tenure_hold_proportion",3
"473","featNum20","land_tenure_hold_status",6
"474","featNum20","land_tenure_own_area",27
"475","featNum20","land_tenure_own_proportion",1
"476","featNum20","livestock_count_tlu",8
"477","featNum20","marital_status.2",1
"478","featNum20","marital_status.3",4
"479","featNum20","membership",13
"480","featNum20","numHA_hlabour_seasonal_total",27
"481","featNum20","numHA_nhlabour_seasonal_total",27
"482","featNum20","num_info_exchange_extension",53
"483","featNum20","num_info_exchange_farmers",29
"484","featNum20","num_info_exchange_sources",7
"485","featNum20","num_membership",15
"486","featNum20","participation_nr_frequency",60
"487","featNum20","perception_associations_effectiveness",56
"488","featNum20","project_participation",5
