"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum13","distance_main_road",60,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"2","featNum13","income_spend_on_food_percentage",60,"financial_capital","Percentage of income spent on food","In the past 7 days, what percentage of the household's income was used to buy food?"
"3","featNum13","income_stability",59,"financial_capital","Income stability","How would the farmer rate the stability of the household income over time?"
"4","featNum13","influence_nr_frequency",57,"social_capital","Household influence in resource governance","To what extent does the household contribute to decision-making in managing the community's land and natural resources?"
"5","featNum13","agroecol_perspective_7",55,"farmers_behaviour","Power and freedom to solve problems collectively","How far does the farmer agree with the statement: If I work together with others in my community, we have power and freedom to solve problems facing farmers."
"6","featNum13","years_farming_land",51,"natural_capital","Years of farming land","Number of years the household has been farming this land."
"7","featNum13","income_sufficiency",49,"financial_capital","Income sufficiency","Does the household earn enough income from farming to support the family?"
"8","featNum13","num_pest_management_ecol_practices",49,"farm_management_characteristics","Number of ecological practices for pest management","Number of ecological pest management practices used on the farm in the last 12 months."
"9","featNum13","perception_associations_effectiveness",43,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
"10","featNum13","sfs_monoculture_perennial_area",36,"farm_management_characteristics","Area under monoculture perennial","Total area of monoculture perennial crops on the farm."
"11","featNum13","numHA_nhlabour_permanent_total",33,"human_capital","Permanent household labour density","Number of household members working permanently in farming activities per hectare."
"12","featNum13","income_amount_total",31,"financial_capital","Total income amount","Total income the household earned from both on-farm and non-farm sources during the last 12 months."
"13","featNum13","income_amount_onfarm",28,"financial_capital","On-farm income amount","Total income the household earned from on-farm sources (e.g., crop, livestock, fish) in the last 12 months."
"14","featNum13","participation_nr_frequency",28,"social_capital","Household participation in resource governance","How frequently does the household participate in activities or meetings related to the management of the community's land and natural resources?"
