"","NumFeatures","selected_factors","frequency"
"1","featNum1","distance_main_road",2
"2","featNum1","income_spend_on_food_percentage",27
"3","featNum1","income_stability",31
"4","featNum10","access_info_exchange_extension",3
"5","featNum10","agroecol_perspective_6",2
"6","featNum10","agroecol_perspective_7",45
"7","featNum10","distance_closest_farmland",2
"8","featNum10","distance_main_road",58
"9","featNum10","fair_price_crops",2
"10","featNum10","hlabour",3
"11","featNum10","household_shock_recover_activities.7",1
"12","featNum10","human_wellbeing_7",6
"13","featNum10","income_amount_onfarm",17
"14","featNum10","income_amount_total",14
"15","featNum10","income_spend_on_food_percentage",57
"16","featNum10","income_stability",59
"17","featNum10","income_sufficiency",39
"18","featNum10","influence_nr_frequency",53
"19","featNum10","numHA_hlabour_seasonal_total",2
"20","featNum10","numHA_nhlabour_permanent_total",21
"21","featNum10","num_info_exchange_consumers",2
"22","featNum10","num_info_exchange_farmers",8
"23","featNum10","num_pest_management_ecol_practices",44
"24","featNum10","participation_nr_frequency",15
"25","featNum10","perception_associations_effectiveness",37
"26","featNum10","sales_channel_crops.cooperative",7
"27","featNum10","sales_channel_crops.retailers",7
"28","featNum10","seeds_certified_local",4
"29","featNum10","sfs_monoculture_perennial_area",25
"30","featNum10","soil_fertility_management_chemical",1
"31","featNum10","support_provider.cooperatives",11
"32","featNum10","support_provider.ind_different_community",5
"33","featNum10","use_percentage_crops_sales",2
"34","featNum10","years_farming_land",47
"35","featNum10","years_in_community",1
"36","featNum11","access_info_exchange_extension",2
"37","featNum11","access_info_exchange_farmers",1
"38","featNum11","agroecol_perspective_6",3
"39","featNum11","agroecol_perspective_7",49
"40","featNum11","distance_closest_farmland",3
"41","featNum11","distance_main_road",59
"42","featNum11","fair_price_crops",2
"43","featNum11","hlabour",3
"44","featNum11","household_shock_recover_activities.7",1
"45","featNum11","human_wellbeing_7",7
"46","featNum11","income_amount_onfarm",18
"47","featNum11","income_amount_total",21
"48","featNum11","income_spend_on_food_percentage",58
"49","featNum11","income_stability",59
"50","featNum11","income_sufficiency",42
"51","featNum11","influence_nr_frequency",55
"52","featNum11","land_tenure_own_area",1
"53","featNum11","numHA_hlabour_seasonal_total",5
"54","featNum11","numHA_nhlabour_permanent_total",29
"55","featNum11","num_info_exchange_consumers",3
"56","featNum11","num_info_exchange_extension",1
"57","featNum11","num_info_exchange_farmers",11
"58","featNum11","num_pest_management_ecol_practices",48
"59","featNum11","participation_nr_frequency",21
"60","featNum11","perception_associations_effectiveness",40
"61","featNum11","sales_channel_crops.cooperative",8
"62","featNum11","sales_channel_crops.retailers",7
"63","featNum11","seeds_certified_local",3
"64","featNum11","sfs_monoculture_perennial_area",27
"65","featNum11","soil_fertility_management_chemical",1
"66","featNum11","support_provider.cooperatives",11
"67","featNum11","support_provider.ind_different_community",5
"68","featNum11","support_provider.shops",1
"69","featNum11","use_percentage_crops_sales",4
"70","featNum11","years_farming_land",50
"71","featNum11","years_in_community",1
"72","featNum12","access_info_exchange_consumers",1
"73","featNum12","access_info_exchange_extension",2
"74","featNum12","access_info_exchange_farmers",2
"75","featNum12","agroecol_perspective_6",5
"76","featNum12","agroecol_perspective_7",50
"77","featNum12","distance_closest_farmland",3
"78","featNum12","distance_main_road",59
"79","featNum12","fair_price_crops",5
"80","featNum12","hlabour",3
"81","featNum12","household_shock_recover_activities.7",1
"82","featNum12","human_wellbeing_7",12
"83","featNum12","income_amount_onfarm",24
"84","featNum12","income_amount_total",27
"85","featNum12","income_spend_on_food_percentage",60
"86","featNum12","income_stability",59
"87","featNum12","income_sufficiency",44
"88","featNum12","influence_nr_frequency",57
"89","featNum12","land_tenure_own_area",1
"90","featNum12","numHA_hlabour_seasonal_total",4
"91","featNum12","numHA_nhlabour_permanent_total",31
"92","featNum12","num_info_exchange_consumers",3
"93","featNum12","num_info_exchange_extension",2
"94","featNum12","num_info_exchange_farmers",18
"95","featNum12","num_pest_management_ecol_practices",47
"96","featNum12","participation_nr_frequency",26
"97","featNum12","perception_associations_effectiveness",41
"98","featNum12","sales_channel_crops.cooperative",7
"99","featNum12","sales_channel_crops.retailers",11
"100","featNum12","seeds_certified_local",4
"101","featNum12","sfs_monoculture_perennial_area",29
"102","featNum12","soil_fertility_management_chemical",3
"103","featNum12","support_provider.cooperatives",15
"104","featNum12","support_provider.ind_different_community",5
"105","featNum12","support_provider.shops",1
"106","featNum12","use_percentage_crops_sales",4
"107","featNum12","years_farming_land",51
"108","featNum12","years_in_community",3
"109","featNum13","access_info_exchange_consumers",2
"110","featNum13","access_info_exchange_extension",2
"111","featNum13","access_info_exchange_farmers",3
"112","featNum13","accessibility_phone_reception",1
"113","featNum13","agroecol_perspective_6",7
"114","featNum13","agroecol_perspective_7",55
"115","featNum13","cropland_area",3
"116","featNum13","distance_closest_farmland",3
"117","featNum13","distance_main_road",60
"118","featNum13","fair_price_crops",4
"119","featNum13","hlabour",3
"120","featNum13","household_shock_recover_activities.7",2
"121","featNum13","human_wellbeing_7",17
"122","featNum13","income_amount_onfarm",28
"123","featNum13","income_amount_total",31
"124","featNum13","income_spend_on_food_percentage",60
"125","featNum13","income_stability",59
"126","featNum13","income_sufficiency",49
"127","featNum13","influence_nr_frequency",57
"128","featNum13","land_tenure_own_area",1
"129","featNum13","nr_management_opinion",1
"130","featNum13","numHA_hlabour_seasonal_total",4
"131","featNum13","numHA_nhlabour_permanent_total",33
"132","featNum13","num_crops_grown",1
"133","featNum13","num_info_exchange_consumers",5
"134","featNum13","num_info_exchange_extension",3
"135","featNum13","num_info_exchange_farmers",19
"136","featNum13","num_pest_management_ecol_practices",49
"137","featNum13","participation_nr_frequency",28
"138","featNum13","perception_associations_effectiveness",43
"139","featNum13","sales_channel_crops.cooperative",9
"140","featNum13","sales_channel_crops.direct_to_consumer",1
"141","featNum13","sales_channel_crops.retailers",14
"142","featNum13","seeds_certified_local",3
"143","featNum13","sfs_monoculture_perennial_area",36
"144","featNum13","soil_fertility_management_chemical",3
"145","featNum13","support_provider.cooperatives",16
"146","featNum13","support_provider.ind_different_community",5
"147","featNum13","support_provider.shops",1
"148","featNum13","use_percentage_crops_sales",4
"149","featNum13","years_farming_land",51
"150","featNum13","years_in_community",4
"151","featNum14","access_info_exchange_consumers",2
"152","featNum14","access_info_exchange_extension",2
"153","featNum14","access_info_exchange_farmers",5
"154","featNum14","accessibility_phone_reception",1
"155","featNum14","agroecol_perspective_6",6
"156","featNum14","agroecol_perspective_7",53
"157","featNum14","cropland_area",3
"158","featNum14","distance_closest_farmland",4
"159","featNum14","distance_main_road",60
"160","featNum14","fair_price_crops",5
"161","featNum14","hlabour",3
"162","featNum14","household_shock_recover_activities.7",6
"163","featNum14","human_wellbeing_7",18
"164","featNum14","income_amount_onfarm",34
"165","featNum14","income_amount_total",35
"166","featNum14","income_spend_on_food_percentage",60
"167","featNum14","income_stability",60
"168","featNum14","income_sufficiency",54
"169","featNum14","influence_nr_frequency",58
"170","featNum14","land_tenure_own_area",3
"171","featNum14","nr_management_opinion",2
"172","featNum14","numHA_hlabour_seasonal_total",7
"173","featNum14","numHA_nhlabour_permanent_total",36
"174","featNum14","num_crops_grown",1
"175","featNum14","num_info_exchange_consumers",6
"176","featNum14","num_info_exchange_extension",4
"177","featNum14","num_info_exchange_farmers",22
"178","featNum14","num_pest_management_ecol_practices",51
"179","featNum14","participation_nr_frequency",33
"180","featNum14","perception_associations_effectiveness",44
"181","featNum14","sales_channel_crops.cooperative",11
"182","featNum14","sales_channel_crops.direct_to_consumer",1
"183","featNum14","sales_channel_crops.retailers",15
"184","featNum14","seeds_certified_local",4
"185","featNum14","sfs_monoculture_perennial_area",37
"186","featNum14","soil_fertility_management_chemical",4
"187","featNum14","support_provider.cooperatives",19
"188","featNum14","support_provider.ind_different_community",5
"189","featNum14","support_provider.shops",2
"190","featNum14","use_percentage_crops_sales",5
"191","featNum14","years_farming_land",54
"192","featNum14","years_in_community",5
"193","featNum15","access_info_exchange_consumers",3
"194","featNum15","access_info_exchange_extension",2
"195","featNum15","access_info_exchange_farmers",5
"196","featNum15","accessibility_phone_reception",1
"197","featNum15","agroecol_perspective_6",6
"198","featNum15","agroecol_perspective_7",58
"199","featNum15","cropland_area",6
"200","featNum15","distance_closest_farmland",4
"201","featNum15","distance_main_road",60
"202","featNum15","fair_price_crops",6
"203","featNum15","farmer_agency_1",2
"204","featNum15","hlabour",3
"205","featNum15","household_shock_recover_activities.7",6
"206","featNum15","human_wellbeing_7",17
"207","featNum15","income_amount_onfarm",40
"208","featNum15","income_amount_total",40
"209","featNum15","income_spend_on_food_percentage",60
"210","featNum15","income_stability",60
"211","featNum15","income_sufficiency",55
"212","featNum15","influence_nr_frequency",58
