"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum14","crop_type.cacao",60,"farm_management_characteristics","Main crop: cacao","Name of the main crop produced by the household."
"2","featNum14","support_provider.cooperatives",58,"social_capital","Support from local farmer cooperatives","Would local farmer cooperatives provide support to the household in case of need?"
"3","featNum14","soil_pH_mean",56,"biophysical_context","Soil pH","Average soil pH across three locations on cropland."
"4","featNum14","perception_associations_effectiveness",48,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
"5","featNum14","household_shock_recover_capacity",47,"vulnerability_context","Household recovery capacity from shocks","Capacity of the household’s income and agricultural production to recover from shocks or perturbations."
"6","featNum14","pest_management_ecol_practices.resistant_varieties",46,"farm_management_characteristics","Use of resistant crop varieties for pest management","Did the household plant improved or resistant crop varieties for pest management?"
"7","featNum14","rainfall_timing_change_perception.startearlier",42,"biophysical_context","Perceived rainfall start earlier","Has the farmer perceived that rainfall starts earlier than usual?"
"8","featNum14","influence_nr_frequency",35,"social_capital","Household influence in resource governance","To what extent does the household contribute to decision-making in managing the community's land and natural resources?"
"9","featNum14","num_pest_management_ecol_practices",34,"farm_management_characteristics","Number of ecological practices for pest management","Number of ecological pest management practices used on the farm in the last 12 months."
"10","featNum14","agroecol_perspective_3",32,"farmers_behaviour","Perceived community care for nature","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"11","featNum14","distance_main_road",32,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"12","featNum14","income_stability",32,"financial_capital","Income stability","How would the farmer rate the stability of the household income over time?"
"13","featNum14","nearest_farmer_adopted",32,"farmers_behaviour","Closest neighbour adopts DFS","Does the closest neighbor implement diversified farming systems (DFS)?"
"14","featNum14","income_spend_on_food_percentage",25,"financial_capital","Percentage of income spent on food","In the past 7 days, what percentage of the household's income was used to buy food?"
"15","featNum14","num_info_exchange_extension",25,"P&I_context_knowledge","Extension frequency","How frequently does the farmer exchange information with agricultural extensionists?"
