"","NumFeatures","selected_factors","frequency"
"1","featNum1","household_shock_recover_capacity",48
"2","featNum1","income_stability",2
"3","featNum1","perception_associations_effectiveness",10
"4","featNum10","accessibility_phone_reception",10
"5","featNum10","agroecology_knowledge",20
"6","featNum10","education_level_male_finished",10
"7","featNum10","fair_price_crops",40
"8","featNum10","household_shock_recover_capacity",60
"9","featNum10","human_wellbeing_11",60
"10","featNum10","income_stability",60
"11","featNum10","months_count_water_accessibility_difficulty_drought_year",10
"12","featNum10","nr_management_opinion",20
"13","featNum10","num_info_exchange_extension",50
"14","featNum10","num_info_exchange_farmers",30
"15","featNum10","num_info_exchange_researchers",10
"16","featNum10","perceived_shock_soil_erosion",20
"17","featNum10","perception_associations_effectiveness",60
"18","featNum10","pest_management_chemical",10
"19","featNum10","project_participation",50
"20","featNum10","use_percentage_crops_sales",30
"21","featNum10","years_farming_land",20
"22","featNum10","yield_gap_median",30
"23","featNum11","accessibility_phone_reception",10
"24","featNum11","agroecology_knowledge",20
"25","featNum11","education_level_male_finished",10
"26","featNum11","fair_price_crops",40
"27","featNum11","household_shock_recover_capacity",60
"28","featNum11","human_wellbeing_11",60
"29","featNum11","income_stability",60
"30","featNum11","months_count_water_accessibility_difficulty_drought_year",10
"31","featNum11","nr_management_opinion",20
"32","featNum11","num_info_exchange_extension",50
"33","featNum11","num_info_exchange_farmers",30
"34","featNum11","num_info_exchange_researchers",10
"35","featNum11","perceived_shock_market",20
"36","featNum11","perceived_shock_soil_erosion",30
"37","featNum11","perception_associations_effectiveness",60
"38","featNum11","pest_management_chemical",10
"39","featNum11","project_participation",50
"40","featNum11","soil_fertility_management_chemical",10
"41","featNum11","use_percentage_crops_sales",30
"42","featNum11","years_farming_land",20
"43","featNum11","yield_gap_median",30
"44","featNum12","accessibility_phone_reception",10
"45","featNum12","agroecology_knowledge",20
"46","featNum12","education_level_male_finished",10
"47","featNum12","fair_price_crops",40
"48","featNum12","household_shock_recover_capacity",60
"49","featNum12","human_wellbeing_11",60
"50","featNum12","income_stability",60
"51","featNum12","months_count_water_accessibility_difficulty_drought_year",10
"52","featNum12","nr_management_opinion",20
"53","featNum12","num_info_exchange_extension",50
"54","featNum12","num_info_exchange_farmers",30
"55","featNum12","num_info_exchange_researchers",10
"56","featNum12","perceived_shock_market",20
"57","featNum12","perceived_shock_soil_erosion",30
"58","featNum12","perception_associations_effectiveness",60
"59","featNum12","pest_management_chemical",10
"60","featNum12","project_participation",50
"61","featNum12","soil_fertility_management_chemical",10
"62","featNum12","use_percentage_crops_sales",50
"63","featNum12","years_farming_land",40
"64","featNum12","yield_gap_median",30
"65","featNum13","accessibility_phone_reception",10
"66","featNum13","agroecology_knowledge",30
"67","featNum13","education_level_male_finished",10
"68","featNum13","fair_price_crops",40
"69","featNum13","household_shock_recover_capacity",60
"70","featNum13","human_wellbeing_11",60
"71","featNum13","income_stability",60
"72","featNum13","months_count_water_accessibility_difficulty_drought_year",10
"73","featNum13","nr_management_opinion",20
"74","featNum13","num_info_exchange_extension",50
"75","featNum13","num_info_exchange_farmers",30
"76","featNum13","num_info_exchange_researchers",10
"77","featNum13","perceived_shock_market",30
"78","featNum13","perceived_shock_soil_erosion",30
"79","featNum13","perception_associations_effectiveness",60
"80","featNum13","pest_management_chemical",10
"81","featNum13","project_participation",50
"82","featNum13","soil_fertility_management_chemical",30
"83","featNum13","use_percentage_crops_sales",50
"84","featNum13","years_farming_land",40
"85","featNum13","yield_gap_median",30
"86","featNum14","accessibility_phone_reception",10
"87","featNum14","agroecology_knowledge",30
"88","featNum14","education_level_male_finished",10
"89","featNum14","fair_price_crops",40
"90","featNum14","household_shock_recover_capacity",60
"91","featNum14","human_wellbeing_11",60
"92","featNum14","income_stability",60
"93","featNum14","months_count_water_accessibility_difficulty_drought_year",10
"94","featNum14","nr_management_opinion",30
"95","featNum14","num_info_exchange_extension",50
"96","featNum14","num_info_exchange_farmers",30
"97","featNum14","num_info_exchange_researchers",10
"98","featNum14","perceived_shock_market",30
"99","featNum14","perceived_shock_soil_erosion",30
"100","featNum14","perception_associations_effectiveness",60
"101","featNum14","pest_management_chemical",20
"102","featNum14","project_participation",50
"103","featNum14","soil_fertility_management_chemical",30
"104","featNum14","use_percentage_crops_sales",50
"105","featNum14","years_farming_land",40
"106","featNum14","yield_gap_median",50
"107","featNum15","accessibility_phone_reception",20
"108","featNum15","agroecology_knowledge",30
"109","featNum15","education_level_male_finished",10
"110","featNum15","fair_price_crops",40
"111","featNum15","household_shock_recover_capacity",60
"112","featNum15","human_wellbeing_11",60
"113","featNum15","income_stability",60
"114","featNum15","months_count_water_accessibility_difficulty_drought_year",10
"115","featNum15","nr_management_opinion",30
"116","featNum15","num_info_exchange_extension",50
"117","featNum15","num_info_exchange_farmers",40
"118","featNum15","num_info_exchange_researchers",10
"119","featNum15","perceived_shock_market",30
"120","featNum15","perceived_shock_pest",10
"121","featNum15","perceived_shock_soil_erosion",30
"122","featNum15","perception_associations_effectiveness",60
"123","featNum15","pest_management_chemical",30
"124","featNum15","project_participation",50
"125","featNum15","soil_fertility_management_chemical",30
"126","featNum15","use_percentage_crops_sales",50
"127","featNum15","years_farming_land",40
"128","featNum15","yield_gap_median",50
"129","featNum2","household_shock_recover_capacity",60
"130","featNum2","perception_associations_effectiveness",60
"131","featNum3","household_shock_recover_capacity",60
"132","featNum3","human_wellbeing_11",10
"133","featNum3","income_stability",50
"134","featNum3","perception_associations_effectiveness",60
"135","featNum4","household_shock_recover_capacity",60
"136","featNum4","human_wellbeing_11",50
"137","featNum4","income_stability",60
"138","featNum4","num_info_exchange_extension",10
"139","featNum4","perception_associations_effectiveness",60
"140","featNum5","agroecology_knowledge",10
"141","featNum5","household_shock_recover_capacity",60
"142","featNum5","human_wellbeing_11",60
"143","featNum5","income_stability",60
"144","featNum5","num_info_exchange_extension",40
"145","featNum5","perception_associations_effectiveness",60
"146","featNum5","yield_gap_median",10
"147","featNum6","agroecology_knowledge",10
"148","featNum6","fair_price_crops",10
"149","featNum6","household_shock_recover_capacity",60
"150","featNum6","human_wellbeing_11",60
"151","featNum6","income_stability",60
"152","featNum6","num_info_exchange_extension",40
"153","featNum6","perception_associations_effectiveness",60
"154","featNum6","pest_management_chemical",10
"155","featNum6","project_participation",20
"156","featNum6","use_percentage_crops_sales",10
"157","featNum6","years_farming_land",10
"158","featNum6","yield_gap_median",10
"159","featNum7","agroecology_knowledge",10
"160","featNum7","fair_price_crops",20
"161","featNum7","household_shock_recover_capacity",60
"162","featNum7","human_wellbeing_11",60
"163","featNum7","income_stability",60
"164","featNum7","nr_management_opinion",10
"165","featNum7","num_info_exchange_extension",50
"166","featNum7","num_info_exchange_farmers",10
"167","featNum7","perception_associations_effectiveness",60
"168","featNum7","pest_management_chemical",10
"169","featNum7","project_participation",20
"170","featNum7","use_percentage_crops_sales",10
"171","featNum7","years_farming_land",10
"172","featNum7","yield_gap_median",30
"173","featNum8","agroecology_knowledge",10
"174","featNum8","fair_price_crops",40
"175","featNum8","household_shock_recover_capacity",60
"176","featNum8","human_wellbeing_11",60
"177","featNum8","income_stability",60
"178","featNum8","nr_management_opinion",10
"179","featNum8","num_info_exchange_extension",50
"180","featNum8","num_info_exchange_farmers",10
"181","featNum8","perceived_shock_soil_erosion",10
"182","featNum8","perception_associations_effectiveness",60
"183","featNum8","pest_management_chemical",10
"184","featNum8","project_participation",40
"185","featNum8","use_percentage_crops_sales",20
"186","featNum8","years_farming_land",10
"187","featNum8","yield_gap_median",30
"188","featNum9","agroecology_knowledge",10
"189","featNum9","education_level_male_finished",10
"190","featNum9","fair_price_crops",40
"191","featNum9","household_shock_recover_capacity",60
"192","featNum9","human_wellbeing_11",60
"193","featNum9","income_stability",60
"194","featNum9","months_count_water_accessibility_difficulty_drought_year",10
"195","featNum9","nr_management_opinion",10
"196","featNum9","num_info_exchange_extension",50
"197","featNum9","num_info_exchange_farmers",20
"198","featNum9","perceived_shock_soil_erosion",10
"199","featNum9","perception_associations_effectiveness",60
"200","featNum9","pest_management_chemical",10
"201","featNum9","project_participation",50
"202","featNum9","use_percentage_crops_sales",30
"203","featNum9","years_farming_land",20
"204","featNum9","yield_gap_median",30
