"","training_participation","crop_type.cacao","num_info_exchange_extension","num_info_exchange_sources","distance_main_road","project_participation","num_membership","membership","influence_nr_frequency","num_children","participation_nr_frequency"
"20231031_AnA",0,0,2,2,5,0,0,0,5,0,3
"20231031_DaD",1,0,2,4,3,0,1,1,3,2,3
"20231031_SaR",1,0,2,2,3,0,1,1,3,4,3
"20231101_AlV",0,1,0,4,400,0,4,1,3,0,4
"20231101_FeH",0,0,0,2,1,0,0,0,5,3,5
"20231101_PeR",0,0,0,2,1,0,1,1,3,0,4
"20231101_RoS",1,1,0,1,200,1,1,1,2,1,2
"20231101_SuS",1,1,3,2,50,0,4,1,2,2,2
"20231101_ViP",0,0,2,2,2,0,0,0,3,1,2
"20231102_GeS",1,1,3,2,150,0,3,1,1,1,3
"20231102_ReS",1,1,2,1,100,0,2,1,1,1,2
"20231103_EdS",1,1,2,1,300,0,1,1,1,3,1
"20231103_FlG",0,0,2,1,100,0,0,0,3,2,5
"20231103_NeV",0,1,0,0,2,0,1,1,1,1,1
"20231103_RaP",0,0,0,1,100,0,1,1,4,2,4
"20231104_EmR",1,0,0,1,50,0,0,0,4,0,5
"20231104_MaM",0,0,1,1,80,0,0,0,4,0,3
"20231104_RoR",1,1,5,4,150,1,2,1,2,1,5
"20231104_SeS",1,1,5,2,400,1,3,1,1,1,1
"20231106_AmQ",0,0,2,2,1,0,1,1,3,2,5
"20231106_DaP",0,0,2,2,10,0,0,0,3,1,4
"20231107_EsH",1,0,4,7,50,1,3,1,4,3,5
"20231107_MaR",1,0,0,3,2,1,2,1,2,2,2
"20231108_EdQ",0,0,0,0,0,0,1,1,3,0,5
"20231108_JuV",1,1,4,6,5,1,3,1,1,0,1
"20231108_LiS",1,1,2,2,4,1,1,1,3,1,3
"20231108_NaS",0,0,0,0,1,0,2,1,4,2,5
"20231110_ErR",1,0,0,1,20,1,5,1,3,0,2
"20231110_JuC",0,1,5,2,150,0,1,1,1,0,2
"20231110_MaM",1,1,4,1,4,0,2,1,1,4,2
"20231113_FlH",0,0,0,1,1,0,2,1,3,0,4
"20231113_SeH",0,0,2,1,5,0,1,1,4,0,4
"20231115_GiC",0,0,0,0,5,0,1,1,1,0,2
"20231115_IsC",0,0,2,2,2,0,1,1,2,0,4
"20231116_HiC",0,0,0,0,1,0,1,1,2,1,3
"20231116_RoG",0,0,6,2,20,0,1,1,3,1,4
"20231117_EdR",0,0,0,0,1,0,1,1,3,1,3
"20231117_NeR",0,1,0,0,100,0,2,1,1,0,2
"20231117_RuA",0,0,6,2,1,0,1,1,2,0,3
"20231117_SeV",0,0,2,1,2,0,1,1,2,2,3
"20231117_ViR",1,1,13,3,150,1,3,1,1,4,1
"20231118_JaS",1,1,4,3,500,1,3,1,1,1,1
"20231118_LuS",0,0,0,0,50,0,0,0,3,1,3
"20231118_ReS",1,1,6,4,250,1,3,1,1,2,1
"20231120_AlR",0,0,2,1,1,0,1,1,3,1,4
"20231120_LuG",0,0,0,0,2,0,1,1,3,2,5
"20231121_DaT",0,0,0,1,2,0,1,1,1,0,2
"20231121_HiC",1,1,4,1,450,1,4,1,1,1,1
"20231121_MiF",1,1,0,0,150,1,1,1,2,4,3
"20231122_LeC",1,1,4,2,150,1,2,1,1,0,2
"20231122_MeA",1,1,4,3,5,0,2,1,1,0,3
"20231124_AlL",0,0,0,1,2,0,0,0,3,1,3
"20231124_EdA",0,1,4,3,400,1,1,1,1,2,1
"20231124_RoS",1,1,2,3,30,1,1,1,1,1,2
"20231125_DyR",1,1,4,3,400,1,3,1,1,3,1
"20231125_WiS",1,1,8,2,400,1,2,1,1,3,1
"20231128_DeG",0,0,0,2,5,1,0,0,3,1,2
