"","NumFeatures","selected_factors","frequency"
"1","featNum1","crop_type.cacao",60
"2","featNum10","access_info_exchange_extension",8
"3","featNum10","age",16
"4","featNum10","agroecol_perspective_1",36
"5","featNum10","agroecol_perspective_3",52
"6","featNum10","agroecol_perspective_6",44
"7","featNum10","agroecol_perspective_7",56
"8","featNum10","assets_count",12
"9","featNum10","crop_type.cacao",60
"10","featNum10","education_level_finished",8
"11","featNum10","farmer_agency_1",4
"12","featNum10","farmer_agency_3",8
"13","featNum10","human_wellbeing_11",60
"14","featNum10","income_amount_nonfarm",8
"15","featNum10","income_amount_onfarm",8
"16","featNum10","income_stability",40
"17","featNum10","income_sufficiency",4
"18","featNum10","marital_status.4",4
"19","featNum10","numHA_nhlabour_seasonal_total",4
"20","featNum10","num_info_exchange_extension",28
"21","featNum10","num_info_exchange_farmers",8
"22","featNum10","num_info_exchange_government",4
"23","featNum10","num_info_exchange_sources",4
"24","featNum10","num_occupation_secondary_list",4
"25","featNum10","perception_associations_effectiveness",40
"26","featNum10","support_provider.community_leaders",4
"27","featNum10","support_provider.cooperatives",40
"28","featNum10","training_participation",8
"29","featNum10","years_farming_land",28
"30","featNum11","access_info_exchange_extension",8
"31","featNum11","age",16
"32","featNum11","agroecol_perspective_1",36
"33","featNum11","agroecol_perspective_3",52
"34","featNum11","agroecol_perspective_6",48
"35","featNum11","agroecol_perspective_7",56
"36","featNum11","assets_count",12
"37","featNum11","crop_type.cacao",60
"38","featNum11","education_level_finished",8
"39","featNum11","farmer_agency_1",4
"40","featNum11","farmer_agency_3",8
"41","featNum11","human_wellbeing_11",60
"42","featNum11","income_amount_nonfarm",8
"43","featNum11","income_amount_onfarm",12
"44","featNum11","income_stability",40
"45","featNum11","income_sufficiency",4
"46","featNum11","land_tenure_own_area",12
"47","featNum11","marital_status.4",4
"48","featNum11","membership",4
"49","featNum11","numHA_hlabour_seasonal_total",8
"50","featNum11","numHA_nhlabour_seasonal_total",4
"51","featNum11","num_info_exchange_extension",28
"52","featNum11","num_info_exchange_farmers",12
"53","featNum11","num_info_exchange_government",4
"54","featNum11","num_info_exchange_sources",4
"55","featNum11","num_membership",4
"56","featNum11","num_occupation_secondary_list",4
"57","featNum11","perception_associations_effectiveness",44
"58","featNum11","support_provider.community_leaders",4
"59","featNum11","support_provider.cooperatives",40
"60","featNum11","training_participation",12
"61","featNum11","years_farming_land",40
"62","featNum12","access_info_exchange_extension",8
"63","featNum12","access_info_exchange_farmers",4
"64","featNum12","age",16
"65","featNum12","agroecol_perspective_1",36
"66","featNum12","agroecol_perspective_3",56
"67","featNum12","agroecol_perspective_6",48
"68","featNum12","agroecol_perspective_7",56
"69","featNum12","assets_count",16
"70","featNum12","crop_type.cacao",60
"71","featNum12","education_level_finished",12
"72","featNum12","farm_size",4
"73","featNum12","farmer_agency_1",4
"74","featNum12","farmer_agency_3",8
"75","featNum12","farmer_agency_5",4
"76","featNum12","human_wellbeing_11",60
"77","featNum12","income_amount_nonfarm",8
"78","featNum12","income_amount_onfarm",20
"79","featNum12","income_stability",40
"80","featNum12","income_sufficiency",4
"81","featNum12","land_tenure_own_area",12
"82","featNum12","marital_status.4",4
"83","featNum12","membership",4
"84","featNum12","numHA_hlabour_seasonal_total",16
"85","featNum12","numHA_nhlabour_seasonal_total",4
"86","featNum12","num_info_exchange_extension",40
"87","featNum12","num_info_exchange_farmers",12
"88","featNum12","num_info_exchange_government",4
"89","featNum12","num_info_exchange_sources",8
"90","featNum12","num_membership",4
"91","featNum12","num_occupation_secondary_list",4
"92","featNum12","perception_associations_effectiveness",44
"93","featNum12","support_provider.community_leaders",8
"94","featNum12","support_provider.cooperatives",40
"95","featNum12","training_participation",12
"96","featNum12","years_farming_land",40
"97","featNum13","access_info_exchange_extension",12
"98","featNum13","access_info_exchange_farmers",4
"99","featNum13","age",20
"100","featNum13","agroecol_perspective_1",36
"101","featNum13","agroecol_perspective_3",56
"102","featNum13","agroecol_perspective_6",48
"103","featNum13","agroecol_perspective_7",56
"104","featNum13","assets_count",16
"105","featNum13","crop_type.cacao",60
"106","featNum13","distance_water_source",4
"107","featNum13","education_level_finished",12
"108","featNum13","farm_size",4
"109","featNum13","farmer_agency_1",8
"110","featNum13","farmer_agency_3",8
"111","featNum13","farmer_agency_5",4
"112","featNum13","human_wellbeing_11",60
"113","featNum13","income_amount_nonfarm",8
"114","featNum13","income_amount_onfarm",32
"115","featNum13","income_stability",40
"116","featNum13","income_sufficiency",4
"117","featNum13","land_tenure_own_area",16
"118","featNum13","land_tenure_own_proportion",4
"119","featNum13","marital_status.4",4
"120","featNum13","membership",4
"121","featNum13","numHA_hlabour_seasonal_total",20
"122","featNum13","numHA_nhlabour_seasonal_total",4
"123","featNum13","num_info_exchange_extension",40
"124","featNum13","num_info_exchange_farmers",16
"125","featNum13","num_info_exchange_government",4
"126","featNum13","num_info_exchange_sources",12
"127","featNum13","num_membership",4
