"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum17","distance_main_road",60,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"2","featNum17","income_spend_on_food_percentage",60,"financial_capital","Percentage of income spent on food","In the past 7 days, what percentage of the household's income was used to buy food?"
"3","featNum17","income_stability",60,"financial_capital","Income stability","How would the farmer rate the stability of the household income over time?"
"4","featNum17","years_farming_land",59,"natural_capital","Years of farming land","Number of years the household has been farming this land."
"5","featNum17","influence_nr_frequency",58,"social_capital","Household influence in resource governance","To what extent does the household contribute to decision-making in managing the community's land and natural resources?"
"6","featNum17","agroecol_perspective_7",57,"farmers_behaviour","Power and freedom to solve problems collectively","How far does the farmer agree with the statement: If I work together with others in my community, we have power and freedom to solve problems facing farmers."
"7","featNum17","num_pest_management_ecol_practices",56,"farm_management_characteristics","Number of ecological practices for pest management","Number of ecological pest management practices used on the farm in the last 12 months."
"8","featNum17","income_sufficiency",53,"financial_capital","Income sufficiency","Does the household earn enough income from farming to support the family?"
"9","featNum17","perception_associations_effectiveness",48,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
"10","featNum17","income_amount_onfarm",47,"financial_capital","On-farm income amount","Total income the household earned from on-farm sources (e.g., crop, livestock, fish) in the last 12 months."
"11","featNum17","sfs_monoculture_perennial_area",45,"farm_management_characteristics","Area under monoculture perennial","Total area of monoculture perennial crops on the farm."
"12","featNum17","participation_nr_frequency",39,"social_capital","Household participation in resource governance","How frequently does the household participate in activities or meetings related to the management of the community's land and natural resources?"
"13","featNum17","numHA_nhlabour_permanent_total",38,"human_capital","Permanent household labour density","Number of household members working permanently in farming activities per hectare."
"14","featNum17","support_provider.cooperatives",37,"social_capital","Support from local farmer cooperatives","Would local farmer cooperatives provide support to the household in case of need?"
"15","featNum17","sales_channel_crops.retailers",28,"P&I_context_value_chain","Sale of crop products to traders or supermarkets","Did the household sell crop products to traders or supermarkets?"
"16","featNum17","num_info_exchange_farmers",26,"social_capital","Frequency of information exchange with other farmers","How frequently does the farmer exchange information with other farmers?"
"17","featNum17","sales_channel_crops.cooperative",24,"P&I_context_value_chain","Sale of crop products to farmers' organizations or cooperatives","Did the household sell crop products to a farmers' organization or cooperative?"
