"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum11","agroecol_perspective_7",60,"farmers_behaviour","Power and freedom to solve problems collectively","How far does the farmer agree with the statement: If I work together with others in my community, we have power and freedom to solve problems facing farmers."
"2","featNum11","crop_type.cacao",60,"farm_management_characteristics","Main crop: cacao","Name of the main crop produced by the household."
"3","featNum11","crop_type.camucamu",60,"farm_management_characteristics","Main crop: camu camu","Name of the main crop produced by the household."
"4","featNum11","participation_nr_frequency",60,"social_capital","Household participation in resource governance","How frequently does the household participate in activities or meetings related to the management of the community's land and natural resources?"
"5","featNum11","agroecol_perspective_3",50,"farmers_behaviour","Perceived community care for nature","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"6","featNum11","farm_size",50,"natural_capital","Farm size","Total size of the farm, including owned land, leased land, and land with use rights."
"7","featNum11","human_wellbeing_11",50,"natural_capital","Satisfaction with quality of local environment","How satisfied is the farmer with the quality of their local environment?"
"8","featNum11","income_stability",50,"financial_capital","Income stability","How would the farmer rate the stability of the household income over time?"
"9","featNum11","land_tenure_own_area",40,"P&I_context_land_tenure","Area of land owns","Total area of land that the household currently owns."
"10","featNum11","num_info_exchange_sources",40,"P&I_context_knowledge","Number of information sources","Number of different information sources the farmer uses regarding farm management."
"11","featNum11","perception_associations_effectiveness",40,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
