"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"1","perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness,membership","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market,project_participation,num_info_exchange_sources,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation,distance_main_road,access_mobile_phone","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,num_info_exchange_traders,farm_size","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market,project_participation,num_info_exchange_sources,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation,distance_main_road,access_mobile_phone","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,num_info_exchange_traders,farm_size","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market,project_participation,num_info_exchange_sources,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation,distance_main_road,access_mobile_phone"
"2","project_participation","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,age,distance_main_road,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,accessibility_internet,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources,num_info_exchange_traders,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,age,distance_main_road,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,accessibility_internet,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources,num_info_exchange_traders,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,age,distance_main_road,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,accessibility_internet,participation_nr_frequency"
"3","perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension,membership","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources,distance_main_road","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,project_participation,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished,human_wellbeing_3,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources,distance_main_road,farm_size","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,project_participation,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished,human_wellbeing_3,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources,distance_main_road,farm_size","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,project_participation,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished,human_wellbeing_3,num_info_exchange_sources"
"4","perception_associations_effectiveness","perception_associations_effectiveness,membership","num_info_exchange_extension,perception_associations_effectiveness,membership","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension,land_tenure_own_proportion","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total,farm_size,age,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources,participation_nr_frequency,gender","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension,land_tenure_own_proportion,num_info_exchange_government","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total,farm_size,age,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources,participation_nr_frequency,gender","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension,land_tenure_own_proportion,num_info_exchange_government","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total,farm_size,age,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources,participation_nr_frequency,gender"
"5","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,membership","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,distance_main_road,num_info_exchange_traders,age","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area,distance_main_road,access_info_exchange_ngo","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet,cropland_area,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,distance_main_road,num_info_exchange_traders,age","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area,distance_main_road,access_info_exchange_ngo","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet,cropland_area,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,distance_main_road,num_info_exchange_traders,age","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area,distance_main_road,access_info_exchange_ngo"
"6","perception_associations_effectiveness","perception_associations_effectiveness,membership","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market,project_participation,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation,distance_main_road,access_mobile_phone","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,num_info_exchange_traders,farm_size","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market,project_participation,num_info_exchange_sources,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation,distance_main_road,access_mobile_phone","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,num_info_exchange_traders,farm_size","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,distance_crop_market,project_participation,num_info_exchange_sources,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,membership,accessibility_internet,num_info_exchange_sources,project_participation,distance_main_road,access_mobile_phone","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,num_info_exchange_traders,farm_size"
"7","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,age,distance_main_road","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,accessibility_internet,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources,num_info_exchange_traders,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,age,distance_main_road,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,accessibility_internet,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources,num_info_exchange_traders,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,age,distance_main_road,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_sources,num_info_exchange_extension,distance_main_road,membership,numHA_nhlabour_permanent_total,accessibility_internet,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_sources,num_info_exchange_traders,distance_main_road"
"8","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,membership","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished,human_wellbeing_3,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources,distance_main_road,farm_size","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,project_participation,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished,human_wellbeing_3,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources,distance_main_road,farm_size","perception_associations_effectiveness,numHA_nhlabour_permanent_total,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,project_participation,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,distance_main_road,education_level_household_finished,human_wellbeing_3,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,numHA_nhlabour_permanent_total,num_info_exchange_sources,distance_main_road,farm_size"
"9","perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness","perception_associations_effectiveness,membership,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total,farm_size,age","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources,participation_nr_frequency,gender","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension,land_tenure_own_proportion,num_info_exchange_government","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total,farm_size,age,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources,participation_nr_frequency,gender","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension,land_tenure_own_proportion,num_info_exchange_government","perception_associations_effectiveness,num_info_exchange_extension,membership,distance_main_road,numHA_nhlabour_permanent_total,farm_size,age,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,membership,project_participation,distance_main_road,num_info_exchange_sources,participation_nr_frequency,gender","perception_associations_effectiveness,membership,distance_main_road,num_info_exchange_sources,project_participation,num_info_exchange_extension,land_tenure_own_proportion,num_info_exchange_government"
"10","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,distance_main_road,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area,distance_main_road,access_info_exchange_ngo","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet,cropland_area,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,distance_main_road,num_info_exchange_traders,age","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area,distance_main_road,access_info_exchange_ngo","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet,cropland_area,project_participation","perception_associations_effectiveness,num_info_exchange_extension,membership,project_participation,num_info_exchange_sources,distance_main_road,num_info_exchange_traders,age","perception_associations_effectiveness,num_info_exchange_extension,membership,num_info_exchange_sources,project_participation,cropland_area,distance_main_road,access_info_exchange_ngo","perception_associations_effectiveness,numHA_nhlabour_permanent_total,membership,num_info_exchange_extension,num_info_exchange_sources,accessibility_internet,cropland_area,project_participation"
