"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"1","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership,num_info_exchange_sources,crop_type.cacao","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,project_participation","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources,project_participation,influence_nr_frequency,numHA_nhlabour_permanent_total","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership,num_info_exchange_sources,crop_type.cacao,numHA_nhlabour_permanent_total,distance_crop_market,farm_size","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,project_participation,farm_size,participation_nr_frequency,influence_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources,project_participation,influence_nr_frequency,numHA_nhlabour_permanent_total,education_level_household_finished,cropland_area,farm_size","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership,num_info_exchange_sources,crop_type.cacao,numHA_nhlabour_permanent_total,distance_crop_market,farm_size,cropland_area,influence_nr_frequency,accessibility_internet","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,project_participation,farm_size,participation_nr_frequency,influence_nr_frequency,distance_crop_market,cropland_area,num_info_exchange_researchers","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources,project_participation,influence_nr_frequency,numHA_nhlabour_permanent_total,education_level_household_finished,cropland_area,farm_size,participation_nr_frequency,mean_transport,distance_crop_market"
"2","perception_associations_effectiveness","distance_main_road,perception_associations_effectiveness","num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,distance_main_road","distance_main_road,perception_associations_effectiveness,num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao","num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,perception_associations_effectiveness,project_participation,distance_main_road","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,distance_main_road,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total","distance_main_road,perception_associations_effectiveness,num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,project_participation,membership,distance_crop_market","num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,perception_associations_effectiveness,project_participation,distance_main_road,numHA_nhlabour_permanent_total,membership,education_level_household_finished","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,distance_main_road,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,project_participation,distance_crop_market,marital_status.3","distance_main_road,perception_associations_effectiveness,num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,project_participation,membership,distance_crop_market,numHA_nhlabour_permanent_total,age,influence_nr_frequency","num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,perception_associations_effectiveness,project_participation,distance_main_road,numHA_nhlabour_permanent_total,membership,education_level_household_finished,num_info_exchange_traders,influence_nr_frequency,distance_crop_market","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,distance_main_road,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,project_participation,distance_crop_market,marital_status.3,education_level_household_finished,farm_size,influence_nr_frequency","distance_main_road,perception_associations_effectiveness,num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,project_participation,membership,distance_crop_market,numHA_nhlabour_permanent_total,age,influence_nr_frequency,num_info_exchange_government,education_level_finished,participation_nr_frequency","num_info_exchange_extension,num_info_exchange_sources,crop_type.cacao,perception_associations_effectiveness,project_participation,distance_main_road,numHA_nhlabour_permanent_total,membership,education_level_household_finished,num_info_exchange_traders,influence_nr_frequency,distance_crop_market,mean_transport,farm_size,age"
"3","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao","perception_associations_effectiveness,num_info_exchange_extension,project_participation,crop_type.cacao,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,project_participation,num_info_exchange_sources,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,project_participation,num_info_exchange_sources,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,project_participation,crop_type.cacao,distance_main_road,membership,num_info_exchange_sources,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,project_participation,num_info_exchange_sources,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,project_participation,num_info_exchange_sources,numHA_nhlabour_permanent_total,membership,farm_size,num_info_exchange_traders","perception_associations_effectiveness,num_info_exchange_extension,project_participation,crop_type.cacao,distance_main_road,membership,num_info_exchange_sources,numHA_nhlabour_permanent_total,num_info_exchange_traders,cropland_area,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,project_participation,num_info_exchange_sources,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_traders,influence_nr_frequency,participation_nr_frequency,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,project_participation,num_info_exchange_sources,numHA_nhlabour_permanent_total,membership,farm_size,num_info_exchange_traders,age,cropland_area,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,project_participation,crop_type.cacao,distance_main_road,membership,num_info_exchange_sources,numHA_nhlabour_permanent_total,num_info_exchange_traders,cropland_area,distance_crop_market,education_level_household_finished,participation_nr_frequency,num_info_exchange_farmers","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,project_participation,num_info_exchange_sources,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_traders,influence_nr_frequency,participation_nr_frequency,distance_crop_market,farm_size,cropland_area,human_wellbeing_3"
"4","num_info_exchange_extension","num_info_exchange_extension,perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,distance_main_road,crop_type.cacao","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,distance_main_road,crop_type.cacao,membership,project_participation,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,num_info_exchange_sources,project_participation,farm_size,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,influence_nr_frequency,farm_size,distance_crop_market","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,distance_main_road,crop_type.cacao,membership,project_participation,distance_crop_market,numHA_nhlabour_permanent_total,education_level_household_finished,influence_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,num_info_exchange_sources,project_participation,farm_size,numHA_nhlabour_permanent_total,age,influence_nr_frequency,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,influence_nr_frequency,farm_size,distance_crop_market,participation_nr_frequency,membership,accessibility_internet","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,distance_main_road,crop_type.cacao,membership,project_participation,distance_crop_market,numHA_nhlabour_permanent_total,education_level_household_finished,influence_nr_frequency,num_info_exchange_traders,participation_nr_frequency,farm_size","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,num_info_exchange_sources,project_participation,farm_size,numHA_nhlabour_permanent_total,age,influence_nr_frequency,distance_crop_market,land_tenure_own_proportion,accessibility_internet,gender"
"5","num_info_exchange_extension","num_info_exchange_extension,perception_associations_effectiveness","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,num_info_exchange_sources","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_extension,membership,distance_main_road,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,numHA_nhlabour_permanent_total,project_participation","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,project_participation,membership","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_extension,membership,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,numHA_nhlabour_permanent_total,project_participation,num_info_exchange_sources,influence_nr_frequency,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_traders,farm_size,cropland_area","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_extension,membership,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,participation_nr_frequency,accessibility_internet,influence_nr_frequency,farm_size","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,crop_type.cacao,membership,numHA_nhlabour_permanent_total,project_participation,num_info_exchange_sources,influence_nr_frequency,num_info_exchange_traders,farm_size,age,distance_crop_market","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,project_participation,membership,num_info_exchange_traders,farm_size,cropland_area,participation_nr_frequency,education_level_finished,education_level_household_finished","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_extension,membership,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,participation_nr_frequency,accessibility_internet,influence_nr_frequency,farm_size,human_wellbeing_3,cropland_area,distance_crop_market"
"6","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao","perception_associations_effectiveness,crop_type.cacao,membership,num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,distance_main_road","perception_associations_effectiveness,crop_type.cacao,membership,num_info_exchange_extension,distance_main_road,num_info_exchange_sources,project_participation","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,distance_main_road,membership","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,distance_main_road,membership,participation_nr_frequency,project_participation","perception_associations_effectiveness,crop_type.cacao,membership,num_info_exchange_extension,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,gender,age","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,distance_main_road,membership,num_info_exchange_traders,distance_crop_market,education_level_household_finished","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,distance_main_road,membership,participation_nr_frequency,project_participation,influence_nr_frequency,farm_size,num_info_exchange_traders","perception_associations_effectiveness,crop_type.cacao,membership,num_info_exchange_extension,distance_main_road,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,gender,age,influence_nr_frequency,land_tenure_own_proportion,farm_size","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,distance_main_road,membership,num_info_exchange_traders,distance_crop_market,education_level_household_finished,influence_nr_frequency,num_info_exchange_researchers,farm_size","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,distance_main_road,membership,participation_nr_frequency,project_participation,influence_nr_frequency,farm_size,num_info_exchange_traders,accessibility_internet,gender,cropland_area"
"7","perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,project_participation,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,project_participation,crop_type.cacao,distance_main_road","perception_associations_effectiveness,num_info_exchange_extension,project_participation,num_info_exchange_sources,crop_type.cacao,membership,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road,membership,influence_nr_frequency","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,project_participation,crop_type.cacao,distance_main_road,numHA_nhlabour_permanent_total,membership,influence_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,project_participation,num_info_exchange_sources,crop_type.cacao,membership,numHA_nhlabour_permanent_total,distance_main_road,participation_nr_frequency,influence_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road,membership,influence_nr_frequency,accessibility_internet,participation_nr_frequency,education_level_household_finished","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,project_participation,crop_type.cacao,distance_main_road,numHA_nhlabour_permanent_total,membership,influence_nr_frequency,distance_crop_market,num_info_exchange_traders,num_info_exchange_farmers","perception_associations_effectiveness,num_info_exchange_extension,project_participation,num_info_exchange_sources,crop_type.cacao,membership,numHA_nhlabour_permanent_total,distance_main_road,participation_nr_frequency,influence_nr_frequency,farm_size,education_level_household_finished,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road,membership,influence_nr_frequency,accessibility_internet,participation_nr_frequency,education_level_household_finished,distance_crop_market,education_level_finished,num_info_exchange_traders","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,project_participation,crop_type.cacao,distance_main_road,numHA_nhlabour_permanent_total,membership,influence_nr_frequency,distance_crop_market,num_info_exchange_traders,num_info_exchange_farmers,participation_nr_frequency,farm_size,accessibility_internet"
"8","perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,membership","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,crop_type.cacao","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,numHA_nhlabour_permanent_total","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,membership","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road,membership,numHA_nhlabour_permanent_total,influence_nr_frequency","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,numHA_nhlabour_permanent_total,project_participation,num_info_exchange_researchers,cropland_area","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,membership,influence_nr_frequency,num_info_exchange_researchers,cropland_area","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road,membership,numHA_nhlabour_permanent_total,influence_nr_frequency,participation_nr_frequency,accessibility_internet,num_info_exchange_farmers","perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,membership,num_info_exchange_extension,distance_main_road,numHA_nhlabour_permanent_total,project_participation,num_info_exchange_researchers,cropland_area,influence_nr_frequency,participation_nr_frequency,distance_crop_market","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,crop_type.cacao,num_info_exchange_sources,numHA_nhlabour_permanent_total,membership,influence_nr_frequency,num_info_exchange_researchers,cropland_area,farm_size,distance_crop_market,education_level_household_finished","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,num_info_exchange_sources,project_participation,distance_main_road,membership,numHA_nhlabour_permanent_total,influence_nr_frequency,participation_nr_frequency,accessibility_internet,num_info_exchange_farmers,farm_size,distance_crop_market,human_wellbeing_3"
"9","num_info_exchange_extension","perception_associations_effectiveness,num_info_exchange_extension","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,membership","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,membership,project_participation,distance_main_road","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,membership,distance_main_road,crop_type.cacao,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,membership,project_participation,distance_main_road,num_info_exchange_sources,numHA_nhlabour_permanent_total,participation_nr_frequency","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,membership,distance_main_road,crop_type.cacao,numHA_nhlabour_permanent_total,project_participation,num_info_exchange_researchers,accessibility_internet","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,gender,farm_size,participation_nr_frequency","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,membership,project_participation,distance_main_road,num_info_exchange_sources,numHA_nhlabour_permanent_total,participation_nr_frequency,num_info_exchange_researchers,cropland_area,distance_crop_market","num_info_exchange_extension,perception_associations_effectiveness,num_info_exchange_sources,membership,distance_main_road,crop_type.cacao,numHA_nhlabour_permanent_total,project_participation,num_info_exchange_researchers,accessibility_internet,cropland_area,age,influence_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,num_info_exchange_sources,project_participation,numHA_nhlabour_permanent_total,gender,farm_size,participation_nr_frequency,cropland_area,num_info_exchange_government,land_tenure_own_proportion","num_info_exchange_extension,perception_associations_effectiveness,crop_type.cacao,membership,project_participation,distance_main_road,num_info_exchange_sources,numHA_nhlabour_permanent_total,participation_nr_frequency,num_info_exchange_researchers,cropland_area,distance_crop_market,influence_nr_frequency,age,farm_size"
"10","perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,project_participation","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,project_participation,num_info_exchange_sources","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,distance_main_road,membership,numHA_nhlabour_permanent_total","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,project_participation,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,project_participation,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,distance_main_road,membership,numHA_nhlabour_permanent_total,project_participation,influence_nr_frequency,participation_nr_frequency","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,project_participation,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,farm_size,influence_nr_frequency,num_info_exchange_researchers","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,project_participation,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,distance_crop_market,influence_nr_frequency,land_tenure_own_proportion,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,num_info_exchange_sources,distance_main_road,membership,numHA_nhlabour_permanent_total,project_participation,influence_nr_frequency,participation_nr_frequency,distance_crop_market,age,accessibility_phone_reception","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,crop_type.cacao,project_participation,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,farm_size,influence_nr_frequency,num_info_exchange_researchers,distance_crop_market,education_level_household_finished,education_level_finished","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,project_participation,num_info_exchange_sources,membership,numHA_nhlabour_permanent_total,distance_crop_market,influence_nr_frequency,land_tenure_own_proportion,participation_nr_frequency,education_level_household_finished,accessibility_phone_reception,num_info_exchange_researchers"
"11","perception_associations_effectiveness","num_info_exchange_extension,perception_associations_effectiveness","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources,project_participation","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership,num_info_exchange_sources,crop_type.cacao,numHA_nhlabour_permanent_total","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,project_participation,farm_size","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources,project_participation,influence_nr_frequency,numHA_nhlabour_permanent_total,education_level_household_finished","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership,num_info_exchange_sources,crop_type.cacao,numHA_nhlabour_permanent_total,distance_crop_market,farm_size,cropland_area","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,project_participation,farm_size,participation_nr_frequency,influence_nr_frequency,distance_crop_market","perception_associations_effectiveness,num_info_exchange_extension,distance_main_road,membership,crop_type.cacao,num_info_exchange_sources,project_participation,influence_nr_frequency,numHA_nhlabour_permanent_total,education_level_household_finished,cropland_area,farm_size,participation_nr_frequency","num_info_exchange_extension,perception_associations_effectiveness,distance_main_road,project_participation,membership,num_info_exchange_sources,crop_type.cacao,numHA_nhlabour_permanent_total,distance_crop_market,farm_size,cropland_area,influence_nr_frequency,accessibility_internet,participation_nr_frequency","perception_associations_effectiveness,num_info_exchange_extension,crop_type.cacao,distance_main_road,membership,numHA_nhlabour_permanent_total,num_info_exchange_sources,project_participation,farm_size,participation_nr_frequency,influence_nr_frequency,distance_crop_market,cropland_area,num_info_exchange_researchers,accessibility_phone_reception"
