"","NumFeatures","selected_factors","frequency","category_1","factor","description"
"1","featNum10","distance_main_road",60,"physical_capital","Distance to main road","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"2","featNum10","membership",60,"social_capital","Association/organization membership","Is the farmer or other household members part of any association or organization?"
"3","featNum10","num_info_exchange_extension",60,"P&I_context_knowledge","Extension frequency","How frequently does the farmer exchange information with agricultural extensionists?"
"4","featNum10","num_info_exchange_sources",60,"P&I_context_knowledge","Number of information sources","Number of different information sources the farmer uses regarding farm management."
"5","featNum10","num_membership",60,"social_capital","Number of association/organization memberships","Number of associations or organizations that the farmer or household members are part of."
"6","featNum10","perception_associations_effectiveness",60,"social_capital","Perception of association effectiveness","How effective does the farmer perceive associations or organizations are in supporting business ventures?"
"7","featNum10","crop_type.cacao",53,"farm_management_characteristics","Main crop: cacao","Name of the main crop produced by the household."
"8","featNum10","project_participation",47,"social_capital","Participation in project","Has any household member participated in a research or development project in the last 12 months?"
"9","featNum10","numHA_nhlabour_permanent_total",40,"human_capital","Permanent household labour density","Number of household members working permanently in farming activities per hectare."
"10","featNum10","education_level_household_finished",28,"human_capital","Level of education of most household members","Highest level of formal education completed by the household members."
