"","NumFeatures","selected_factors","frequency"
"1","featNum1","crop_type.cacao",6
"2","featNum1","distance_main_road",4
"3","featNum1","num_info_exchange_extension",49
"4","featNum1","project_participation",1
"5","featNum10","access_info_exchange_researchers",12
"6","featNum10","access_mobile_phone",1
"7","featNum10","accessibility_phone_reception",1
"8","featNum10","age",8
"9","featNum10","crop_type.cacao",60
"10","featNum10","cropland_area",2
"11","featNum10","distance_main_road",58
"12","featNum10","education_level_household_finished",9
"13","featNum10","gender",2
"14","featNum10","human_wellbeing_3",1
"15","featNum10","influence_nr_frequency",37
"16","featNum10","land_tenure_own_proportion",1
"17","featNum10","membership",53
"18","featNum10","num_adults_total",13
"19","featNum10","num_children",34
"20","featNum10","num_info_exchange_extension",60
"21","featNum10","num_info_exchange_farmers",2
"22","featNum10","num_info_exchange_researchers",6
"23","featNum10","num_info_exchange_sources",59
"24","featNum10","num_membership",56
"25","featNum10","participation_nr_frequency",28
"26","featNum10","project_participation",57
"27","featNum11","access_info_exchange_farmers",2
"28","featNum11","access_info_exchange_government",1
"29","featNum11","access_info_exchange_ngo",1
"30","featNum11","access_info_exchange_researchers",16
"31","featNum11","access_mobile_phone",1
"32","featNum11","accessibility_phone_reception",6
"33","featNum11","age",11
"34","featNum11","crop_type.cacao",59
"35","featNum11","cropland_area",1
"36","featNum11","distance_main_road",58
"37","featNum11","education_level_household_finished",17
"38","featNum11","gender",3
"39","featNum11","human_wellbeing_3",3
"40","featNum11","influence_nr_frequency",40
"41","featNum11","land_tenure_own_proportion",3
"42","featNum11","membership",52
"43","featNum11","num_adults_total",16
"44","featNum11","num_children",33
"45","featNum11","num_info_exchange_extension",60
"46","featNum11","num_info_exchange_farmers",4
"47","featNum11","num_info_exchange_government",1
"48","featNum11","num_info_exchange_researchers",7
"49","featNum11","num_info_exchange_sources",60
"50","featNum11","num_membership",55
"51","featNum11","num_occupation_secondary_list",1
"52","featNum11","participation_nr_frequency",32
"53","featNum11","project_participation",57
"54","featNum12","access_info_exchange_farmers",2
"55","featNum12","access_info_exchange_government",1
"56","featNum12","access_info_exchange_ngo",1
"57","featNum12","access_info_exchange_researchers",19
"58","featNum12","access_mobile_phone",2
"59","featNum12","accessibility_phone_reception",7
"60","featNum12","age",14
"61","featNum12","crop_type.cacao",59
"62","featNum12","cropland_area",5
"63","featNum12","distance_main_road",58
"64","featNum12","education_level_household_finished",16
"65","featNum12","gender",8
"66","featNum12","human_wellbeing_3",4
"67","featNum12","influence_nr_frequency",41
"68","featNum12","land_tenure_own_proportion",2
"69","featNum12","mean_transport",1
"70","featNum12","membership",53
"71","featNum12","num_adults_total",17
"72","featNum12","num_children",37
"73","featNum12","num_info_exchange_extension",60
"74","featNum12","num_info_exchange_farmers",7
"75","featNum12","num_info_exchange_government",2
"76","featNum12","num_info_exchange_researchers",14
"77","featNum12","num_info_exchange_sources",59
"78","featNum12","num_membership",54
"79","featNum12","num_occupation_secondary_list",2
"80","featNum12","participation_nr_frequency",37
"81","featNum12","project_participation",58
"82","featNum13","access_info_exchange_farmers",4
"83","featNum13","access_info_exchange_government",4
"84","featNum13","access_info_exchange_ngo",1
"85","featNum13","access_info_exchange_researchers",23
"86","featNum13","access_mobile_phone",3
"87","featNum13","accessibility_phone_reception",12
"88","featNum13","age",11
"89","featNum13","crop_type.cacao",59
"90","featNum13","cropland_area",5
"91","featNum13","distance_main_road",58
"92","featNum13","distance_water_source",1
"93","featNum13","education_level_household_finished",23
"94","featNum13","gender",10
"95","featNum13","human_wellbeing_3",4
"96","featNum13","influence_nr_frequency",42
