"category_1","constructs","factors","factor","reliability","constructs_type","weights","reliability_assessment"
"human_capital","age","age","Age",1,"composite","mode_A","Good"
"farmers_behaviour","agroecol_perspective_13","agroecol_perspective_13","Perception of current farming systems",1,"composite","mode_A","Good"
"farmers_behaviour","agroecol_perspective_3","agroecol_perspective_3","Perceived community care for nature",1,"composite","mode_A","Good"
"farmers_behaviour","agroecol_perspective_7","agroecol_perspective_7","Power and freedom to solve problems collectively",1,"composite","mode_A","Good"
"outcome","dfs_adoption_binary","dfs_adoption_binary","DFS adoption",1,"composite","mode_A","Good"
"physical_capital","distance_main_road","distance_main_road","Distance to main road",1,"composite","mode_A","Good"
"natural_capital","environmental_quality","human_wellbeing_11","Satisfaction with quality of local environment",1,"composite","mode_A","Good"
"natural_capital","farm_size","farm_size","Farm size",1,"composite","mode_A","Good"
"vulnerability_context","household_shock_recover_capacity","household_shock_recover_capacity","Household recovery capacity from shocks",1,"composite","mode_A","Good"
"financial_capital","income_amount_onfarm","income_amount_onfarm","On-farm income amount",1,"composite","mode_A","Good"
"financial_capital","income_spend_on_food_percentage","income_spend_on_food_percentage","Percentage of income spent on food",1,"composite","mode_A","Good"
"financial_capital","income_stability","income_stability","Income stability",1,"composite","mode_A","Good"
"financial_capital","income_sufficiency","income_sufficiency","Income sufficiency",1,"composite","mode_A","Good"
"P&I_context_land_tenure","land_tenure_own_area","land_tenure_own_area","Area of land owns",1,"composite","mode_A","Good"
"social_capital","membership","membership","Association/organization membership",1,"composite","mode_A","Good"
"human_capital","numHA_nhlabour_permanent_total","numHA_nhlabour_permanent_total","Permanent household labour density",1,"composite","mode_A","Good"
"human_capital","num_adults_total","num_adults_total","Total adults (≥18 years old) in household",1,"composite","mode_A","Good"
"human_capital","num_children","num_children","Children (<18 years old) in household",1,"composite","mode_A","Good"
"P&I_context_knowledge","num_info_exchange_extension","num_info_exchange_extension","Extension frequency",1,"composite","mode_A","Good"
"social_capital","num_info_exchange_farmers","num_info_exchange_farmers","Frequency of information exchange with other farmers",1,"composite","mode_A","Good"
"P&I_context_knowledge","num_info_exchange_ngo","num_info_exchange_ngo","Frequency of information exchange with NGOs",1,"composite","mode_A","Good"
"P&I_context_knowledge","num_info_exchange_sources","num_info_exchange_sources","Number of information sources",1,"composite","mode_A","Good"
"social_capital","num_membership","num_membership","Number of association/organization memberships",1,"composite","mode_A","Good"
"farm_management_characteristics","num_pest_management_ecol_practices","num_pest_management_ecol_practices","Number of ecological practices for pest management",1,"composite","mode_A","Good"
"social_capital","perception_associations_effectiveness","perception_associations_effectiveness","Perception of association effectiveness",1,"composite","mode_A","Good"
"social_capital","project_participation","project_participation","Participation in project",1,"composite","mode_A","Good"
"P&I_context_value_chain","sales_channel_crops.cooperative","sales_channel_crops.cooperative","Sale of crop products to farmers' organizations or cooperatives",1,"composite","mode_A","Good"
"P&I_context_value_chain","sales_channel_crops.retailers","sales_channel_crops.retailers","Sale of crop products to traders or supermarkets",1,"composite","mode_A","Good"
"farm_management_characteristics","sfs_monoculture_perennial_area","sfs_monoculture_perennial_area","Area under monoculture perennial",1,"composite","mode_A","Good"
"social_capital","support_provider.cooperatives","support_provider.cooperatives","Support from local farmer cooperatives",1,"composite","mode_A","Good"
"P&I_context_knowledge","training_participation","training_participation","Training participation",1,"composite","mode_A","Good"
"natural_capital","years_farming_land","years_farming_land","Years of farming land",1,"composite","mode_A","Good"
