"constructs","alpha","rhoC","AVE","rhoA","category_1","constructs_type","alpha_assessment","rhoC_assessment","rhoA_assessment","AVE_assessment"
"sfs_monoculture_perennial_area",1,1,1,1,"farm_management_characteristics","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"agroecol_perspective_13",1,1,1,1,"farmers_behaviour","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"numHA_nhlabour_permanent_total",1,1,1,1,"human_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"environmental_quality",1,1,1,1,"natural_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_info_exchange_extension",1,1,1,1,"P&I_context_knowledge","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"training_participation",1,1,1,1,"P&I_context_knowledge","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"distance_main_road",1,1,1,1,"physical_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"perception_associations_effectiveness",1,1,1,1,"social_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"support_provider.cooperatives",1,1,1,1,"social_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"household_shock_recover_capacity",1,1,1,1,"vulnerability_context","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_pest_management_ecol_practices",1,1,1,1,"farm_management_characteristics","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"agroecol_perspective_7",1,1,1,1,"farmers_behaviour","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"income_stability",1,1,1,1,"financial_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"income_sufficiency",1,1,1,1,"financial_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"income_amount_onfarm",1,1,1,1,"financial_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"income_spend_on_food_percentage",1,1,1,1,"financial_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"years_farming_land",1,1,1,1,"natural_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"sales_channel_crops.retailers",1,1,1,1,"P&I_context_value_chain","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"sales_channel_crops.cooperative",1,1,1,1,"P&I_context_value_chain","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_info_exchange_farmers",1,1,1,1,"social_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"agroecol_perspective_3",1,1,1,1,"farmers_behaviour","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"farm_size",1,1,1,1,"natural_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_info_exchange_sources",1,1,1,1,"P&I_context_knowledge","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"land_tenure_own_area",1,1,1,1,"P&I_context_land_tenure","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"age",1,1,1,1,"human_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_children",1,1,1,1,"human_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_adults_total",1,1,1,1,"human_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_info_exchange_ngo",1,1,1,1,"P&I_context_knowledge","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"membership",1,1,1,1,"social_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"num_membership",1,1,1,1,"social_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"project_participation",1,1,1,1,"social_capital","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
"dfs_adoption_binary",1,1,1,1,"outcomes","composite","Check for redundancy","Check for redundancy","Check for redundancy","Good"
