"constructs1","constructs2","correlation"
"soil_pH_mean","agroecol_perspective_13",NA
"soil_pH_mean","agroecology_knowledge",NA
"soil_pH_mean","crop_type.cacao",NA
"soil_pH_mean","dfs_adoption_binary",NA
"soil_pH_mean","distance_main_road",NA
"soil_pH_mean","environmental_quality",NA
"soil_pH_mean","fair_price_crops",NA
"soil_pH_mean","household_shock_recover_capacity",NA
"soil_pH_mean","income_stability",NA
"soil_pH_mean","membership",NA
"soil_pH_mean","nearest_farmer_adopted",NA
"soil_pH_mean","nr_management_opinion",NA
"soil_pH_mean","numHA_nhlabour_permanent_total",NA
"soil_pH_mean","num_info_exchange_extension",NA
"soil_pH_mean","num_info_exchange_farmers",NA
"soil_pH_mean","num_info_exchange_sources",NA
"soil_pH_mean","perceived_shock_market",NA
"soil_pH_mean","perceived_shock_soil_erosion",NA
"soil_pH_mean","perception_associations_effectiveness",NA
"soil_pH_mean","project_participation",NA
"soil_pH_mean","sfs_monoculture_perennial_area",NA
"soil_pH_mean","soil_pH_mean",NA
"soil_pH_mean","support_provider.cooperatives",NA
"soil_pH_mean","support_provider.ind_different_community",NA
"soil_pH_mean","training_participation",NA
"soil_pH_mean","years_farming_land",NA
"soil_pH_mean","yield_gap_median",NA
"sfs_monoculture_perennial_area","agroecol_perspective_13",NA
"sfs_monoculture_perennial_area","agroecology_knowledge",NA
"sfs_monoculture_perennial_area","crop_type.cacao",NA
"sfs_monoculture_perennial_area","dfs_adoption_binary",NA
"sfs_monoculture_perennial_area","distance_main_road",NA
"sfs_monoculture_perennial_area","environmental_quality",NA
"sfs_monoculture_perennial_area","fair_price_crops",NA
"sfs_monoculture_perennial_area","household_shock_recover_capacity",NA
"sfs_monoculture_perennial_area","income_stability",NA
"sfs_monoculture_perennial_area","membership",NA
"sfs_monoculture_perennial_area","nearest_farmer_adopted",NA
"sfs_monoculture_perennial_area","nr_management_opinion",NA
"sfs_monoculture_perennial_area","numHA_nhlabour_permanent_total",NA
"sfs_monoculture_perennial_area","num_info_exchange_extension",NA
"sfs_monoculture_perennial_area","num_info_exchange_farmers",NA
"sfs_monoculture_perennial_area","num_info_exchange_sources",NA
"sfs_monoculture_perennial_area","perceived_shock_market",NA
"sfs_monoculture_perennial_area","perceived_shock_soil_erosion",NA
"sfs_monoculture_perennial_area","perception_associations_effectiveness",NA
"sfs_monoculture_perennial_area","project_participation",NA
"sfs_monoculture_perennial_area","sfs_monoculture_perennial_area",NA
"sfs_monoculture_perennial_area","soil_pH_mean",0.324449334846753
"sfs_monoculture_perennial_area","support_provider.cooperatives",NA
"sfs_monoculture_perennial_area","support_provider.ind_different_community",NA
"sfs_monoculture_perennial_area","training_participation",NA
"sfs_monoculture_perennial_area","years_farming_land",NA
"sfs_monoculture_perennial_area","yield_gap_median",NA
"nearest_farmer_adopted","agroecol_perspective_13",NA
"nearest_farmer_adopted","agroecology_knowledge",NA
"nearest_farmer_adopted","crop_type.cacao",NA
"nearest_farmer_adopted","dfs_adoption_binary",NA
"nearest_farmer_adopted","distance_main_road",NA
"nearest_farmer_adopted","environmental_quality",NA
"nearest_farmer_adopted","fair_price_crops",NA
"nearest_farmer_adopted","household_shock_recover_capacity",NA
"nearest_farmer_adopted","income_stability",NA
"nearest_farmer_adopted","membership",NA
"nearest_farmer_adopted","nearest_farmer_adopted",NA
"nearest_farmer_adopted","nr_management_opinion",NA
"nearest_farmer_adopted","numHA_nhlabour_permanent_total",NA
"nearest_farmer_adopted","num_info_exchange_extension",NA
"nearest_farmer_adopted","num_info_exchange_farmers",NA
"nearest_farmer_adopted","num_info_exchange_sources",NA
"nearest_farmer_adopted","perceived_shock_market",NA
"nearest_farmer_adopted","perceived_shock_soil_erosion",NA
"nearest_farmer_adopted","perception_associations_effectiveness",NA
"nearest_farmer_adopted","project_participation",NA
"nearest_farmer_adopted","sfs_monoculture_perennial_area",0.118705324501723
"nearest_farmer_adopted","soil_pH_mean",0.515939115398374
"nearest_farmer_adopted","support_provider.cooperatives",NA
"nearest_farmer_adopted","support_provider.ind_different_community",NA
"nearest_farmer_adopted","training_participation",NA
"nearest_farmer_adopted","years_farming_land",NA
"nearest_farmer_adopted","yield_gap_median",NA
