"","agroecol_perspective_13","agroecol_perspective_4","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","income_stability","influence_nr_frequency","membership","nearest_farmer_adopted","numHA_nhlabour_permanent_total","num_info_exchange_extension","num_info_exchange_sources","num_membership","perception_associations_effectiveness","project_participation","sfs_monoculture_perennial_area","soil_pH_mean","support_provider.cooperatives","support_provider.ind_different_community","training_participation","years_farming_land"
"20231031_AnA",4,3,0,0,5,3,3,5,0,0,0.142857142857143,2,2,0,0,0,7,5.06666666666667,0,0,0,5
"20231031_DaD",4,5,0,1,3,5,3,3,1,0,0.333333333333333,2,4,1,1,0,4.5,5.16666666666667,0,0,1,5
"20231031_SaR",4,4,0,0,3,3,3,3,1,0,0.111111111111111,2,2,1,0,0,6,4.76666666666667,0,0,1,7
"20231101_AlV",4,5,1,0,400,2,3,3,1,1,0.0625,0,4,4,1,0,0,4,0,1,0,22
"20231101_FeH",3,4,0,0,1,3,3,5,0,0,0.2,0,2,0,1,0,2,4.83333333333333,0,0,0,3
"20231101_PeR",4,5,0,0,1,4,4,3,1,0,0.133333333333333,0,2,1,1,0,15,5.1,0,0,0,12
"20231101_RoS",4,5,1,0,200,2,2,2,1,0,0.25,0,1,1,4,1,2.5,5.3,1,0,1,7
"20231101_SuS",4,4,1,1,50,1,2,2,1,1,0.0344827586206897,3,2,4,4,0,3.5,5.03333333333333,0,0,1,25
"20231101_ViP",4,2,0,0,2,4,3,3,0,0,0.166666666666667,2,2,0,2,0,10,4.86666666666667,0,0,0,3
"20231102_GeS",2,5,1,0,150,4,3,1,1,0,0.380952380952381,3,2,3,5,0,3,6.23333333333333,1,0,1,10
"20231102_ReS",4,4,1,0,100,2,2,1,1,0,0.2,2,1,2,4,0,2.5,6.86666666666667,1,1,1,13
"20231103_EdS",2,5,1,0,300,3,5,1,1,0,0.111111111111111,2,1,1,5,0,5,6.53333333333333,1,0,1,10
"20231103_FlG",4,4,0,0,100,3,3,3,0,0,0.2,2,1,0,1,0,5,4.96666666666667,0,0,0,8
"20231103_NeV",2,4,1,0,2,3,2,1,1,0,0.142857142857143,0,0,1,5,0,2,6.06666666666667,1,0,0,7
"20231103_RaP",4,4,0,0,100,4,3,4,1,0,0.142857142857143,0,1,1,0,0,6,4.73333333333333,0,0,0,10
"20231104_EmR",4,4,0,0,50,4,5,4,0,0,0,0,1,0,0,0,6,5.03333333333333,0,0,1,10
"20231104_MaM",4,4,0,0,80,3,3,4,0,0,0.2,1,1,0,0,0,8,4.96666666666667,0,0,0,12
"20231104_RoR",1,4,1,1,150,2,2,2,1,1,0.181818181818182,5,4,2,4,1,1.25,7.33333333333333,1,0,1,39
"20231104_SeS",1,5,1,1,400,1,2,1,1,1,0.125,5,2,3,4,1,0,5.96666666666667,1,1,1,9
"20231106_AmQ",4,4,0,0,1,4,5,3,1,0,0.333333333333333,2,2,1,0,0,6,5,0,0,0,12
"20231106_DaP",4,5,0,0,10,3,3,3,0,0,0.25,2,2,0,0,0,8,5.03333333333333,0,0,0,12
"20231107_EsH",3,5,0,1,50,3,4,4,1,0,1.11111111111111,4,7,3,4,1,2,4.66666666666667,0,0,1,22
"20231107_MaR",4,5,0,0,2,4,4,2,1,1,0.4,0,3,2,2,1,0.5,4.76666666666667,0,0,1,4
"20231108_EdQ",4,4,0,0,0,3,5,3,1,0,0.0526315789473684,0,0,1,0,0,2.5,4.13333333333333,0,0,0,5
"20231108_JuV",1,5,1,1,5,2,3,1,1,1,0.0555555555555556,4,6,3,4,1,5,5.43333333333333,1,0,1,27
"20231108_LiS",2,4,1,1,4,2,2,3,1,1,0.333333333333333,2,2,1,4,1,2,6.36666666666667,1,0,1,17
"20231108_NaS",4,5,0,0,1,3,4,4,1,0,0.285714285714286,0,0,2,0,0,4.5,4,0,1,0,5
"20231110_ErR",5,5,0,1,20,2,5,3,1,0,0.0833333333333333,0,1,5,2,1,1.5,5.03333333333333,0,0,1,42
"20231110_JuC",1,4,1,0,150,2,3,1,1,1,0.0714285714285714,5,2,1,4,0,14,6.9,1,0,0,14
"20231110_MaM",1,4,1,1,4,2,2,1,1,1,0.0303030303030303,4,1,2,1,0,25,5.13333333333333,1,1,1,27
"20231113_FlH",4,4,0,0,1,4,5,3,1,0,0.153846153846154,0,1,2,0,0,10,4,0,0,0,10
"20231113_SeH",4,4,0,0,5,3,5,4,1,0,0.117647058823529,2,1,1,0,0,12,4.13333333333333,0,0,0,17
"20231115_GiC",4,4,0,0,5,4,5,1,1,0,0.25,0,0,1,0,0,6,4.16666666666667,0,0,0,13
"20231115_IsC",3,4,0,0,2,3,5,2,1,0,0.315789473684211,2,2,1,0,0,8.5,4.03333333333333,0,1,0,22
"20231116_HiC",4,4,0,0,1,4,3,2,1,0,1,0,0,1,0,0,3,3.9,0,0,0,14
"20231116_RoG",4,3,0,0,20,5,5,3,1,0,1,6,2,1,0,0,2,4.06666666666667,0,0,0,10
"20231117_EdR",4,4,0,0,1,3,3,3,1,1,0.4,0,0,1,0,0,5,4.26666666666667,0,1,0,10
"20231117_NeR",1,4,1,1,100,1,3,1,1,1,0.4,0,0,2,4,0,1.5,6.6,1,0,0,17
"20231117_RuA",4,3,0,0,1,4,5,2,1,0,0.210526315789474,6,2,1,0,0,9.5,4.1,0,0,0,9
"20231117_SeV",4,4,0,0,2,4,5,2,1,0,1,2,1,1,0,0,2,5.3,0,0,0,7
"20231117_ViR",1,4,1,1,150,2,2,1,1,1,0.1,13,3,3,4,1,5,7.33333333333333,1,0,1,22
"20231118_JaS",2,4,1,1,500,2,2,1,1,1,0.00769230769230769,4,3,3,4,1,22,6.13333333333333,1,0,1,27
