"category_1","constructs","factors","factor","reliability","constructs_type","weights","reliability_assessment"
"farmers_behaviour","agroecol_perspective_1","agroecol_perspective_1","Care for nature",1,"composite","mode_A","Good"
"farmers_behaviour","agroecol_perspective_3","agroecol_perspective_3","Perceived community care for nature",1,"composite","mode_A","Good"
"farmers_behaviour","agroecol_perspective_7","agroecol_perspective_7","Power and freedom to solve problems collectively",1,"composite","mode_A","Good"
"farm_management_characteristics","crop_type.cacao","crop_type.cacao","Main crop: cacao",1,"composite","mode_A","Good"
"outcome","dfs_adoption_binary","dfs_adoption_binary","DFS adoption",1,"composite","mode_A","Good"
"physical_capital","distance_main_road","distance_main_road","Distance to main road",1,"composite","mode_A","Good"
"natural_capital","environmental_quality","human_wellbeing_11","Satisfaction with quality of local environment",1,"composite","mode_A","Good"
"financial_capital","income_stability","income_stability","Income stability",1,"composite","mode_A","Good"
"social_capital","membership","membership","Association/organization membership",1,"composite","mode_A","Good"
"farmers_behaviour","nearest_farmer_adopted","nearest_farmer_adopted","Closest neighbour adopts DFS",1,"composite","mode_A","Good"
"human_capital","num_children","num_children","Children (<18 years old) in household",1,"composite","mode_A","Good"
"P&I_context_knowledge","num_info_exchange_extension","num_info_exchange_extension","Extension frequency",1,"composite","mode_A","Good"
"P&I_context_knowledge","num_info_exchange_sources","num_info_exchange_sources","Number of information sources",1,"composite","mode_A","Good"
"social_capital","num_membership","num_membership","Number of association/organization memberships",1,"composite","mode_A","Good"
"social_capital","perception_associations_effectiveness","perception_associations_effectiveness","Perception of association effectiveness",1,"composite","mode_A","Good"
"social_capital","project_participation","project_participation","Participation in project",1,"composite","mode_A","Good"
"farm_management_characteristics","sfs_monoculture_perennial_area","sfs_monoculture_perennial_area","Area under monoculture perennial",1,"composite","mode_A","Good"
"biophysical_context","soil_pH_mean","soil_pH_mean","Soil pH",1,"composite","mode_A","Good"
"social_capital","support_provider.cooperatives","support_provider.cooperatives","Support from local farmer cooperatives",1,"composite","mode_A","Good"
"social_capital","support_provider.ind_different_community","support_provider.ind_different_community","Support from individuals in different community",1,"composite","mode_A","Good"
"P&I_context_knowledge","training_participation","training_participation","Training participation",1,"composite","mode_A","Good"
"natural_capital","years_farming_land","years_farming_land","Years of farming land",1,"composite","mode_A","Good"
