"","governance_involvement","agroecol_perspective_13","agroecology_knowledge","dfs_adoption_binary","distance_main_road","fair_price_crops","household_shock_recover_capacity","income_stability","membership","nearest_farmer_adopted","nr_management_opinion","numHA_nhlabour_permanent_total","num_info_exchange_extension","num_info_exchange_farmers","num_info_exchange_sources","perceived_shock_market","perceived_shock_soil_erosion","perception_associations_effectiveness","project_participation","sfs_monoculture_perennial_area","soil_pH_mean","support_provider.cooperatives","support_provider.ind_different_community","training_participation","years_farming_land","yield_gap_median","human_wellbeing_11"
"20231031_AnA",2.67851037465403,4,1,0,5,2,3,3,0,0,3,0.142857142857143,2,0,2,0,0,0,0,7,5.06666666666667,0,0,0,5,57.7922077922078,3
"20231031_DaD",0.859459383988697,4,0,1,3,2,5,3,1,0,4,0.333333333333333,2,12,4,0,0,1,0,4.5,5.16666666666667,0,0,1,5,76.1010101010101,4
"20231031_SaR",0.859459383988697,4,1,0,3,3,3,3,1,0,3,0.111111111111111,2,0,2,0,0,0,0,6,4.76666666666667,0,0,1,7,30.3030303030303,4
"20231101_AlV",0.872694030332577,4,0,0,400,3,2,3,1,1,2,0.0625,0,24,4,0,1,1,0,0,4,0,1,0,22,46.9496021220159,4
"20231101_FeH",2.70497966734179,3,0,0,1,2,3,3,0,0,3,0.2,0,0,2,0,0,1,0,2,4.83333333333333,0,0,0,3,47.7707006369427,4
"20231101_PeR",0.872694030332577,4,1,0,1,2,4,4,1,0,3,0.133333333333333,0,0,2,0,0,1,0,15,5.1,0,0,0,12,83.047385620915,4
"20231101_RoS",-0.0633007576878513,4,2,0,200,4,2,2,1,0,2,0.25,0,0,1,1,1,4,1,2.5,5.3,1,0,1,7,0,4
"20231101_SuS",-0.0633007576878513,4,1,1,50,4,1,2,1,1,2,0.0344827586206897,3,0,2,0,0,4,0,3.5,5.03333333333333,0,0,1,25,75.139146567718,2
"20231101_ViP",0.846224737644817,4,0,0,2,2,4,3,0,0,3,0.166666666666667,2,4,2,1,0,2,0,10,4.86666666666667,0,0,0,3,60.7843137254902,4
"20231102_GeS",-0.95959160667664,2,1,0,150,3,4,3,1,0,3,0.380952380952381,3,0,2,0,1,5,0,3,6.23333333333333,1,0,1,10,35.0649350649351,2
"20231102_ReS",-0.97282625302052,4,0,0,100,4,2,2,1,0,3,0.2,2,0,1,0,1,4,0,2.5,6.86666666666667,1,1,1,13,37.6623376623377,2
"20231103_EdS",-0.986060899364399,2,1,0,300,3,3,5,1,0,2,0.111111111111111,2,0,1,1,1,5,0,5,6.53333333333333,1,0,1,10,71.4285714285714,3
"20231103_FlG",0.885928676676456,4,1,0,100,2,3,3,0,0,4,0.2,2,0,1,0,0,1,0,5,4.96666666666667,0,0,0,8,86.1105997570045,4
"20231103_NeV",-0.986060899364399,2,1,0,2,4,3,2,1,0,3,0.142857142857143,0,0,0,0,1,5,0,2,6.06666666666667,1,0,0,7,57.2727272727273,2
"20231103_RaP",1.78221952566524,4,1,0,100,2,4,3,1,0,4,0.142857142857143,0,0,1,0,0,0,0,6,4.73333333333333,0,0,0,10,43.4343434343434,3
"20231104_EmR",1.79545417200912,4,2,0,50,3,4,5,0,0,2,0,0,0,1,0,0,0,0,6,5.03333333333333,0,0,1,10,47.6190476190476,4
"20231104_MaM",1.76898487932136,4,0,0,80,3,3,3,0,0,3,0.2,1,0,1,0,0,0,0,8,4.96666666666667,0,0,0,12,81.2091503267974,4
"20231104_RoR",-0.023596818656212,1,2,1,150,2,2,2,1,1,2,0.181818181818182,5,3,4,1,0,4,1,1.25,7.33333333333333,1,0,1,39,60.03996003996,2
"20231104_SeS",-0.986060899364399,1,1,1,400,4,1,2,1,1,3,0.125,5,3,2,0,0,4,1,0,5.96666666666667,1,1,1,9,95.7142857142857,5
"20231106_AmQ",0.885928676676456,4,2,0,1,2,4,5,1,0,2,0.333333333333333,2,4,2,1,0,0,0,6,5,0,0,0,12,0,4
"20231106_DaP",0.872694030332577,4,0,0,10,3,3,3,0,0,3,0.25,2,2,2,1,0,0,0,8,5.03333333333333,0,0,0,12,73.7373737373737,4
"20231107_EsH",1.79545417200912,3,2,1,50,3,3,4,1,0,2,1.11111111111111,4,3,7,1,0,4,1,2,4.66666666666667,0,0,1,22,75,4
"20231107_MaR",-0.0633007576878513,4,2,0,2,2,4,4,1,1,3,0.4,0,0,3,1,0,2,1,0.5,4.76666666666667,0,0,1,4,75.3899104963385,4
"20231108_EdQ",0.885928676676456,4,0,0,0,1,3,5,1,0,3,0.0526315789473684,0,0,0,1,0,0,0,2.5,4.13333333333333,0,0,0,5,53.6046741929095,2
"20231108_JuV",-0.986060899364399,1,1,1,5,5,2,3,1,1,4,0.0555555555555556,4,20,6,0,0,4,1,5,5.43333333333333,1,0,1,27,51.179820992677,3
