"column_name_new2","name_choice","Count","Total","Percentage","column_name_new","label_choice","category_1","sub_category","category_3","factor","metric","metric_type","categorical_type","description"
"access_free_school_meals_perweek","0",58,201,28.8557213930348,"access_free_school_meals_perweek","No","P&I_context_financial_risk_management","financial risk management","support","Household with children attending school and receiving free meals","5 = Children receiving free school meals; 2 = Children attending school but not receiving free meals; 0 = No children attending school","categorical","ordinal","Do the household's children attend school and receive free meals?"
"access_free_school_meals_perweek","5",143,201,71.1442786069652,"access_free_school_meals_perweek",NA,"P&I_context_financial_risk_management","financial risk management","support","Household with children attending school and receiving free meals","5 = Children receiving free school meals; 2 = Children attending school but not receiving free meals; 0 = No children attending school","categorical","ordinal","Do the household's children attend school and receive free meals?"
"access_info_exchange_consumers","0",81,201,40.2985074626866,"access_info_exchange_consumers","No","P&I_context_value_chain","value chain","information exchange, market linkage","Information exchange with consumers","1= yes; 0= no","binary","NA","Did the farmer exchange information with consumers?"
"access_info_exchange_consumers","1",120,201,59.7014925373134,"access_info_exchange_consumers","Yes","P&I_context_value_chain","value chain","information exchange, market linkage","Information exchange with consumers","1= yes; 0= no","binary","NA","Did the farmer exchange information with consumers?"
"access_info_exchange_extension","0",22,201,10.9452736318408,"access_info_exchange_extension","No","P&I_context_knowledge","knowledge","information exchange","Access to extension","1= yes; 0= no","binary","NA","Did the farmer exchange information with agricultural extensionists?"
"access_info_exchange_extension","1",179,201,89.0547263681592,"access_info_exchange_extension","Yes","P&I_context_knowledge","knowledge","information exchange","Access to extension","1= yes; 0= no","binary","NA","Did the farmer exchange information with agricultural extensionists?"
"access_info_exchange_farmers","0",30,201,14.9253731343284,"access_info_exchange_farmers","No","social_capital","Networks","contact","Information exchange with other farmers","1= yes; 0= no","binary","NA","Did the farmer exchange information with other farmers?"
"access_info_exchange_farmers","1",171,201,85.0746268656716,"access_info_exchange_farmers","Yes","social_capital","Networks","contact","Information exchange with other farmers","1= yes; 0= no","binary","NA","Did the farmer exchange information with other farmers?"
"access_info_exchange_government","0",67,201,33.3333333333333,"access_info_exchange_government","No","P&I_context_knowledge","knowledge","information exchange, contact","Exchange information with government","1= yes; 0= no","binary","NA","Did the farmer exchange information with the government?"
"access_info_exchange_government","1",134,201,66.6666666666667,"access_info_exchange_government","Yes","P&I_context_knowledge","knowledge","information exchange, contact","Exchange information with government","1= yes; 0= no","binary","NA","Did the farmer exchange information with the government?"
"access_info_exchange_ngo","0",56,201,27.8606965174129,"access_info_exchange_ngo","No","P&I_context_knowledge","knowledge","information exchange, contact","Exchange information with NGOs","1= yes; 0= no","binary","NA","Did the farmer exchange information with NGOs?"
"access_info_exchange_ngo","1",145,201,72.1393034825871,"access_info_exchange_ngo","Yes","P&I_context_knowledge","knowledge","information exchange, contact","Exchange information with NGOs","1= yes; 0= no","binary","NA","Did the farmer exchange information with NGOs?"
"access_info_exchange_researchers","0",39,201,19.4029850746269,"access_info_exchange_researchers","No","P&I_context_knowledge","knowledge","information exchange","Exchange information with researchers","1= yes; 0= no","binary","NA","Did the farmer exchange information with researchers?"
"access_info_exchange_researchers","1",162,201,80.5970149253731,"access_info_exchange_researchers","Yes","P&I_context_knowledge","knowledge","information exchange","Exchange information with researchers","1= yes; 0= no","binary","NA","Did the farmer exchange information with researchers?"
"access_info_exchange_traders","0",83,201,41.2935323383085,"access_info_exchange_traders","No","P&I_context_value_chain","value chain","information exchange, market linkage","Information exchange with food traders","1= yes; 0= no","binary","NA","Did the farmer exchange information with food traders?"
"access_info_exchange_traders","1",118,201,58.7064676616915,"access_info_exchange_traders","Yes","P&I_context_value_chain","value chain","information exchange, market linkage","Information exchange with food traders","1= yes; 0= no","binary","NA","Did the farmer exchange information with food traders?"
"access_irrigation_method","0",194,201,96.5174129353234,"access_irrigation_method","No","physical_capital","irrigation",NA,"Access to irrigation","1= yes; 0= no","binary","NA","Does the household have access to irrigation methods (e.g., drip, flood, hose-pipe, ridges, sprinkler, watering can, or bucket)?"
