"column_name_new","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","category_1","sub_category","constructs","constructs_type","weights","factor","metric","metric_type","description"
"farm_elevation",1,199,827.791457286432,445.930884912194,452,814.506832298137,138.03006,341.1,1433,1091.9,0.119036668467623,-1.89540480778461,31.611202304699,"biophysical_context","Farm topography","farm_elevation","composite","mode_A","Farm elevation","masl","continuous","Elevation of the farm (in meters above sea level)"
"soil_depth",2,199,0,0,0,0,0,0,0,0,NA,NA,0,"biophysical_context","Soil characteristics","soil_quality","composite","mode_B","Soil depth","1 = Exposed subsoil, no superficial soil present. 2= Very shallow soil depth. 3= Thin superficial soil, approximately 5 cm. 4= Moderate soil depth, about 10 cm. 5= Significant superficial soil depth, more than >10 cm. 0= I am not sure.","continuous","Mean soil depth across three sites on the farm."
"soil_MO_percentage_mean",3,166,0.678012048192771,0.36816287548348,0.605,0.625373134328358,0.303933,0.19,2.46,2.27,1.93078212961358,5.33819789016741,0.0285749809352058,"biophysical_context","Soil characteristics","soil_quality","composite","mode_B","Soil organic matter","percentage","continuous","Average soil organic matter across three locations on cropland."
"num_crops_grown",4,199,2.65326633165829,1.0709086505394,3,2.60869565217391,1.4826,1,6,5,0.349826944646856,0.480253195538813,0.0759147014648218,"farm_management_characteristics","crops","crop_diversity","composite","mode_A","Number of crops grown","number of crops","continuous","Number of different crop species (including perennial crops) produced on the farm in the last 12 months."
"labour_productivity",5,199,Inf,NA,2802.17254859323,3844.1439520378,4154.50102054432,0,Inf,Inf,NA,NA,NA,"farm_management_characteristics","input","labour_productivity","composite","mode_A","Labour intensity","hours/ha/year","continuous","Total amount of labor hours invested per year per hectare of farm area (owned, rented, or used)."
"sfs_monoculture_annual_area",6,199,0.278110793909548,0.578221667828183,0,0.157747105515528,0,0,4.856232,4.856232,4.56305229027473,27.8697573910561,0.0409890472651972,"farm_management_characteristics","practices","monoculture_practices","composite","mode_B","Area under monoculture annual","hectares","continuous","Total area of monoculture annual crops on the farm."
"sfs_monoculture_perennial_area",7,199,0.0168808969145729,0.0804438222340246,0,0,0,0,0.607029,0.607029,5.4709792925936,31.1008142842959,0.00570251136407317,"farm_management_characteristics","practices","monoculture_practices","composite","mode_B","Area under monoculture perennial","hectares","continuous","Total area of monoculture perennial crops on the farm."
"sfs_burning_residues_area",8,199,0.2387444040201,0.632937327386417,0,0.0713856049689441,0,0,4.04686,4.04686,3.30266077335338,12.0215258983046,0.0448677375332439,"farm_management_characteristics","practices","unsustainable_practices","composite","mode_A","Area with burning residues","hectares","continuous","Total area where residues were burned on the farm."
"sfs_land_clearing_area",9,199,0.0620247386934673,0.447004523571423,0,0,0,0,4.856232,4.856232,8.5326675362101,78.4133042587557,0.0316873105313488,"farm_management_characteristics","practices","unsustainable_practices","composite","mode_A","Land clearing area","hectares","continuous","Total area of land cleared by the household."
"num_pest_management_ecol_practices",10,199,1.23115577889447,0.776442398921323,1,1.18633540372671,0,0,4,4,1.1246975558715,2.23046608683632,0.055040542336691,"farm_management_characteristics","practices","ecological_practices","composite","mode_B","Number of ecological practices for pest management","number of practices","continuous","Number of ecological pest management practices used on the farm in the last 12 months."
"num_soil_fertility_ecol_practices",11,199,1.15075376884422,1.79713209653529,0,0.782608695652174,0,0,7,7,1.52559507114428,1.35223972199516,0.12739531661511,"farm_management_characteristics","practices","ecological_practices","composite","mode_B","Number of ecological practices for soil quality","number of practices","continuous","Number of different ecological practices used on cropland to improve soil quality and health."
"num_farm_products",12,199,1.67336683417085,0.501355960467703,2,1.69565217391304,0,1,3,2,-0.370713860977961,-1.0331151491166,0.0355401817394457,"farm_management_characteristics","production","market_orientation","composite","mode_B","Number of on-farm products","number of farm products","continuous","Number of different products (crops, livestock, fish, wood, honey, other) produced on the farm in the last 12 months."
"yield_gap_median",13,199,79.9503315993812,20.505717395654,86.7622234098959,83.9511358243133,12.2991652787594,0,100,100,-1.84758534261013,3.32406593282055,1.45361176569916,"farm_management_characteristics","production","yield_gaps","composite","mode_A","Yield gap of main crops","percentage","continuous","Yield gap for the main crop, based on actual versus attainable yields."
